"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_type","card_expansion","card_text","card_all_sets","card_att_def","card_race"
"http://www.fowtcg.com/card/4540","Acrobatic Shot","http://d12h0em1d7ppg.cloudfront.net/items/45/4540/image_en/d0744796-1d36-4bd9-9b12-b8ca25c84756.jpg","GITS2045-001","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/03.png","Chant","GHOST IN THE SHELL SAC_2045 Booster Pack","Card Text
This card deals 600 damage divided as you choose to any number of target resonators.","GHOST IN THE SHELL SAC_2045 Booster Pack","",""
"http://www.fowtcg.com/card/4541","Ada Byron","http://d12h0em1d7ppg.cloudfront.net/items/45/4541/image_en/3e2363ee-575f-4adc-8bdb-03ca19b97922.jpg","GITS2045-002","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/03.png","Resonator","GHOST IN THE SHELL SAC_2045 Booster Pack","Card Text
Automatic
[Enter] ⇒ Put a Machine from your graveyard into your hand.","GHOST IN THE SHELL SAC_2045 Booster Pack","400 / 600","Human"
"http://www.fowtcg.com/card/4542","Android Harlot","http://d12h0em1d7ppg.cloudfront.net/items/45/4542/image_en/ac7e5743-7a6d-49ee-85fe-575be1bb7e35.jpg","GITS2045-003","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","GHOST IN THE SHELL SAC_2045 Booster Pack","Card Text
Activate
Banish this card: Draw a card. Then discard a card.","GHOST IN THE SHELL SAC_2045 Booster Pack","0 / 300","Human/Machine"
"http://www.fowtcg.com/card/4543","Aramaki & Togusa","http://d12h0em1d7ppg.cloudfront.net/items/45/4543/image_en/179c0d67-aa93-4c6d-ae0c-8f2e5487bb81.jpg","GITS2045-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/03.png","Resonator","GHOST IN THE SHELL SAC_2045 Booster Pack","Card Text
Activate
[Dive][2]: Your opponent banishes a resonator.
Automatic
[Enter] ⇒ Draw two cards.","GHOST IN THE SHELL SAC_2045 Booster Pack","200 / 600","Human"
"http://www.fowtcg.com/card/4544","Aramaki, An Executive of the Public Security","http://d12h0em1d7ppg.cloudfront.net/items/45/4544/image_en/b04299a7-968b-4fe3-825c-84b7b209fdad.jpg","GITS2045-005","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/05.png","Resonator","GHOST IN THE SHELL SAC_2045 Booster Pack","Card Text
Automatic
[Enter] ⇒ Draw two cards.","GHOST IN THE SHELL SAC_2045 Booster Pack","600 / 800","Human"
"http://www.fowtcg.com/card/4545","Armed Suit","http://d12h0em1d7ppg.cloudfront.net/items/45/4545/image_en/e13bd88f-8871-462d-aea7-cbc15071f336.jpg","GITS2045-006","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/04.png","Addition","GHOST IN THE SHELL SAC_2045 Booster Pack","Card Text
Continuous
Resonators you control gain [+400/+400].","GHOST IN THE SHELL SAC_2045 Booster Pack","",""
"http://www.fowtcg.com/card/4546","Armored Car","http://d12h0em1d7ppg.cloudfront.net/items/45/4546/image_en/5c8f5e8f-3f62-4aaa-854d-2d96dfb9d082.jpg","GITS2045-007","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/06.png","Resonator","GHOST IN THE SHELL SAC_2045 Booster Pack","Card Text","GHOST IN THE SHELL SAC_2045 Booster Pack","1500 / 1500","Machine"
"http://www.fowtcg.com/card/4547","Batou","http://d12h0em1d7ppg.cloudfront.net/items/45/4547/image_en/e50d6468-0e49-4873-a0eb-e4e669fcbe27.jpg","GITS2045-008","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/04.png","Resonator","GHOST IN THE SHELL SAC_2045 Booster Pack","Card Text
Activate
[Dive][4]: Target resonator gains [+1500/+1500] until end of turn.","GHOST IN THE SHELL SAC_2045 Booster Pack","1000 / 1000","Human/Machine"
"http://www.fowtcg.com/card/4548","Batou & Ishikawa","http://d12h0em1d7ppg.cloudfront.net/items/45/4548/image_en/472bc285-38c5-4f8a-9e86-9701ebc895e0.jpg","GITS2045-009","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/06.png","Resonator","GHOST IN THE SHELL SAC_2045 Booster Pack","Card Text
Continuous
This card cannot be attacked.","GHOST IN THE SHELL SAC_2045 Booster Pack","1200 / 1200","Human/Machine"
"http://www.fowtcg.com/card/4549","Batou & Motoko","http://d12h0em1d7ppg.cloudfront.net/items/45/4549/image_en/9282c8f4-2c2f-4a02-a8c2-0d9009a85171.jpg","GITS2045-010","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/06.png","Resonator","GHOST IN THE SHELL SAC_2045 Booster Pack","Card Text
Automatic
When this card is put into a graveyard from the field ⇒ Search for a card with ""Batou"" or ""Motoko"" in its name but not ""Batou & Motoko"", and put it into the field. Then shuffle your deck.","GHOST IN THE SHELL SAC_2045 Booster Pack","1200 / 1000","Human/Machine"
"http://www.fowtcg.com/card/4550","Batou & Saito","http://d12h0em1d7ppg.cloudfront.net/items/45/4550/image_en/cdb8f6cb-0953-485e-bcc1-a781d3d88780.jpg","GITS2045-011","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/04.png","Resonator","GHOST IN THE SHELL SAC_2045 Booster Pack","Card Text
Activate
[Dive][3]: Destroy target resonator with total cost 4 or more.
Automatic
[Enter] ⇒ Destroy target resonator with total cost 3 or less.","GHOST IN THE SHELL SAC_2045 Booster Pack","800 / 800","Human/Machine"
