"card_url","card_name","card_image","card_number","card_rarity","card_type","card_race","card_expansion","card_text","card_all_sets","card_cost_attribute","card_att_def"
"http://www.fowtcg.com/card/4448","Aramaki","http://d12h0em1d7ppg.cloudfront.net/items/44/4448/image_en/e5079a9f-c6b3-4aa6-a1c9-c794e44dad47.jpg","GITS2045SD-001","RR","Ruler","Human","GHOST IN THE SHELL SAC_2045 Starter Deck","Continuous
You may pay [1] less to play cards not from your hand. When you play a card this way, draw a card.","GHOST IN THE SHELL SAC_2045 Starter Deck","",""
"http://www.fowtcg.com/card/4449","Batou & Kusanagi Motoko","http://d12h0em1d7ppg.cloudfront.net/items/44/4449/image_en/4aeda84a-04bb-4a64-a4c1-7480b57f9bcd.jpg","GITS2045SD-002","","Resonator","Human/Machine","GHOST IN THE SHELL SAC_2045 Starter Deck","Automatic
[Enter] ⇒ Destroy target resonator with total cost 4 or less.","GHOST IN THE SHELL SAC_2045 Starter Deck","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/05.png","1200 / 1000"
"http://www.fowtcg.com/card/4450","Batou, the Motoko's Buddy","http://d12h0em1d7ppg.cloudfront.net/items/44/4450/image_en/06e3a73e-4521-4ec6-a6ce-38c54b22768b.jpg","GITS2045SD-003","","Resonator","Human/Machine","GHOST IN THE SHELL SAC_2045 Starter Deck","Continuous
This card cannot attack unless you control a card with ""Kusanagi Motoko"" in its name.","GHOST IN THE SHELL SAC_2045 Starter Deck","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/03.png","1000 / 1000"
"http://www.fowtcg.com/card/4451","Bombarding","http://d12h0em1d7ppg.cloudfront.net/items/44/4451/image_en/b71d2af2-88f4-41eb-a8c1-c2e1cc07b225.jpg","GITS2045SD-004","","Chant","","GHOST IN THE SHELL SAC_2045 Starter Deck","","GHOST IN THE SHELL SAC_2045 Starter Deck","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/04.png",""
"http://www.fowtcg.com/card/4452","Ishikawa, the Competent Supporter","http://d12h0em1d7ppg.cloudfront.net/items/44/4452/image_en/6de33b0c-b479-4693-91e0-7dd8e75bea94.jpg","GITS2045SD-005","","Resonator","Human/Machine","GHOST IN THE SHELL SAC_2045 Starter Deck","Automatic
Whenever you play an activate ability with [Dive] ⇒ Copy it. You may choose new targets for the copy.","GHOST IN THE SHELL SAC_2045 Starter Deck","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","600 / 400"
"http://www.fowtcg.com/card/4453","Kusanagi Motoko, in Bodysuit","http://d12h0em1d7ppg.cloudfront.net/items/44/4453/image_en/2f2b7768-45c2-45c5-83db-f64ee1d99d55.jpg","GITS2045SD-006","","Resonator","Human/Machine","GHOST IN THE SHELL SAC_2045 Starter Deck","Continuous
This card cannot be blocked.","GHOST IN THE SHELL SAC_2045 Starter Deck","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/04.png","800 / 800"
"http://www.fowtcg.com/card/4454","Kusanagi Motoko, in Relax","http://d12h0em1d7ppg.cloudfront.net/items/44/4454/image_en/dda1e738-14be-45f7-a269-0b716c766a21.jpg","GITS2045SD-007","","Resonator","Human/Machine","GHOST IN THE SHELL SAC_2045 Starter Deck","","GHOST IN THE SHELL SAC_2045 Starter Deck","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","400 / 400"
"http://www.fowtcg.com/card/4455","Optical Camouflage","http://d12h0em1d7ppg.cloudfront.net/items/44/4455/image_en/402a8006-28dd-427d-8d2c-1b5a6e6513a5.jpg","GITS2045SD-008","","Chant","","GHOST IN THE SHELL SAC_2045 Starter Deck","Activate
[Quickcast]","GHOST IN THE SHELL SAC_2045 Starter Deck","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png",""
"http://www.fowtcg.com/card/4456","Purin Esaki, the Elite","http://d12h0em1d7ppg.cloudfront.net/items/44/4456/image_en/b24db8ff-ec6d-400b-97e5-5eb97628096f.jpg","GITS2045SD-009","","Resonator","Human","GHOST IN THE SHELL SAC_2045 Starter Deck","Activate
[Rest]: Remove a card in your hand from the game with a cyberbrain counter on it.","GHOST IN THE SHELL SAC_2045 Starter Deck","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","0 / 700"
"http://www.fowtcg.com/card/4457","Stan, a Former Army Infantry","http://d12h0em1d7ppg.cloudfront.net/items/44/4457/image_en/a6ca7e7e-7034-4fe0-866a-2ecfc30d3a1e.jpg","GITS2045SD-010","","Resonator","Human/Machine","GHOST IN THE SHELL SAC_2045 Starter Deck","Activate
[Dive][1]: Target resonator gains [+400/+400] until end of turn. (Pay [1] and reveal this card from your hand to play this ability. Then remove this card from the game and put a cyberbrain counter on it. You may play this card from your removed area as long as there is a cyberbrain counter on it.)","GHOST IN THE SHELL SAC_2045 Starter Deck","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","600 / 500"
