"card_url","card_name","card_image","card_number","card_rarity","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets","card_cost_attribute","card_att_def"
"http://www.fowtcg.com/card/4710","Gill Lapis","http://d12h0em1d7ppg.cloudfront.net/items/47/4710/image_en/f0446daa-9c38-4b23-9c10-c4f91e865d56.jpg","AO4 Buy a Box-1","RR","Ruler","Wanderer","j-peg","Alice Origin 4th Booster Pack","Card Text
[Judgment][D][D][M]
Automatic
Whenever a darkness regalia enters the field under your control >>> Choose one, then, if the regalia is ""World Ender"", choose one again;
- Look at the top three cards of your deck. Reveal a card from among them and put it into your hand. Put the rest on the bottom of your deck in any order.
- Name a card. You gain [Limit Break] (Name of that card).
Continuous
You may pay the attribute cost of Minions and Moon Arts with any will.","And the moon shines on the true ruler of this world.","Alice Origin 4th Booster Pack","",""
"http://www.fowtcg.com/card/4711","Gill Lapis","http://d12h0em1d7ppg.cloudfront.net/items/47/4711/image_en/3144a448-4ead-42a2-bf69-7454110404a2.jpg","AO4 Buy a Box-1","JR","Ruler","Wanderer","j-peg","Alice Origin 4th Booster Pack","Card Text
[Judgment][D][D][M]
Automatic
Whenever a darkness regalia enters the field under your control >>> Choose one, then, if the regalia is ""World Ender"", choose one again;
- Look at the top three cards of your deck. Reveal a card from among them and put it into your hand. Put the rest on the bottom of your deck in any order.
- Name a card. You gain [Limit Break] (Name of that card).
Continuous
You may pay the attribute cost of Minions and Moon Arts with any will.","And the moon shines on the true ruler of this world.","Alice Origin 4th Booster Pack","",""
"http://www.fowtcg.com/card/4712","Dark Alice","http://d12h0em1d7ppg.cloudfront.net/items/47/4712/image_en/76b587f0-030f-45fd-b391-ee97d4c5e9c5.jpg","AO4 Buy a Box-2","RR","Ruler","Wanderer","Matsurika Yoko","Alice Origin 4th Booster Pack","Card Text
[Judgment][W][D][D]
Automatic
Whenever a darkness regalia enters the field under your control >>> Choose one, then, if the regalia is ""Unknown Mother Goose"", choose one again;
- Gain two light crystals.
- Gain two darkness crystals.","Traveling through endless darkness, she seeks the light beyond.","Alice Origin 4th Booster Pack","",""
"http://www.fowtcg.com/card/4713","Dark Alice","http://d12h0em1d7ppg.cloudfront.net/items/47/4713/image_en/ceb6d955-6bd6-4afe-b257-7c828cd14bb6.jpg","AO4 Buy a Box-2","JR","Ruler","Wanderer","Matsurika Yoko","Alice Origin 4th Booster Pack","Card Text
[Judgment][W][D][D]
Automatic
Whenever a darkness regalia enters the field under your control >>> Choose one, then, if the regalia is ""Unknown Mother Goose"", choose one again;
- Gain two light crystals.
- Gain two darkness crystals.","Traveling through endless darkness, she seeks the light beyond.","Alice Origin 4th Booster Pack","",""
"http://www.fowtcg.com/card/4714","Magna, the Creator of Regalia","http://d12h0em1d7ppg.cloudfront.net/items/47/4714/image_en/eeaa7d36-2bc6-411c-8d3b-02cab65e665a.jpg","AO4 Buy a Box-3","RR","Ruler","Wizard","Kotakan","Alice Origin 4th Booster Pack","Card Text
[Judgment][W][R][B][G][D]
Continuous
You may have (Stranger) resonators in your deck. You may not have more than one copy of any (Stranger) resonator in your deck.","Magna created all regalia in this world, and divided his memories of Valhalla among them. The regalia will keep their power as long as Magna exists.","Alice Origin 4th Booster Pack","",""
"http://www.fowtcg.com/card/4715","Magna, the Creator of Regalia","http://d12h0em1d7ppg.cloudfront.net/items/47/4715/image_en/256ab128-d9b0-4374-9585-4b395727c8d1.jpg","AO4 Buy a Box-3","JR","Ruler","Wizard","Kotakan","Alice Origin 4th Booster Pack","Card Text
[Judgment][W][R][B][G][D]
Continuous
You may have (Stranger) resonators in your deck. You may not have more than one copy of any (Stranger) resonator in your deck.","Magna created all regalia in this world, and divided his memories of Valhalla among them. The regalia will keep their power as long as Magna exists.","Alice Origin 4th Booster Pack","",""
"http://www.fowtcg.com/card/4716","Intimidation","http://d12h0em1d7ppg.cloudfront.net/items/47/4716/image_en/b256a629-11cd-4b08-bc3a-8b22968f8cd9.jpg","PofA-001","N","Chant","","Takumi Sugikawa","Alice Origin 4th Booster Pack","Card Text
[Quickcast]
Prevent all damage that would be dealt by resonators this turn.","The roar of Behemoth keeps the darkness away.","Alice Origin 4th Booster Pack","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png",""
"http://www.fowtcg.com/card/4717","King of Kings","http://d12h0em1d7ppg.cloudfront.net/items/47/4717/image_en/861032e6-b961-4b93-a52b-8c2c3b613ec8.jpg","PofA-002","R","Resonator","Fairy Tale","AKI","Alice Origin 4th Booster Pack","Card Text
Continuous
Other Fairy Tale resonators you control gain [+400/+400].
Activate
Banish a light crystal, discard this card: Target J/resonator gains [+400/+400] until end of turn. Draw a card.","The King is a dependable card.","Alice Origin 4th Booster Pack","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","900 / 900"
"http://www.fowtcg.com/card/4717","King of Kings","http://d12h0em1d7ppg.cloudfront.net/items/47/4717/image_en/861032e6-b961-4b93-a52b-8c2c3b613ec8.jpg","PofA-002","R","Resonator","Fairy Tale","AKI","Alice Origin 4th Booster Pack","Card Text
Continuous
Other Fairy Tale resonators you control gain [+400/+400].
Activate
Banish a light crystal, discard this card: Target J/resonator gains [+400/+400] until end of turn. Draw a card.","The King is a dependable card.","Alice Origin 4th Booster Pack","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","900 / 900"
"http://www.fowtcg.com/card/4717","King of Kings","http://d12h0em1d7ppg.cloudfront.net/items/47/4717/image_en/861032e6-b961-4b93-a52b-8c2c3b613ec8.jpg","PofA-002","R","Resonator","Fairy Tale","AKI","Alice Origin 4th Booster Pack","Card Text
Continuous
Other Fairy Tale resonators you control gain [+400/+400].
Activate
Banish a light crystal, discard this card: Target J/resonator gains [+400/+400] until end of turn. Draw a card.","The King is a dependable card.","Alice Origin 4th Booster Pack","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","900 / 900"
"http://www.fowtcg.com/card/4718","Lenneth's Wish","http://d12h0em1d7ppg.cloudfront.net/items/47/4718/image_en/667abf20-716a-4d44-acc5-6a28fc0ef8e0.jpg","PofA-003","N","Chant","Mage Art","tokiwa","Alice Origin 4th Booster Pack","Card Text
[Quickcast]
Put target (Stranger) resonator you control into your Stranger deck. Then choose a card from your Stranger deck at random and put it into the field.","There is only one way of salvation.","Alice Origin 4th Booster Pack","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png",""
"http://www.fowtcg.com/card/4719","Mage Jack","http://d12h0em1d7ppg.cloudfront.net/items/47/4719/image_en/4f3c5dd1-4ed8-4a57-b9d0-99d1a7ddb125.jpg","PofA-004","N","Resonator","Fairy Tale","AKI","Alice Origin 4th Booster Pack","Card Text
[Quickcast] [Drain]
Automatic
[Enter] >>> Gain two light crystals.
Activate
Banish a light crystal: You gain 200 life.","The Jack is a prudent card.","Alice Origin 4th Booster Pack","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","400 / 400"
"http://www.fowtcg.com/card/4720","Return of the Soul","http://d12h0em1d7ppg.cloudfront.net/items/47/4720/image_en/e42ffc37-8d60-493f-8022-25385ab54862.jpg","PofA-005","R","Chant","Sword Art, Mage Art","uekino aroe","Alice Origin 4th Booster Pack","Card Text
Destroy all non-(Stranger) resonators.","""Good luck, Lord Magna ..."" ーLenneth","Alice Origin 4th Booster Pack","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png",""
