"card_url","card_name","card_image","card_number","card_cost_attribute","card_type","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets","card_att_def","card_race"
"http://www.fowtcg.com/card/4256","Avalon, Illusionary Home of Knights","http://d12h0em1d7ppg.cloudfront.net/items/42/4256/image_en/5c99c0bf-fae9-43f7-a95a-0153d476191f.jpg","SDAO1-001","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Addition: Field","Haruichi Kido","Alice Origin 1st Start Deck","Continuous
Knights of the Round Table you control gain [+200/+200].","The lost land of knights, reborn from Faria's will.","Alice Origin 1st Start Deck","",""
"http://www.fowtcg.com/card/4256","Avalon, Illusionary Home of Knights","http://d12h0em1d7ppg.cloudfront.net/items/42/4256/image_en/5c99c0bf-fae9-43f7-a95a-0153d476191f.jpg","SDAO1-001","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Addition: Field","Haruichi Kido","Alice Origin 1st Start Deck","Continuous
Knights of the Round Table you control gain [+200/+200].","The lost land of knights, reborn from Faria's will.","Alice Origin 1st Start Deck","",""
"http://www.fowtcg.com/card/4257","Bedivere, the Restorer of Souls","http://d12h0em1d7ppg.cloudfront.net/items/42/4257/image_en/88915909-0ed7-49fe-945f-9099055e3ccf.jpg","SDAO1-002","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","kakotomirai","Alice Origin 1st Start Deck","Automatic
When this card enters your field ⇒ You may remove target resonator with 1000 or more ATK from the game.","""The soul just wants a place to go, nothing more.""","Alice Origin 1st Start Deck","700 / 700","Knight of the Round Table"
"http://www.fowtcg.com/card/4257","Bedivere, the Restorer of Souls","http://d12h0em1d7ppg.cloudfront.net/items/42/4257/image_en/88915909-0ed7-49fe-945f-9099055e3ccf.jpg","SDAO1-002","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","kakotomirai","Alice Origin 1st Start Deck","Automatic
When this card enters your field ⇒ You may remove target resonator with 1000 or more ATK from the game.","""The soul just wants a place to go, nothing more.""","Alice Origin 1st Start Deck","700 / 700","Knight of the Round Table"
"http://www.fowtcg.com/card/4257","Bedivere, the Restorer of Souls","http://d12h0em1d7ppg.cloudfront.net/items/42/4257/image_en/88915909-0ed7-49fe-945f-9099055e3ccf.jpg","SDAO1-002","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","kakotomirai","Alice Origin 1st Start Deck","Automatic
When this card enters your field ⇒ You may remove target resonator with 1000 or more ATK from the game.","""The soul just wants a place to go, nothing more.""","Alice Origin 1st Start Deck","700 / 700","Knight of the Round Table"
"http://www.fowtcg.com/card/4258","Gawain, the Knight of the Sun","http://d12h0em1d7ppg.cloudfront.net/items/42/4258/image_en/fc7a5256-b835-4280-85d1-7160e0e192e5.jpg","SDAO1-003","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","ORETO","Alice Origin 1st Start Deck","Automatic
Whenever this card attacks or blocks ⇒ Rest target resonator.","""I failed to protect my ruler in the past. In this world, I'll protect you at any cost.""","Alice Origin 1st Start Deck","300 / 700","Knight of the Round Table"
"http://www.fowtcg.com/card/4258","Gawain, the Knight of the Sun","http://d12h0em1d7ppg.cloudfront.net/items/42/4258/image_en/fc7a5256-b835-4280-85d1-7160e0e192e5.jpg","SDAO1-003","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","ORETO","Alice Origin 1st Start Deck","Automatic
Whenever this card attacks or blocks ⇒ Rest target resonator.","""I failed to protect my ruler in the past. In this world, I'll protect you at any cost.""","Alice Origin 1st Start Deck","300 / 700","Knight of the Round Table"
"http://www.fowtcg.com/card/4259","Kai, the Resonant Knight","http://d12h0em1d7ppg.cloudfront.net/items/42/4259/image_en/7a0e4691-1378-42dd-b817-060a069e092c.jpg","SDAO1-004","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","311tarou","Alice Origin 1st Start Deck","Automatic
[Enter] ⇒ Look at the top card of your deck. If it's a Knight of the Round Table, reveal it and put it into your hand.","There are many friends at the Round Table.","Alice Origin 1st Start Deck","400 / 400","Knight of the Round Table"
"http://www.fowtcg.com/card/4260","Perceval, the Seeker of Holy Grail","http://d12h0em1d7ppg.cloudfront.net/items/42/4260/image_en/bffc38ad-9d6d-4ceb-9a1e-9176753f271d.jpg","SDAO1-005","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Foo Midori","Alice Origin 1st Start Deck","Activate
Banish this card: Prevent all damage that would be dealt to target J-ruler or Knight of the Round Table until end of turn.","To her, this is the beginning of a new search for the Grail.","Alice Origin 1st Start Deck","200 / 200","Knight of the Round Table"
"http://www.fowtcg.com/card/4261","Siegfried, the Dragon Knight (Stranger)","http://d12h0em1d7ppg.cloudfront.net/items/42/4261/image_en/ebf87725-472d-472f-b554-963d50a4378d.jpg","SDAO1-006","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator (Stranger)","ezusuke","Alice Origin 1st Start Deck","Automatic
[Enter] ⇒ Destroy target rested resonator.","""I made a place to live to heal my wounded body. The name is Vell-Savaria, whose meaning is 'the memory of gods' in the language of Valhalla."" - Note of Magna 2","Alice Origin 1st Start Deck","700 / 1000","Paladin"
"http://www.fowtcg.com/card/4261","Siegfried, the Dragon Knight (Stranger)","http://d12h0em1d7ppg.cloudfront.net/items/42/4261/image_en/ebf87725-472d-472f-b554-963d50a4378d.jpg","SDAO1-006","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator (Stranger)","ezusuke","Alice Origin 1st Start Deck","Automatic
[Enter] ⇒ Destroy target rested resonator.","""I made a place to live to heal my wounded body. The name is Vell-Savaria, whose meaning is 'the memory of gods' in the language of Valhalla."" - Note of Magna 2","Alice Origin 1st Start Deck","700 / 1000","Paladin"
"http://www.fowtcg.com/card/4262","White Wizard (Stranger)","http://d12h0em1d7ppg.cloudfront.net/items/42/4262/image_en/fdee0854-b0a5-453a-9c9d-a11067acda92.jpg","SDAO1-007","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator (Stranger)","Haruichi Kido","Alice Origin 1st Start Deck","Automatic
[Enter] ⇒ Distribute two [+100/+100] counters on up to two target J/resonators you control.","""I drifted here to escape the time of Ragnarok, as the Battle of Gods will destroy Valhalla. Everything, except the Miniature World."" - Note of Magna 1","Alice Origin 1st Start Deck","500 / 700","Wizard"
"http://www.fowtcg.com/card/4263","Demonflame","http://d12h0em1d7ppg.cloudfront.net/items/42/4263/image_en/f4f6cafe-5ad6-489b-9c46-6396207f0aeb.jpg","SDAO1-008","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","Chant","Nagi-nyan","Alice Origin 1st Start Deck","","""Burn!"" -Melgis, the Flame King","Alice Origin 1st Start Deck","",""
