"card_url","card_name","card_image","card_number","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets","card_rarity"
"http://www.fowtcg.com/card/4409","Barust, the Machine God of Conflagration (Stranger)","http://d12h0em1d7ppg.cloudfront.net/items/44/4409/image_en/947fda42-57f8-4319-ae39-232751314e60.jpg","SDAO2-001","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","800 / 800","Resonator (Stranger)","Demon","Zton","Alice Origin 2nd Start Deck","Card Text
Continuous
Resonators you control gain [+200/0] while attacking.
[Awakening][G]: [Enter] ⇒ J/resonators you control gain [Pierce] until end of turn.
[Awakening][R]: [Enter] ⇒ J/resonators you control gain [Swiftness] until end of turn.","”One seeks a cure for a relative. One wants to destroy them to free the world. One seeks to return to her former self, and one wants to save a friend and his people. But the last one just wants to dominate..."" —Note of Magna 15","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4409","Barust, the Machine God of Conflagration (Stranger)","http://d12h0em1d7ppg.cloudfront.net/items/44/4409/image_en/947fda42-57f8-4319-ae39-232751314e60.jpg","SDAO2-001","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","800 / 800","Resonator (Stranger)","Demon","Zton","Alice Origin 2nd Start Deck","Card Text
Continuous
Resonators you control gain [+200/0] while attacking.
[Awakening][G]: [Enter] ⇒ J/resonators you control gain [Pierce] until end of turn.
[Awakening][R]: [Enter] ⇒ J/resonators you control gain [Swiftness] until end of turn.","”One seeks a cure for a relative. One wants to destroy them to free the world. One seeks to return to her former self, and one wants to save a friend and his people. But the last one just wants to dominate..."" —Note of Magna 15","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4410","Blue Wizard (Stranger)","http://d12h0em1d7ppg.cloudfront.net/items/44/4410/image_en/3433d6fe-a2c9-4a00-9439-5d41700f1acf.jpg","SDAO2-002","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","600 / 600","Resonator (Stranger)","Wizard","MOGUMO","Alice Origin 2nd Start Deck","Card Text
[Quickcast]
Automatic
[Enter] ⇒ Cancel target automatic ability of a resonator.","""She had concealed her ambition quite cleverly, but this mage can't hide from me. She has me worried, though."" —Note of Magna 16","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4411","Charm of the Princess","http://d12h0em1d7ppg.cloudfront.net/items/44/4411/image_en/ed4616a8-1610-4269-8b7f-8dab683a08dc.jpg","SDAO2-003","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","","Chant","","j-peg","Alice Origin 2nd Start Deck","Card Text
Gain control of target resonator with total cost X or less.","""Look carefully, this is what reigning means."" -Valentina, the Princess of Love","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4411","Charm of the Princess","http://d12h0em1d7ppg.cloudfront.net/items/44/4411/image_en/ed4616a8-1610-4269-8b7f-8dab683a08dc.jpg","SDAO2-003","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","","Chant","","j-peg","Alice Origin 2nd Start Deck","Card Text
Gain control of target resonator with total cost X or less.","""Look carefully, this is what reigning means."" -Valentina, the Princess of Love","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4411","Charm of the Princess","http://d12h0em1d7ppg.cloudfront.net/items/44/4411/image_en/ed4616a8-1610-4269-8b7f-8dab683a08dc.jpg","SDAO2-003","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/X.png","","Chant","","j-peg","Alice Origin 2nd Start Deck","Card Text
Gain control of target resonator with total cost X or less.","""Look carefully, this is what reigning means."" -Valentina, the Princess of Love","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4412","Cinderella, the Valkyrie of Glass","http://d12h0em1d7ppg.cloudfront.net/items/44/4412/image_en/a4e42b85-d1bc-41c0-80b7-a7df04c9a022.jpg","SDAO2-004","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","200 / 800","Resonator","Fairy Tale","Foo Midori","Alice Origin 2nd Start Deck","Card Text
Automatic
When this card enters your field ⇒ Put a glass counter on it.
Continuous
This card gains [+600/0] as long as it has a glass counter on it.
Automatic
Whenever this card deals damage ⇒ Remove a glass counter from it.
Activate
[U][U]: Return this card to its owner's hand.","The beautiful and transparent princess made of glass.","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4412","Cinderella, the Valkyrie of Glass","http://d12h0em1d7ppg.cloudfront.net/items/44/4412/image_en/a4e42b85-d1bc-41c0-80b7-a7df04c9a022.jpg","SDAO2-004","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","200 / 800","Resonator","Fairy Tale","Foo Midori","Alice Origin 2nd Start Deck","Card Text
Automatic
When this card enters your field ⇒ Put a glass counter on it.
Continuous
This card gains [+600/0] as long as it has a glass counter on it.
Automatic
Whenever this card deals damage ⇒ Remove a glass counter from it.
Activate
[U][U]: Return this card to its owner's hand.","The beautiful and transparent princess made of glass.","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4413","Perceval, the Charmed Knight","http://d12h0em1d7ppg.cloudfront.net/items/44/4413/image_en/c0ddf833-74e1-402c-ad75-a7110fdc3a28.jpg","SDAO2-005","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","200 / 200","Resonator","Knight of the Round Table","jugemt","Alice Origin 2nd Start Deck","Card Text
Automatic
[Enter] ⇒ Look at the top five cards of your deck. Reveal a regalia or chant from among them and put it into your hand. Put the rest on the bottom of your deck in any order.
Activate
Banish this card: Foresee 1.","The blue Holy Grail responds to the charm of Valentina.","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4414","Triton, the Prince of Ocean (Stranger)","http://d12h0em1d7ppg.cloudfront.net/items/44/4414/image_en/9c5424a0-9187-4b7b-a117-c94b194cd7e3.jpg","SDAO2-006","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","800 / 800","Resonator (Stranger)","God","pochiharu","Alice Origin 2nd Start Deck","Card Text
[Quickcast]
Continuous
Other water J/resonators you control gain [+200/+200].","""They will discover Vell-Savaria and find some regalia there. The mage will most likely betray them, but I dare not to interfere too much with the events of this world."" —Note of Magna 17","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4414","Triton, the Prince of Ocean (Stranger)","http://d12h0em1d7ppg.cloudfront.net/items/44/4414/image_en/9c5424a0-9187-4b7b-a117-c94b194cd7e3.jpg","SDAO2-006","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","800 / 800","Resonator (Stranger)","God","pochiharu","Alice Origin 2nd Start Deck","Card Text
[Quickcast]
Continuous
Other water J/resonators you control gain [+200/+200].","""They will discover Vell-Savaria and find some regalia there. The mage will most likely betray them, but I dare not to interfere too much with the events of this world."" —Note of Magna 17","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4415","Valentina's Zealot","http://d12h0em1d7ppg.cloudfront.net/items/44/4415/image_en/c7e52ec3-a672-4965-9c7c-5673b309b9f5.jpg","SDAO2-007","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","100 / 500","Resonator","Soldier","Mita Kosuke","Alice Origin 2nd Start Deck","Card Text
Activate
Banish this card: Your J-ruler cannot be targeted by chants or abilities until end of turn.","To a fanatic, death isn't always such a bad thing.","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4416","Afanc, the Phantom Beast","http://d12h0em1d7ppg.cloudfront.net/items/44/4416/image_en/6d2e51e6-de1e-4841-8c1c-531f1f5d793d.jpg","SDAO2-008","http://d12h0em1d7ppg.cloudfront.net/docs/icons/green.png","600 / 600","Resonator","Beast","hatarisu","Alice Origin 2nd Start Deck","Card Text
Automatic
When this card enters your field ⇒ Target resonator gains [+200/+200] until end of turn.","That figure instilled a little courage in the heart of those who saw it.","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4416","Afanc, the Phantom Beast","http://d12h0em1d7ppg.cloudfront.net/items/44/4416/image_en/6d2e51e6-de1e-4841-8c1c-531f1f5d793d.jpg","SDAO2-008","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","600 / 600","Resonator","Beast","hatarisu","Alice Origin 2nd Start Deck","Card Text
Automatic
When this card enters your field ⇒ Target resonator gains [+200/+200] until end of turn.","That figure instilled a little courage in the heart of those who saw it.","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4417","Deep Green Magician, Liz (Stranger)","http://d12h0em1d7ppg.cloudfront.net/items/44/4417/image_en/40177f52-bd91-4e76-8671-fd80c3831bed.jpg","SDAO2-009","http://d12h0em1d7ppg.cloudfront.net/docs/icons/green.png","700 / 800","Resonator (Stranger)","Elf","toridamono","Alice Origin 2nd Start Deck","Card Text
[Quickcast]
Automatic
[Enter] ⇒ Cancel target chant spell.","""Yggdrasil's little girl awakened her powers without knowing and will soon go confronting her fate."" —Note of Magna 12","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4417","Deep Green Magician, Liz (Stranger)","http://d12h0em1d7ppg.cloudfront.net/items/44/4417/image_en/40177f52-bd91-4e76-8671-fd80c3831bed.jpg","SDAO2-009","http://d12h0em1d7ppg.cloudfront.net/docs/icons/green.png","700 / 800","Resonator (Stranger)","Elf","toridamono","Alice Origin 2nd Start Deck","Card Text
[Quickcast]
Automatic
[Enter] ⇒ Cancel target chant spell.","""Yggdrasil's little girl awakened her powers without knowing and will soon go confronting her fate."" —Note of Magna 12","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4418","Friendly Seeking Mole","http://d12h0em1d7ppg.cloudfront.net/items/44/4418/image_en/d1e2c3d2-a4e3-43a4-b498-c7040a2c8dde.jpg","SDAO2-010","http://d12h0em1d7ppg.cloudfront.net/docs/icons/green.png","300 / 300","Resonator","Beast","Haruki Komai","Alice Origin 2nd Start Deck","Card Text
Automatic
[Enter] ⇒ Put a friendship counter on your J/ruler. Then, if there are three or more friendship counters on your J/ruler, search your deck for a wind regalia, reveal it, and put it into your hand. Then shuffle your deck.","Treasure is a proof of friendship.","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4419","Green Wizard (Stranger)","http://d12h0em1d7ppg.cloudfront.net/items/44/4419/image_en/b3a8449e-1dc5-4361-968a-7e081d85a6ec.jpg","SDAO2-011","http://d12h0em1d7ppg.cloudfront.net/docs/icons/green.png","600 / 600","Resonator (Stranger)","Wizard","Kitakaze Tomohiro","Alice Origin 2nd Start Deck","Card Text
Automatic
[Enter] ⇒ Choose a race.
Continuous
J/resonators you control of the chosen race gain [Barrier].
Activate
[G]: Target J/resonator gains [+200/+200] until end of turn.","""My regalia will have a big impact on the people of this world, although those with more talent will also be more affected by them."" —Note of Magna 11","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4420","Herald of the Beast Lady","http://d12h0em1d7ppg.cloudfront.net/items/44/4420/image_en/1383acf8-f04f-454d-842c-781f3078e80e.jpg","SDAO2-012","http://d12h0em1d7ppg.cloudfront.net/docs/icons/green.png","400 / 400","Resonator","Beast","Sanosuke Sakuma","Alice Origin 2nd Start Deck","Card Text","The Beast Lady is not acting with the aim of conquering. Even ruling is simply part of the game.","Alice Origin 2nd Start Deck",""
"http://www.fowtcg.com/card/4421","Pricia's Encouragement","http://d12h0em1d7ppg.cloudfront.net/items/44/4421/image_en/9c053d08-8bcd-4b61-975b-320e74a12a7a.jpg","SDAO2-013","http://d12h0em1d7ppg.cloudfront.net/docs/icons/green.png","","Chant","Sword Art","QK","Alice Origin 2nd Start Deck","Card Text
[Quickcast]
Target J/resonator you control deals damage equal to its ATK to target J/resonator your opponent controls. If this card was awakened, choose a card from your Stranger deck at random and put it into your hand.
[Awakening][R]","""Go! Hang in there! Don't lose!"" —Pricia","Alice Origin 2nd Start Deck",""
