"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_type","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets","card_att_def","card_race"
"http://www.fowtcg.com/card/986","Avalon, Illusionary Home of Knights","http://d12h0em1d7ppg.cloudfront.net/items/98/986/image_en/1485239989.jpg","BFA-001","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Addition: Field","城戸春一","Battle for Attractia","Continuous
Knights of the Round Table you control gain [+200/+200].","The lost land of knights, reborn from Faria's will.","Battle for Attractia","",""
"http://www.fowtcg.com/card/986","Avalon, Illusionary Home of Knights","http://d12h0em1d7ppg.cloudfront.net/items/98/986/image_en/1485239989.jpg","BFA-001","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Addition: Field","城戸春一","Battle for Attractia","Continuous
Knights of the Round Table you control gain [+200/+200].","The lost land of knights, reborn from Faria's will.","Battle for Attractia","",""
"http://www.fowtcg.com/card/987","Bors, Returned Adventurer","http://d12h0em1d7ppg.cloudfront.net/items/98/987/image_en/1485239990.jpg","BFA-002","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","祀花よう子","Battle for Attractia","Automatic
When this card enters your field or attacks ⇒ Target Knight of the Round Table gains [+400/+400] until end of turn.","Ever seeking to do good, even in strange lands.","Battle for Attractia","600 / 600","Knight of the Round Table"
"http://www.fowtcg.com/card/987","Bors, Returned Adventurer","http://d12h0em1d7ppg.cloudfront.net/items/98/987/image_en/1485239990.jpg","BFA-002","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","Resonator","祀花よう子","Battle for Attractia","Automatic
When this card enters your field or attacks ⇒ Target Knight of the Round Table gains [+400/+400] until end of turn.","Ever seeking to do good, even in strange lands.","Battle for Attractia","600 / 600","Knight of the Round Table"
"http://www.fowtcg.com/card/988","Circle of Trust","http://d12h0em1d7ppg.cloudfront.net/items/98/988/image_en/1485239992.jpg","BFA-003","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","あき","Battle for Attractia","","The fairies entrusted their power to others. Then that power returned to them.","Battle for Attractia","",""
"http://www.fowtcg.com/card/988","Circle of Trust","http://d12h0em1d7ppg.cloudfront.net/items/98/988/image_en/1485239992.jpg","BFA-003","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","あき","Battle for Attractia","","The fairies entrusted their power to others. Then that power returned to them.","Battle for Attractia","",""
"http://www.fowtcg.com/card/989","Fairy of Sacred Vision","http://d12h0em1d7ppg.cloudfront.net/items/98/989/image_en/1485239993.jpg","BFA-004","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","七原しえ","Battle for Attractia","Activate
Banish this card: Destroy target addition or card in a standby area.","The eye of a fairy perceives all.","Battle for Attractia","100 / 600","Fairy"
"http://www.fowtcg.com/card/990","Gathering of Fairies","http://d12h0em1d7ppg.cloudfront.net/items/99/990/image_en/1485239995.jpg","BFA-005","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","坂井結城","Battle for Attractia","","Even gathering enough fairies together is enough to produce powerful magic.","Battle for Attractia","",""
"http://www.fowtcg.com/card/991","Guardian Angel, Raphael","http://d12h0em1d7ppg.cloudfront.net/items/99/991/image_en/1485239998.jpg","BFA-006","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","石商","Battle for Attractia","Continuous
Your opponent cannot play activate abilities of J/rulers or regalia during your turn.","Rather than defend against awoken creatures, it's better to just keep everyone asleep.","Battle for Attractia","400 / 800","Angel"
"http://www.fowtcg.com/card/991","Guardian Angel, Raphael","http://d12h0em1d7ppg.cloudfront.net/items/99/991/image_en/1485239998.jpg","BFA-006","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","Resonator","石商","Battle for Attractia","Continuous
Your opponent cannot play activate abilities of J/rulers or regalia during your turn.","Rather than defend against awoken creatures, it's better to just keep everyone asleep.","Battle for Attractia","400 / 800","Angel"
"http://www.fowtcg.com/card/992","Interdimensional Escape","http://d12h0em1d7ppg.cloudfront.net/items/99/992/image_en/1485240023.jpg","BFA-007","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","mie","Battle for Attractia","","Only Kaguya, Alice, and Charlotte managed to escape.","Battle for Attractia","",""
"http://www.fowtcg.com/card/992","Interdimensional Escape","http://d12h0em1d7ppg.cloudfront.net/items/99/992/image_en/1485240023.jpg","BFA-007","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","mie","Battle for Attractia","","Only Kaguya, Alice, and Charlotte managed to escape.","Battle for Attractia","",""
"http://www.fowtcg.com/card/992","Interdimensional Escape","http://d12h0em1d7ppg.cloudfront.net/items/99/992/image_en/1485240023.jpg","BFA-007","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Chant","mie","Battle for Attractia","","Only Kaguya, Alice, and Charlotte managed to escape.","Battle for Attractia","",""
"http://www.fowtcg.com/card/993","Kaguya, Rabbit Princess of the Lunar Halo","http://d12h0em1d7ppg.cloudfront.net/items/99/993/image_en/1485240042.jpg","BFA-008","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","桂福蔵","Battle for Attractia","Automatic
Whenever a resonator is put into a graveyard from your field ⇒ Put a [+100/+100] counter on this card.","""Let's go everyone! Let's bust on through!""","Battle for Attractia","800 / 800","Little Girl"
"http://www.fowtcg.com/card/993","Kaguya, Rabbit Princess of the Lunar Halo","http://d12h0em1d7ppg.cloudfront.net/items/99/993/image_en/1485240042.jpg","BFA-008","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","桂福蔵","Battle for Attractia","Automatic
Whenever a resonator is put into a graveyard from your field ⇒ Put a [+100/+100] counter on this card.","""Let's go everyone! Let's bust on through!""","Battle for Attractia","800 / 800","Little Girl"
"http://www.fowtcg.com/card/993","Kaguya, Rabbit Princess of the Lunar Halo","http://d12h0em1d7ppg.cloudfront.net/items/99/993/image_en/1485240042.jpg","BFA-008","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","桂福蔵","Battle for Attractia","Automatic
Whenever a resonator is put into a graveyard from your field ⇒ Put a [+100/+100] counter on this card.","""Let's go everyone! Let's bust on through!""","Battle for Attractia","800 / 800","Little Girl"
