"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_flavor_text","card_all_sets","card_text"
"http://www.fowtcg.com/card/877","Angel of Wisdom, Cherudim","http://d12h0em1d7ppg.cloudfront.net/items/87/877/image_en/1485237411.jpg","TMS-001","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","500 / 500","Resonator","Angel","城戸春一","The Moonlit Savior","Though Arla was defeated, his will lived on. It drove his followers to shoot down the evil that invaded the skies.","The Moonlit Savior",""
"http://www.fowtcg.com/card/877","Angel of Wisdom, Cherudim","http://d12h0em1d7ppg.cloudfront.net/items/87/877/image_en/1485237411.jpg","TMS-001","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","500 / 500","Resonator","Angel","城戸春一","The Moonlit Savior","Though Arla was defeated, his will lived on. It drove his followers to shoot down the evil that invaded the skies.","The Moonlit Savior",""
"http://www.fowtcg.com/card/878","Crescent Moon Magician","http://d12h0em1d7ppg.cloudfront.net/items/87/878/image_en/1485237412.jpg","TMS-002","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 600","Resonator","Wererabbit","長崎祐子","The Moonlit Savior","With the magic stone she entrusted to Alice, Kaguya found her way across the dimensional gap. With the memory of Grimm's world she summoned the wererabbits.","The Moonlit Savior",""
"http://www.fowtcg.com/card/879","Friend from Another World, Kaguya","http://d12h0em1d7ppg.cloudfront.net/items/87/879/image_en/1485237414.jpg","TMS-003","R","","","Ruler","Wanderer/Little Girl","桂福蔵","The Moonlit Savior","""Sheesh, she's become such a showoff. Now who's fault could that be?"" ""Are you saying it's my fault? It's clearly yours.""—Fiethsing and Zero","The Moonlit Savior","Automatic
Whenever a Moon enters your field ⇒ You may draw a card."
"http://www.fowtcg.com/card/880","Kaguya, the Moonlit Savior","http://d12h0em1d7ppg.cloudfront.net/items/88/880/image_en/1485237415.jpg","TMS-003J","JR","","700 / 900","J-Ruler","Wizard","桂福蔵","The Moonlit Savior","""An ally of justice shall appear from the moon! And who could that mysterious hero be? Obviously it's me!""","The Moonlit Savior","Activate
God's Art [Light of the Sacred Moon] [W][M][3]: Rest all J/resonators your opponent controls. Then recover all magic stones you control. You may pay [Awakening] costs [M] less this turn. (Play God's Art [Light of the Sacred Moon] only once per game.)"
"http://www.fowtcg.com/card/881","Holy Moon of Pure Nights","http://d12h0em1d7ppg.cloudfront.net/items/88/881/image_en/1485237417.jpg","TMS-004","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Addition: Field","Moon","狛蜜ザキ","The Moonlit Savior","""That's...the same moon from Earth...why is it here? -Avatar of the Seven Lands, Alice","The Moonlit Savior","Activate
[M][2]: Rest target J-ruler."
"http://www.fowtcg.com/card/881","Holy Moon of Pure Nights","http://d12h0em1d7ppg.cloudfront.net/items/88/881/image_en/1485237417.jpg","TMS-004","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","","Addition: Field","Moon","狛蜜ザキ","The Moonlit Savior","""That's...the same moon from Earth...why is it here? -Avatar of the Seven Lands, Alice","The Moonlit Savior","Activate
[M][2]: Rest target J-ruler."
"http://www.fowtcg.com/card/882","Izanagi, Keeper of the Seal","http://d12h0em1d7ppg.cloudfront.net/items/88/882/image_en/1485237418.jpg","TMS-005","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","1100 / 1100","Resonator","Myth","touge369","The Moonlit Savior","""My only purpose is to keep the seal from being broken.""","The Moonlit Savior","Continuous
This card gains [+300/+300] for each card in all removed areas that was removed by this card."
"http://www.fowtcg.com/card/882","Izanagi, Keeper of the Seal","http://d12h0em1d7ppg.cloudfront.net/items/88/882/image_en/1485237418.jpg","TMS-005","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","1100 / 1100","Resonator","Myth","touge369","The Moonlit Savior","""My only purpose is to keep the seal from being broken.""","The Moonlit Savior","Continuous
This card gains [+300/+300] for each card in all removed areas that was removed by this card."
"http://www.fowtcg.com/card/882","Izanagi, Keeper of the Seal","http://d12h0em1d7ppg.cloudfront.net/items/88/882/image_en/1485237418.jpg","TMS-005","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/04.png","1100 / 1100","Resonator","Myth","touge369","The Moonlit Savior","""My only purpose is to keep the seal from being broken.""","The Moonlit Savior","Continuous
This card gains [+300/+300] for each card in all removed areas that was removed by this card."
