"card_url","card_name","card_image","card_number","card_rarity","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets","card_att_def","card_cost_attribute"
"http://www.fowtcg.com/card/762","Alice, Girl of the Lake","http://d12h0em1d7ppg.cloudfront.net/items/76/762/image_en/1486705858.jpg","TTW-001","R","Ruler","Wanderer","Wednesday","The Twilight Wanderer","Judgement
[8]. You may pay [1] less to play this ability for each Fairy you control.","While dozing off, Alice saw a dream. A dream of a world she used to belong to.","The Twilight Wanderer","",""
"http://www.fowtcg.com/card/763","Alice, Fairy Queen","http://d12h0em1d7ppg.cloudfront.net/items/76/763/image_en/1486705862.jpg","TTW-001J","JR","J-Ruler","Queen/Fairy","Wednesday","The Twilight Wanderer","Activate
God's Art [Reminiscence of Utopia] [W][W]: J/resonators you control gain [+200/+200]. Search your deck for a card named ""Excalibur, the Spirit God's Sword"" and put it into your field. Then shuffle your deck. (Play God's Art [Reminiscence of Utopia] only once per game.)","When Alice awoke, she remembered what needed to be done, and the foe that must be defeated.","The Twilight Wanderer","900 / 900",""
"http://www.fowtcg.com/card/764","Alice's Little Supply Force","http://d12h0em1d7ppg.cloudfront.net/items/76/764/image_en/1486705864.jpg","TTW-002","C","Resonator","Soldier","城戸春一","The Twilight Wanderer","Activate
[W], banish this card：Recover target resonator.","Alice called the final soldier from the Ancient Treasury, and turned to face the battle.","The Twilight Wanderer","200 / 200","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/765","Arthur Pendragon, King of the Round Table","http://d12h0em1d7ppg.cloudfront.net/items/76/765/image_en/1486705866.jpg","TTW-003","SR","Resonator","Knight of the Round Table","lack","The Twilight Wanderer","Activate
[rest]: Target resonator gains [0/+800] until end of turn.","With the power he holds, he is ready to take on any burden.","The Twilight Wanderer","1200 / 1200","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/765","Arthur Pendragon, King of the Round Table","http://d12h0em1d7ppg.cloudfront.net/items/76/765/image_en/1486705866.jpg","TTW-003","SR","Resonator","Knight of the Round Table","lack","The Twilight Wanderer","Activate
[rest]: Target resonator gains [0/+800] until end of turn.","With the power he holds, he is ready to take on any burden.","The Twilight Wanderer","1200 / 1200","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/765","Arthur Pendragon, King of the Round Table","http://d12h0em1d7ppg.cloudfront.net/items/76/765/image_en/1486705866.jpg","TTW-003","SR","Resonator","Knight of the Round Table","lack","The Twilight Wanderer","Activate
[rest]: Target resonator gains [0/+800] until end of turn.","With the power he holds, he is ready to take on any burden.","The Twilight Wanderer","1200 / 1200","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/03.png"
"http://www.fowtcg.com/card/766","Elaine, the Fairy","http://d12h0em1d7ppg.cloudfront.net/items/76/766/image_en/1486705868.jpg","TTW-004","U","Resonator","Fairy","長崎祐子","The Twilight Wanderer","Continuous
Other Fairy J/resonators you control gain [+200/0].","When that fairy smiles, it signals an attack that will tear the opponent to pieces.","The Twilight Wanderer","400 / 400","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/766","Elaine, the Fairy","http://d12h0em1d7ppg.cloudfront.net/items/76/766/image_en/1486705868.jpg","TTW-004","U","Resonator","Fairy","長崎祐子","The Twilight Wanderer","Continuous
Other Fairy J/resonators you control gain [+200/0].","When that fairy smiles, it signals an attack that will tear the opponent to pieces.","The Twilight Wanderer","400 / 400","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/767","Fairy of the Lake","http://d12h0em1d7ppg.cloudfront.net/items/76/767/image_en/1486705870.jpg","TTW-005","C","Resonator","Fairy","夕子","The Twilight Wanderer","","To protect the girl laying by the lake, these fairies took flight.","The Twilight Wanderer","500 / 500","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/767","Fairy of the Lake","http://d12h0em1d7ppg.cloudfront.net/items/76/767/image_en/1486705870.jpg","TTW-005","C","Resonator","Fairy","夕子","The Twilight Wanderer","","To protect the girl laying by the lake, these fairies took flight.","The Twilight Wanderer","500 / 500","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png"
"http://www.fowtcg.com/card/768","Galahad, the Son of the God","http://d12h0em1d7ppg.cloudfront.net/items/76/768/image_en/1486705873.jpg","TTW-006","U","Resonator","Knight of the Round Table","touge369","The Twilight Wanderer","Automatic
When this card is put into a graveyard from your field ⇒ Rest target resonator your opponent controls.","""Galahad was recognized as the greatest knight of King Arthur."" —Tales of King Arthur","The Twilight Wanderer","400 / 400","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/768","Galahad, the Son of the God","http://d12h0em1d7ppg.cloudfront.net/items/76/768/image_en/1486705873.jpg","TTW-006","U","Resonator","Knight of the Round Table","touge369","The Twilight Wanderer","Automatic
When this card is put into a graveyard from your field ⇒ Rest target resonator your opponent controls.","""Galahad was recognized as the greatest knight of King Arthur."" —Tales of King Arthur","The Twilight Wanderer","400 / 400","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png"
"http://www.fowtcg.com/card/769","Gawain, the Knight of the Sun","http://d12h0em1d7ppg.cloudfront.net/items/76/769/image_en/1486705875.jpg","TTW-007","R","Resonator","Knight of the Round Table","ORETO","The Twilight Wanderer","Automatic
Whenever this card attacks or blocks ⇒ Rest target resonator.","""I failed to protect my ruler in the past. In this world, I'll protect you at any cost.""","The Twilight Wanderer","300 / 700","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/769","Gawain, the Knight of the Sun","http://d12h0em1d7ppg.cloudfront.net/items/76/769/image_en/1486705875.jpg","TTW-007","R","Resonator","Knight of the Round Table","ORETO","The Twilight Wanderer","Automatic
Whenever this card attacks or blocks ⇒ Rest target resonator.","""I failed to protect my ruler in the past. In this world, I'll protect you at any cost.""","The Twilight Wanderer","300 / 700","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/770","Gloria's Castle Town","http://d12h0em1d7ppg.cloudfront.net/items/77/770/image_en/1486705877.jpg","TTW-008","R","Addition: Field","Castle","Fushikaden K.K.","The Twilight Wanderer","Automatic
Whenever you gain life ⇒ Target resonator gains [+300/+300] until end of turn.","Gloria lived a period of high prosperity under the guidance of the Sacred Queen.","The Twilight Wanderer","","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/770","Gloria's Castle Town","http://d12h0em1d7ppg.cloudfront.net/items/77/770/image_en/1486705877.jpg","TTW-008","R","Addition: Field","Castle","Fushikaden K.K.","The Twilight Wanderer","Automatic
Whenever you gain life ⇒ Target resonator gains [+300/+300] until end of turn.","Gloria lived a period of high prosperity under the guidance of the Sacred Queen.","The Twilight Wanderer","","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png"
"http://www.fowtcg.com/card/771","Grand Cross","http://d12h0em1d7ppg.cloudfront.net/items/77/771/image_en/1486705879.jpg","TTW-009","R","Chant","","あき","The Twilight Wanderer","Continuous
Remove target addition or resonator that has or shares the highest ATK from the game. As long as your J-ruler is ""Alice, Fairy Queen"", you may pay [W][W] less to play its God's Art abilities this turn.","""Now feel the light of hope, Grand Cross!""—Alice, Fairy Queen","The Twilight Wanderer","","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/771","Grand Cross","http://d12h0em1d7ppg.cloudfront.net/items/77/771/image_en/1486705879.jpg","TTW-009","R","Chant","","あき","The Twilight Wanderer","Continuous
Remove target addition or resonator that has or shares the highest ATK from the game. As long as your J-ruler is ""Alice, Fairy Queen"", you may pay [W][W] less to play its God's Art abilities this turn.","""Now feel the light of hope, Grand Cross!""—Alice, Fairy Queen","The Twilight Wanderer","","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/772","Justice of God's Sword","http://d12h0em1d7ppg.cloudfront.net/items/77/772/image_en/1486705881.jpg","TTW-010","C","Chant","","みえ","The Twilight Wanderer","","""Invaders! I'll cut you in two!""","The Twilight Wanderer","","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/773","Light Sprite","http://d12h0em1d7ppg.cloudfront.net/items/77/773/image_en/1486705883.jpg","TTW-011","C","Resonator","Fairy","みえ","The Twilight Wanderer","Activate
[rest]: Gain 100 life for each Fairy you control.","""Such a warm light...are you the ones who saved me?""—Alice, Girl of the Lake","The Twilight Wanderer","200 / 300","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/774","Nimue, the Fairy","http://d12h0em1d7ppg.cloudfront.net/items/77/774/image_en/1486705888.jpg","TTW-012","U","Resonator","Fairy","上木乃アロエ","The Twilight Wanderer","Continuous
Other Fairy J/resonators you control gain [+200/0].","When that fairy smiles, it signals a defense that will save any ally.","The Twilight Wanderer","400 / 400","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/774","Nimue, the Fairy","http://d12h0em1d7ppg.cloudfront.net/items/77/774/image_en/1486705888.jpg","TTW-012","U","Resonator","Fairy","上木乃アロエ","The Twilight Wanderer","Continuous
Other Fairy J/resonators you control gain [+200/0].","When that fairy smiles, it signals a defense that will save any ally.","The Twilight Wanderer","400 / 400","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
