"card_url","card_name","card_image","card_number","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets","card_att_def","card_cost_attribute"
"http://www.fowtcg.com/card/1098","Alicia Melchiott(W)","http://d12h0em1d7ppg.cloudfront.net/items/10/1098/image_en/1485240652.jpg","VIN002-001","Ruler","Military/Squad 7","SEGA","Vingolf ""Valkyria Chronicles""","Judgement
[7]. You may pay [1] less to play this ability for each Squad 7 resonator you control.","""When this is over...there's something I want to tell you.""","Vingolf ""Valkyria Chronicles""","",""
"http://www.fowtcg.com/card/1099","Alicia Gunther","http://d12h0em1d7ppg.cloudfront.net/items/10/1099/image_en/1485240654.jpg","VIN002-001J","J-Ruler","Baker","SEGA","Vingolf ""Valkyria Chronicles""","Continuous
Squad 7 resonators you control gain [+200/+200].","","Vingolf ""Valkyria Chronicles""","400 / 1000",""
"http://www.fowtcg.com/card/1100","Clementia F?rster","http://d12h0em1d7ppg.cloudfront.net/items/11/1100/image_en/1485240655.jpg","VIN002-002","Resonator","Researcher","SEGA","Vingolf ""Valkyria Chronicles""","Automatic
When this card enters your field ⇒ Search your main deck for an addition, reveal it and put it into your hand. Then shuffle your main deck.","""Is this the best you can manage? How disappointing.""","Vingolf ""Valkyria Chronicles""","400 / 400","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/1100","Clementia F?rster","http://d12h0em1d7ppg.cloudfront.net/items/11/1100/image_en/1485240655.jpg","VIN002-002","Resonator","Researcher","SEGA","Vingolf ""Valkyria Chronicles""","Automatic
When this card enters your field ⇒ Search your main deck for an addition, reveal it and put it into your hand. Then shuffle your main deck.","""Is this the best you can manage? How disappointing.""","Vingolf ""Valkyria Chronicles""","400 / 400","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png"
"http://www.fowtcg.com/card/1101","Edy Nelson","http://d12h0em1d7ppg.cloudfront.net/items/11/1101/image_en/1485240656.jpg","VIN002-003","Resonator","Military/Squad 7","SEGA","Vingolf ""Valkyria Chronicles""","Automatic
When a Squad 7 you control is destroyed ⇒ Rest this card.","""Another Edy legend is born!""","Vingolf ""Valkyria Chronicles""","500 / 500","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/1101","Edy Nelson","http://d12h0em1d7ppg.cloudfront.net/items/11/1101/image_en/1485240656.jpg","VIN002-003","Resonator","Military/Squad 7","SEGA","Vingolf ""Valkyria Chronicles""","Automatic
When a Squad 7 you control is destroyed ⇒ Rest this card.","""Another Edy legend is born!""","Vingolf ""Valkyria Chronicles""","500 / 500","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png"
"http://www.fowtcg.com/card/1102","Elshan Flower","http://d12h0em1d7ppg.cloudfront.net/items/11/1102/image_en/1485240658.jpg","VIN002-004","Chant","","SEGA","Vingolf ""Valkyria Chronicles""","","","Vingolf ""Valkyria Chronicles""","","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/1102","Elshan Flower","http://d12h0em1d7ppg.cloudfront.net/items/11/1102/image_en/1485240658.jpg","VIN002-004","Chant","","SEGA","Vingolf ""Valkyria Chronicles""","","","Vingolf ""Valkyria Chronicles""","","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/1103","First-Aid","http://d12h0em1d7ppg.cloudfront.net/items/11/1103/image_en/1485240659.jpg","VIN002-005","Chant","","SEGA","Vingolf ""Valkyria Chronicles""","","","Vingolf ""Valkyria Chronicles""","","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/1103","First-Aid","http://d12h0em1d7ppg.cloudfront.net/items/11/1103/image_en/1485240659.jpg","VIN002-005","Chant","","SEGA","Vingolf ""Valkyria Chronicles""","","","Vingolf ""Valkyria Chronicles""","","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/1103","First-Aid","http://d12h0em1d7ppg.cloudfront.net/items/11/1103/image_en/1485240659.jpg","VIN002-005","Chant","","SEGA","Vingolf ""Valkyria Chronicles""","","","Vingolf ""Valkyria Chronicles""","","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png"
"http://www.fowtcg.com/card/1104","Flak Jacket","http://d12h0em1d7ppg.cloudfront.net/items/11/1104/image_en/1485240662.jpg","VIN002-006","Addition：J/Resonator","","SEGA","Vingolf ""Valkyria Chronicles""","Continuous
Prevent all damage that would be dealt to added J/resonator.","","Vingolf ""Valkyria Chronicles""","","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/1104","Flak Jacket","http://d12h0em1d7ppg.cloudfront.net/items/11/1104/image_en/1485240662.jpg","VIN002-006","Addition：J/Resonator","","SEGA","Vingolf ""Valkyria Chronicles""","Continuous
Prevent all damage that would be dealt to added J/resonator.","","Vingolf ""Valkyria Chronicles""","","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png"
"http://www.fowtcg.com/card/1105","Homer Peron","http://d12h0em1d7ppg.cloudfront.net/items/11/1105/image_en/1485240664.jpg","VIN002-007","Resonator","Military/Squad 7","SEGA","Vingolf ""Valkyria Chronicles""","Automatic
When this card enters your field ⇒ You gain 500 life.","""Hehe...A battle of death, despair, and pleasure is beginning.""","Vingolf ""Valkyria Chronicles""","700 / 700","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/1105","Homer Peron","http://d12h0em1d7ppg.cloudfront.net/items/11/1105/image_en/1485240664.jpg","VIN002-007","Resonator","Military/Squad 7","SEGA","Vingolf ""Valkyria Chronicles""","Automatic
When this card enters your field ⇒ You gain 500 life.","""Hehe...A battle of death, despair, and pleasure is beginning.""","Vingolf ""Valkyria Chronicles""","700 / 700","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png"
"http://www.fowtcg.com/card/1106","Irene Ellet","http://d12h0em1d7ppg.cloudfront.net/items/11/1106/image_en/1485240665.jpg","VIN002-008","Resonator","Reporter","SEGA","Vingolf ""Valkyria Chronicles""","Automatic
When this card enters your field ⇒ Reveal the top card of your main deck. If it's a Squad 7, put it into your hand.","""The best stories are always in the most dangerous places! I'm the bravest reporter GBS has!""","Vingolf ""Valkyria Chronicles""","200 / 200","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
"http://www.fowtcg.com/card/1107","Jann Walker","http://d12h0em1d7ppg.cloudfront.net/items/11/1107/image_en/1485240666.jpg","VIN002-009","Resonator","Military/Squad 7","SEGA","Vingolf ""Valkyria Chronicles""","Automatic
When this card enters your field ⇒ Destroy target Tank.","""This is the epitome of muscle!""","Vingolf ""Valkyria Chronicles""","500 / 500","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png"
