"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/612","Blessed Holy Wolf","http://d12h0em1d7ppg.cloudfront.net/items/61/612/image_en/1485234003.jpg","VS01-001","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","400 / 600","Resonator","Holy Beast","瞬く","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
When this card enters your field ⇒ You may destroy target addition.","The kingdom offers its blessing to anyone and wolves aren’t an exception. These sacred beasts are allied with us in the protection of the kingdom.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/612","Blessed Holy Wolf","http://d12h0em1d7ppg.cloudfront.net/items/61/612/image_en/1485234003.jpg","VS01-001","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","400 / 600","Resonator","Holy Beast","瞬く","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
When this card enters your field ⇒ You may destroy target addition.","The kingdom offers its blessing to anyone and wolves aren’t an exception. These sacred beasts are allied with us in the protection of the kingdom.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/613","Excalibur, the God's Sword","http://d12h0em1d7ppg.cloudfront.net/items/61/613/image_en/1485234004.jpg","VS01-002","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/00.png","","Regalia","","猫囃子","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Activate
Banish this card: Your J-ruler gains [Imperishable] until end of turn.","The sword destined to the chosen one.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/614","Faria, the Sacred Queen","http://d12h0em1d7ppg.cloudfront.net/items/61/614/image_en/1485234006.jpg","VS01-003","R","","","Ruler","Seven Kings","猫囃子","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Activate
[W][W]: You gain 200 life.","The Sacred Queen Faria, the one who ruled upon Gloria, The Holy Land, was a honest and pure person. Her servants' loyalty to her was supreme. She hated the war, but the people of Gloria thought that she was the most suitable to rule the Seven Kingdoms.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/615","Faria, the Ruler of God Sword","http://d12h0em1d7ppg.cloudfront.net/items/61/615/image_en/1485234008.jpg","VS01-003Ｊ","JR","","800 / 800","J-Ruler","Seven Kings","猫囃子","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Activate
God's Art [W][W][4]: Recover all resonators you control. Play God's Art only once per game.","“Sacred Sword that resonates with the spirit of the hero, grant me your power!”","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/616","Galahad, the Son of the God","http://d12h0em1d7ppg.cloudfront.net/items/61/616/image_en/1485234010.jpg","VS01-004","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","400 / 400","Resonator","Knight of the Round Table","touge３６９","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
When this card is put into a graveyard from your field ⇒ Rest target resonator your opponent controls.","""Galahad was recognized as the greatest knight of King Arthur."" —Tales of King Arthur","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/616","Galahad, the Son of the God","http://d12h0em1d7ppg.cloudfront.net/items/61/616/image_en/1485234010.jpg","VS01-004","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","400 / 400","Resonator","Knight of the Round Table","touge３６９","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
When this card is put into a graveyard from your field ⇒ Rest target resonator your opponent controls.","""Galahad was recognized as the greatest knight of King Arthur."" —Tales of King Arthur","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/617","Gawain, the Knight of the Sun","http://d12h0em1d7ppg.cloudfront.net/items/61/617/image_en/1485234011.jpg","VS01-005","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","300 / 700","Resonator","Knight of the Round Table","松本エイト","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
Whenever this card attacks or blocks ⇒ Rest target resonator.","""I failed to protect my ruler in the past. In this world, I'll protect you at any cost.""","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/617","Gawain, the Knight of the Sun","http://d12h0em1d7ppg.cloudfront.net/items/61/617/image_en/1485234011.jpg","VS01-005","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","300 / 700","Resonator","Knight of the Round Table","松本エイト","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
Whenever this card attacks or blocks ⇒ Rest target resonator.","""I failed to protect my ruler in the past. In this world, I'll protect you at any cost.""","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/618","Gloria's Castle Town","http://d12h0em1d7ppg.cloudfront.net/items/61/618/image_en/1485234014.jpg","VS01-006","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Addition: Field","Castle","Fushikaden K.K.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
Whenever you gain life ⇒ Target resonator gains [+300/+300] until end of turn.","Gloria lived a period of high prosperity under the guidance of the Sacred Queen.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/618","Gloria's Castle Town","http://d12h0em1d7ppg.cloudfront.net/items/61/618/image_en/1485234014.jpg","VS01-006","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","","Addition: Field","Castle","Fushikaden K.K.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
Whenever you gain life ⇒ Target resonator gains [+300/+300] until end of turn.","Gloria lived a period of high prosperity under the guidance of the Sacred Queen.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/619","Gwiber, the White Dragon","http://d12h0em1d7ppg.cloudfront.net/items/61/619/image_en/1485234016.jpg","VS01-007","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","1200 / 1200","Resonator","Dragon","kakotomirai","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Continuous
You may pay [2] less to play this card for each resonator you control that entered your field this turn.","It’s the incarnation of the ideals.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/619","Gwiber, the White Dragon","http://d12h0em1d7ppg.cloudfront.net/items/61/619/image_en/1485234016.jpg","VS01-007","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/04.png","1200 / 1200","Resonator","Dragon","kakotomirai","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Continuous
You may pay [2] less to play this card for each resonator you control that entered your field this turn.","It’s the incarnation of the ideals.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/620","Herald of Sacred Queen","http://d12h0em1d7ppg.cloudfront.net/items/62/620/image_en/1485234017.jpg","VS01-008","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","300 / 300","Resonator","Soldier","すばる","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
When this card enters your field ⇒ Search your deck for a card named ""Herald of Sacred Queen"", reveal it and put it into your hand. Then shuffle your deck.","","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/620","Herald of Sacred Queen","http://d12h0em1d7ppg.cloudfront.net/items/62/620/image_en/1485234017.jpg","VS01-008","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","300 / 300","Resonator","Soldier","すばる","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
When this card enters your field ⇒ Search your deck for a card named ""Herald of Sacred Queen"", reveal it and put it into your hand. Then shuffle your deck.","","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/621","Justice of God's Sword","http://d12h0em1d7ppg.cloudfront.net/items/62/621/image_en/1485234018.jpg","VS01-009","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","みえ","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","","""Invaders! I'll cut you in two!""","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/622","Order of Sacred Queen","http://d12h0em1d7ppg.cloudfront.net/items/62/622/image_en/1485234019.jpg","VS01-010","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","Cola","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","","The ruler’s words inspire anyone who is faithful to her.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/622","Order of Sacred Queen","http://d12h0em1d7ppg.cloudfront.net/items/62/622/image_en/1485234019.jpg","VS01-010","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","Cola","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","","The ruler’s words inspire anyone who is faithful to her.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/622","Order of Sacred Queen","http://d12h0em1d7ppg.cloudfront.net/items/62/622/image_en/1485234019.jpg","VS01-010","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","","Chant","","Cola","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","","The ruler’s words inspire anyone who is faithful to her.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/623","Perceval, the Seeker of Holy Grail","http://d12h0em1d7ppg.cloudfront.net/items/62/623/image_en/1485234021.jpg","VS01-011","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 200","Resonator","Knight of the Round Table","城戸春一","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Activate
Banish this card: Prevent all damage that would be dealt to target J-ruler or Knight of the Round Table until end of turn.","To her, this is the beginning of a new search for the Grail.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/624","Pride of Knights","http://d12h0em1d7ppg.cloudfront.net/items/62/624/image_en/1485234022.jpg","VS01-012","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","gozz","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","","""I won't surrender!"" —Faria, the Sacred Queen","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/625","Temple Monk","http://d12h0em1d7ppg.cloudfront.net/items/62/625/image_en/1485234023.jpg","VS01-013","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 400","Resonator","Bishop","おつまみ","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
When this card enters your field ⇒ You gain 400 life.","""Not only the body, but even the spirit is healed.""","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/626","Tristan, the Knight of Sorrow","http://d12h0em1d7ppg.cloudfront.net/items/62/626/image_en/1485234025.jpg","VS01-014","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 600","Resonator","Knight of the Round Table","ハタリス","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
Whenever this card attacks ⇒ Resonators you control gain [+100/0] until end of turn.","The sad man can be both strong and kind.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/626","Tristan, the Knight of Sorrow","http://d12h0em1d7ppg.cloudfront.net/items/62/626/image_en/1485234025.jpg","VS01-014","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","600 / 600","Resonator","Knight of the Round Table","ハタリス","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
Whenever this card attacks ⇒ Resonators you control gain [+100/0] until end of turn.","The sad man can be both strong and kind.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/627","Veteran Master","http://d12h0em1d7ppg.cloudfront.net/items/62/627/image_en/1485234027.jpg","VS01-015","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 600","Resonator","Knight","見田航介","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Activate
[Rest]: Target resonator with total cost 2 or less gains [+200/+200] until end of turn.","The kingdom of Gloria, like all the seven kingdoms, used to practice conscription, as many countries aspired to expand their territories.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/627","Veteran Master","http://d12h0em1d7ppg.cloudfront.net/items/62/627/image_en/1485234027.jpg","VS01-015","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","600 / 600","Resonator","Knight","見田航介","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Activate
[Rest]: Target resonator with total cost 2 or less gains [+200/+200] until end of turn.","The kingdom of Gloria, like all the seven kingdoms, used to practice conscription, as many countries aspired to expand their territories.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/628","Young Knight of Gloria","http://d12h0em1d7ppg.cloudfront.net/items/62/628/image_en/1485234029.jpg","VS01-016","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","300 / 300","Resonator","Knight","サウマロ","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","","They proudly serve their lord, and fight to the last to protect Gloria. Anything else would be unfitting of a knight.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/629","Certo, the Blazing Volcano","http://d12h0em1d7ppg.cloudfront.net/items/62/629/image_en/1485234030.jpg","VS01-017","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","","Addition: Field","Mountain","Cola","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
Whenever a resonator is put into a graveyard from a field ⇒ This card deals 100 damage to each player.","The volcano is the future. Only the chosen ones will survive.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/629","Certo, the Blazing Volcano","http://d12h0em1d7ppg.cloudfront.net/items/62/629/image_en/1485234030.jpg","VS01-017","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","","Addition: Field","Mountain","Cola","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","Automatic
Whenever a resonator is put into a graveyard from a field ⇒ This card deals 100 damage to each player.","The volcano is the future. Only the chosen ones will survive.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/630","Demonflame","http://d12h0em1d7ppg.cloudfront.net/items/63/630/image_en/1485234032.jpg","VS01-018","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","","Chant","","Ｎａｇｉにゃん","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","","""Burn!"" -Melgis, the Flame King","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
"http://www.fowtcg.com/card/631","Dragoon of Certo","http://d12h0em1d7ppg.cloudfront.net/items/63/631/image_en/1485234033.jpg","VS01-019","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","500 / 500","Resonator","Knight","今野隼史","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King""","","A kingdom based on strength will have an absolute loyalty imposed by law. Obviously if the strength will be lost, everything would collapse.","Starter Deck ""Faria, the Sacred Queen and Melgis, the Flame King"""
