"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/1198","Aesop, the Prince's Tutor","http://d12h0em1d7ppg.cloudfront.net/items/11/1198/image_en/1485242181.jpg","CMF-001","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","500 / 500","Resonator","Human","城戸春一","Crimson Moon'sFairy Tale","Continuous
Fairy Tales you control cannot be targeted by spells or abilities your opponent controls.","After seeing Prince Grimm's interest in them, he too realized the mysterious power of fairy tales. That is why he teaches them.","Crimson Moon'sFairy Tale"
"http://www.fowtcg.com/card/1198","Aesop, the Prince's Tutor","http://d12h0em1d7ppg.cloudfront.net/items/11/1198/image_en/1485242181.jpg","CMF-001","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","500 / 500","Resonator","Human","城戸春一","Crimson Moon'sFairy Tale","Continuous
Fairy Tales you control cannot be targeted by spells or abilities your opponent controls.","After seeing Prince Grimm's interest in them, he too realized the mysterious power of fairy tales. That is why he teaches them.","Crimson Moon'sFairy Tale"
"http://www.fowtcg.com/card/1199","Blinded Prince","http://d12h0em1d7ppg.cloudfront.net/items/11/1199/image_en/1485242182.jpg","CMF-002","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Fairy Tale/Human/Prince","ハタリス","Crimson Moon'sFairy Tale","Activate
[0]: This card loses all abilities until end of turn. Play this ability only if you control ""Rapunzel, the Long-Haired Princess"".","The magical power held within Rapunzel's tears restores the eyesight of the once cursed prince. —from the fairy tale ""Rapunzel""","Crimson Moon'sFairy Tale"
"http://www.fowtcg.com/card/1199","Blinded Prince","http://d12h0em1d7ppg.cloudfront.net/items/11/1199/image_en/1485242182.jpg","CMF-002","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","800 / 800","Resonator","Fairy Tale/Human/Prince","ハタリス","Crimson Moon'sFairy Tale","Activate
[0]: This card loses all abilities until end of turn. Play this ability only if you control ""Rapunzel, the Long-Haired Princess"".","The magical power held within Rapunzel's tears restores the eyesight of the once cursed prince. —from the fairy tale ""Rapunzel""","Crimson Moon'sFairy Tale"
"http://www.fowtcg.com/card/1200","Clothes Tailor","http://d12h0em1d7ppg.cloudfront.net/items/12/1200/image_en/1485242184.jpg","CMF-003","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","300 / 300","Resonator","Fairy Tale/Human","tokiwa","Crimson Moon'sFairy Tale","Activate
[rest]: Move target [Addition: Resonator] you control onto another resonator.","","Crimson Moon'sFairy Tale"
"http://www.fowtcg.com/card/1201","Dream of Juliet","http://d12h0em1d7ppg.cloudfront.net/items/12/1201/image_en/1485242185.jpg","CMF-004","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","gekko","Crimson Moon'sFairy Tale","","Juliet's dream was to live with Romeo happily ever after. Now it is time for that dream to become reality.","Crimson Moon'sFairy Tale"
"http://www.fowtcg.com/card/1201","Dream of Juliet","http://d12h0em1d7ppg.cloudfront.net/items/12/1201/image_en/1485242185.jpg","CMF-004","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","","Chant","","gekko","Crimson Moon'sFairy Tale","","Juliet's dream was to live with Romeo happily ever after. Now it is time for that dream to become reality.","Crimson Moon'sFairy Tale"
"http://www.fowtcg.com/card/1202","Grimm, the Fairy Tale Prince","http://d12h0em1d7ppg.cloudfront.net/items/12/1202/image_en/1485242186.jpg","CMF-005","R","","","Ruler","Human","城戸春一","Crimson Moon'sFairy Tale","Activate
[1], discard a Fairy Tale resonator: Search your deck for a Fairy Tale resonator, reveal it and put it into your hand. Then shuffle your deck. Play this ability only once per turn.","Prince Grimm never needed to read fairy tales; the spirits within told him of their own stories.","Crimson Moon'sFairy Tale"
"http://www.fowtcg.com/card/1203","Holy Grail","http://d12h0em1d7ppg.cloudfront.net/items/12/1203/image_en/1485242189.jpg","CMF-006","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Addition: Field","(Relic)","Mz.縞","Crimson Moon'sFairy Tale","Activate
[rest]: Remove all damage that was dealt to target J-ruler this turn.","One of the man-made relics of this world. Nobody knows how to use the grail to its full potential.","Crimson Moon'sFairy Tale"
"http://www.fowtcg.com/card/1204","Jeweled Branch of Horai","http://d12h0em1d7ppg.cloudfront.net/items/12/1204/image_en/1485242192.jpg","CMF-007","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Addition: Field","(Treasury Item)","Cola","Crimson Moon'sFairy Tale","Activate
[W], [rest]: Rest up to two target fire and/or darkness resonators.","How does one distinguish between the real and a fake? It's simple - destroy all but one. That then becomes the real one. —Fakes,Fake Master","Crimson Moon'sFairy Tale"
