"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/1531","Almerius, the Magus of Light","http://d12h0em1d7ppg.cloudfront.net/items/15/1531/image_en/1485246297.jpg","MOA-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","500 / 500","Resonator","Six Sages/Human","ぽん吉","The Millennia of Ages","Activate
Remove a knowledge counter from this card: Remove target attacking resonator from the game.","“In the end I will have to join the battle, I still find it annoying having to cooperate with those five.”","The Millennia of Ages"
"http://www.fowtcg.com/card/1531","Almerius, the Magus of Light","http://d12h0em1d7ppg.cloudfront.net/items/15/1531/image_en/1485246297.jpg","MOA-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","500 / 500","Resonator","Six Sages/Human","ぽん吉","The Millennia of Ages","Activate
Remove a knowledge counter from this card: Remove target attacking resonator from the game.","“In the end I will have to join the battle, I still find it annoying having to cooperate with those five.”","The Millennia of Ages"
"http://www.fowtcg.com/card/1531","Almerius, the Magus of Light","http://d12h0em1d7ppg.cloudfront.net/items/15/1531/image_en/1485246297.jpg","MOA-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","500 / 500","Resonator","Six Sages/Human","ぽん吉","The Millennia of Ages","Activate
Remove a knowledge counter from this card: Remove target attacking resonator from the game.","“In the end I will have to join the battle, I still find it annoying having to cooperate with those five.”","The Millennia of Ages"
"http://www.fowtcg.com/card/1532","Duet of Light","http://d12h0em1d7ppg.cloudfront.net/items/15/1532/image_en/1485246298.jpg","MOA-002","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","おつまみ","The Millennia of Ages","","“Zero, now that I blocked the enemy, finish it!” “Okay, leave it to me!” -Almerius, the Magus of Light and Zero, the Flashing Mage-Warrior","The Millennia of Ages"
"http://www.fowtcg.com/card/1533","Grimm, the Heroic King of Aspiration","http://d12h0em1d7ppg.cloudfront.net/items/15/1533/image_en/1485246300.jpg","MOA-003","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","500 / 500","Resonator","Human","城戸春一","The Millennia of Ages","Continuous
Other light resonators you control gain [+200/+200].","The prince who aspired to fairy tales has grown up, becoming a king who inspires all.","The Millennia of Ages"
"http://www.fowtcg.com/card/1533","Grimm, the Heroic King of Aspiration","http://d12h0em1d7ppg.cloudfront.net/items/15/1533/image_en/1485246300.jpg","MOA-003","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","500 / 500","Resonator","Human","城戸春一","The Millennia of Ages","Continuous
Other light resonators you control gain [+200/+200].","The prince who aspired to fairy tales has grown up, becoming a king who inspires all.","The Millennia of Ages"
"http://www.fowtcg.com/card/1534","Kaguya, the Tale of the Bamboo Cutter","http://d12h0em1d7ppg.cloudfront.net/items/15/1534/image_en/1485246301.jpg","MOA-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","300 / 300","Resonator","Fairy Tale/Human","もぐも","The Millennia of Ages","Activate
Remove three knowledge counters from any number of resonators you control: Remove target resonator from the game.","“Kaguya was born together with the moon, she quickly grew like bamboo, and now is preparing to fight a war for the destiny of the world.” -Scheherazade, the Teller of the Crimson Moon","The Millennia of Ages"
"http://www.fowtcg.com/card/1535","Lumia, the Saint Lady of World Rebirth","http://d12h0em1d7ppg.cloudfront.net/items/15/1535/image_en/1485246303.jpg","MOA-005","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 600","Resonator","Human","下江クリス","The Millennia of Ages","Activate
Banish this card: You gain life equal to the damage that was dealt to you this turn.","The story of regeneration is longer than that of destruction. Although no hero will be born on the Texts, her deeds will remain forever in the hearts of people.","The Millennia of Ages"
"http://www.fowtcg.com/card/1535","Lumia, the Saint Lady of World Rebirth","http://d12h0em1d7ppg.cloudfront.net/items/15/1535/image_en/1485246303.jpg","MOA-005","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","600 / 600","Resonator","Human","下江クリス","The Millennia of Ages","Activate
Banish this card: You gain life equal to the damage that was dealt to you this turn.","The story of regeneration is longer than that of destruction. Although no hero will be born on the Texts, her deeds will remain forever in the hearts of people.","The Millennia of Ages"
"http://www.fowtcg.com/card/1536","Pandora, the Princess of History Chanter","http://d12h0em1d7ppg.cloudfront.net/items/15/1536/image_en/1485246305.jpg","MOA-006","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","300 / 300","Resonator","Human","碧風羽","The Millennia of Ages","","“From now on I will take care of it, I will protect everyday's hope!”","The Millennia of Ages"
