"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/1421","""I"", the Pilot","http://d12h0em1d7ppg.cloudfront.net/items/14/1421/image_en/1485245108.jpg","MPR-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Fairy Tale/Prince","城戸春一","The Moon Priestess Returns","Automatic
When ""The Little Prince"" is put into a graveyard from your field ⇒ You gain 1000 life.","I met him in there.","The Moon Priestess Returns"
"http://www.fowtcg.com/card/1421","""I"", the Pilot","http://d12h0em1d7ppg.cloudfront.net/items/14/1421/image_en/1485245108.jpg","MPR-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Fairy Tale/Prince","城戸春一","The Moon Priestess Returns","Automatic
When ""The Little Prince"" is put into a graveyard from your field ⇒ You gain 1000 life.","I met him in there.","The Moon Priestess Returns"
"http://www.fowtcg.com/card/1421","""I"", the Pilot","http://d12h0em1d7ppg.cloudfront.net/items/14/1421/image_en/1485245108.jpg","MPR-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","800 / 800","Resonator","Fairy Tale/Prince","城戸春一","The Moon Priestess Returns","Automatic
When ""The Little Prince"" is put into a graveyard from your field ⇒ You gain 1000 life.","I met him in there.","The Moon Priestess Returns"
"http://www.fowtcg.com/card/1422","Abel, the Avenger of Gods","http://d12h0em1d7ppg.cloudfront.net/items/14/1422/image_en/1485245110.jpg","MPR-002","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","700 / 700","Resonator","Human","るみえ","The Moon Priestess Returns","","""Your sin that destroyed the world. Punishment to all his kinsmen.""","The Moon Priestess Returns"
"http://www.fowtcg.com/card/1422","Abel, the Avenger of Gods","http://d12h0em1d7ppg.cloudfront.net/items/14/1422/image_en/1485245110.jpg","MPR-002","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","700 / 700","Resonator","Human","るみえ","The Moon Priestess Returns","","""Your sin that destroyed the world. Punishment to all his kinsmen.""","The Moon Priestess Returns"
"http://www.fowtcg.com/card/1422","Abel, the Avenger of Gods","http://d12h0em1d7ppg.cloudfront.net/items/14/1422/image_en/1485245110.jpg","MPR-002","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","700 / 700","Resonator","Human","るみえ","The Moon Priestess Returns","","""Your sin that destroyed the world. Punishment to all his kinsmen.""","The Moon Priestess Returns"
"http://www.fowtcg.com/card/1423","Accede the Light","http://d12h0em1d7ppg.cloudfront.net/items/14/1423/image_en/1485245111.jpg","MPR-003","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","Cola","The Moon Priestess Returns","","Power with the people, hope to be inherited.","The Moon Priestess Returns"
"http://www.fowtcg.com/card/1423","Accede the Light","http://d12h0em1d7ppg.cloudfront.net/items/14/1423/image_en/1485245111.jpg","MPR-003","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","","Chant","","Cola","The Moon Priestess Returns","","Power with the people, hope to be inherited.","The Moon Priestess Returns"
"http://www.fowtcg.com/card/1424","Apostle of Paradise","http://d12h0em1d7ppg.cloudfront.net/items/14/1424/image_en/1485245116.jpg","MPR-004","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","400 / 400","Resonator","Fantasy","gekko","The Moon Priestess Returns","Continuous
This card cannot be destroyed as long as you control ""Abel, the Avenger of Gods"".","The Illusion which Abel created. As long as his strong will is not eliminated, it will not disappear.","The Moon Priestess Returns"
"http://www.fowtcg.com/card/1424","Apostle of Paradise","http://d12h0em1d7ppg.cloudfront.net/items/14/1424/image_en/1485245116.jpg","MPR-004","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","400 / 400","Resonator","Fantasy","gekko","The Moon Priestess Returns","Continuous
This card cannot be destroyed as long as you control ""Abel, the Avenger of Gods"".","The Illusion which Abel created. As long as his strong will is not eliminated, it will not disappear.","The Moon Priestess Returns"
