"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_type","card_artist","card_expansion","card_flavor_text","card_all_sets","card_att_def","card_race","card_text"
"http://www.fowtcg.com/card/1311","Breath of the God","http://d12h0em1d7ppg.cloudfront.net/items/13/1311/image_en/1485243373.jpg","TAT-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","douzen","The Castle of Heaven and The Two Towers","""Dear Lord, do you think I am on the correct path this time?"" 〜Jeanne d'Arc, the Awakened Purifier","The Castle of Heaven and The Two Towers","","",""
"http://www.fowtcg.com/card/1311","Breath of the God","http://d12h0em1d7ppg.cloudfront.net/items/13/1311/image_en/1485243373.jpg","TAT-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Chant","douzen","The Castle of Heaven and The Two Towers","""Dear Lord, do you think I am on the correct path this time?"" 〜Jeanne d'Arc, the Awakened Purifier","The Castle of Heaven and The Two Towers","","",""
"http://www.fowtcg.com/card/1312","Caterina, the Saint of Fantasy","http://d12h0em1d7ppg.cloudfront.net/items/13/1312/image_en/1485243374.jpg","TAT-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","gekko","The Castle of Heaven and The Two Towers","Jeanne's fantasy is within her mind. Her current mind holds a deep compassion for humans.","The Castle of Heaven and The Two Towers","600 / 600","Fantasy/Saint","Continuous
Other resonators you control gain [+100/+100]."
"http://www.fowtcg.com/card/1312","Caterina, the Saint of Fantasy","http://d12h0em1d7ppg.cloudfront.net/items/13/1312/image_en/1485243374.jpg","TAT-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","gekko","The Castle of Heaven and The Two Towers","Jeanne's fantasy is within her mind. Her current mind holds a deep compassion for humans.","The Castle of Heaven and The Two Towers","600 / 600","Fantasy/Saint","Continuous
Other resonators you control gain [+100/+100]."
"http://www.fowtcg.com/card/1312","Caterina, the Saint of Fantasy","http://d12h0em1d7ppg.cloudfront.net/items/13/1312/image_en/1485243374.jpg","TAT-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","gekko","The Castle of Heaven and The Two Towers","Jeanne's fantasy is within her mind. Her current mind holds a deep compassion for humans.","The Castle of Heaven and The Two Towers","600 / 600","Fantasy/Saint","Continuous
Other resonators you control gain [+100/+100]."
"http://www.fowtcg.com/card/1313","Don Quijote, the Wandering Knight","http://d12h0em1d7ppg.cloudfront.net/items/13/1313/image_en/1485243375.jpg","TAT-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","るみえ","The Castle of Heaven and The Two Towers","His misunderstanding has caused magic stones to grow out of control. He believes himself a valiant knight, with common folk as his invincible soldiers.","The Castle of Heaven and The Two Towers","900 / 900","Knight/Human",""
"http://www.fowtcg.com/card/1313","Don Quijote, the Wandering Knight","http://d12h0em1d7ppg.cloudfront.net/items/13/1313/image_en/1485243375.jpg","TAT-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","るみえ","The Castle of Heaven and The Two Towers","His misunderstanding has caused magic stones to grow out of control. He believes himself a valiant knight, with common folk as his invincible soldiers.","The Castle of Heaven and The Two Towers","900 / 900","Knight/Human",""
"http://www.fowtcg.com/card/1313","Don Quijote, the Wandering Knight","http://d12h0em1d7ppg.cloudfront.net/items/13/1313/image_en/1485243375.jpg","TAT-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","Resonator","るみえ","The Castle of Heaven and The Two Towers","His misunderstanding has caused magic stones to grow out of control. He believes himself a valiant knight, with common folk as his invincible soldiers.","The Castle of Heaven and The Two Towers","900 / 900","Knight/Human",""
"http://www.fowtcg.com/card/1314","Grimm, the Avenger of Fairy Tales","http://d12h0em1d7ppg.cloudfront.net/items/13/1314/image_en/1485243376.jpg","TAT-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","城戸春一","The Castle of Heaven and The Two Towers","The book ""Fairy Tale of the Red Moon"" notes a story about Prince Grimms's valiant fight against the dark.","The Castle of Heaven and The Two Towers","500 / 500","Fairy Tale/Human","Automatic
[Enter] Choose target resonator. Remove it from the game if it's darkness. Otherwise, it gains [+200/+200] until end of turn. [Awakening [W]]：[Enter] If your J/ruler is ""Sacred Princess of Guidance"" or ""Lumia, the Creator of Hope"", J/resonators your opponent controls lose all abilities until end of turn."
"http://www.fowtcg.com/card/1314","Grimm, the Avenger of Fairy Tales","http://d12h0em1d7ppg.cloudfront.net/items/13/1314/image_en/1485243376.jpg","TAT-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","城戸春一","The Castle of Heaven and The Two Towers","The book ""Fairy Tale of the Red Moon"" notes a story about Prince Grimms's valiant fight against the dark.","The Castle of Heaven and The Two Towers","500 / 500","Fairy Tale/Human","Automatic
[Enter] Choose target resonator. Remove it from the game if it's darkness. Otherwise, it gains [+200/+200] until end of turn. [Awakening [W]]：[Enter] If your J/ruler is ""Sacred Princess of Guidance"" or ""Lumia, the Creator of Hope"", J/resonators your opponent controls lose all abilities until end of turn."
