"card_url","card_name","card_image","card_number","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/1581","Abe no Seimei","http://d12h0em1d7ppg.cloudfront.net/items/15/1581/image_en/1485246840.jpg","VIN001-001","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 200","Resonator","Yin-Yang Master","Riv","Vingolf ""Engage Knights""","Automatic
When this card enters your field, you may rest target resonator.","""Seimei-chan, the magical diviner, takes the center stage!""","Vingolf ""Engage Knights"""
"http://www.fowtcg.com/card/1582","Achilles","http://d12h0em1d7ppg.cloudfront.net/items/15/1582/image_en/1485246841.jpg","VIN001-002","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 400","Resonator","Hero","T-TRACK","Vingolf ""Engage Knights""","Activate
Banish this card: Target resonator cannot be targeted by spells or abilities your opponent controls until end of turn.","""My... My legs are my only strong point, but… I-I'll try as hard as I can!""","Vingolf ""Engage Knights"""
"http://www.fowtcg.com/card/1583","Breath of the God","http://d12h0em1d7ppg.cloudfront.net/items/15/1583/image_en/1485246843.jpg","VIN001-003","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","douzen","Vingolf ""Engage Knights""","","""Dear Lord, do you think I am on the correct path this time?"" 〜Jeanne d'Arc, the Awakened Purifier","Vingolf ""Engage Knights"""
"http://www.fowtcg.com/card/1583","Breath of the God","http://d12h0em1d7ppg.cloudfront.net/items/15/1583/image_en/1485246843.jpg","VIN001-003","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","","Chant","","douzen","Vingolf ""Engage Knights""","","""Dear Lord, do you think I am on the correct path this time?"" 〜Jeanne d'Arc, the Awakened Purifier","Vingolf ""Engage Knights"""
"http://www.fowtcg.com/card/1584","Duet of Light","http://d12h0em1d7ppg.cloudfront.net/items/15/1584/image_en/1485246844.jpg","VIN001-004","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","おつまみ","Vingolf ""Engage Knights""","","“Zero, now that I blocked the enemy, finish it!” “Okay, leave it to me!” -Almerius, the Magus of Light and Zero, the Flashing Mage-Warrior","Vingolf ""Engage Knights"""
"http://www.fowtcg.com/card/1585","Emperor Guangwu of Han","http://d12h0em1d7ppg.cloudfront.net/items/15/1585/image_en/1485246845.jpg","VIN001-005","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","500 / 500","Resonator","Emperor","ぽしー","Vingolf ""Engage Knights""","Activate
[W][rest]: Target resonator gains [+200/+200] until end of turn.","""Having said that, I'm busy guarding the house.""","Vingolf ""Engage Knights"""
"http://www.fowtcg.com/card/1585","Emperor Guangwu of Han","http://d12h0em1d7ppg.cloudfront.net/items/15/1585/image_en/1485246845.jpg","VIN001-005","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","500 / 500","Resonator","Emperor","ぽしー","Vingolf ""Engage Knights""","Activate
[W][rest]: Target resonator gains [+200/+200] until end of turn.","""Having said that, I'm busy guarding the house.""","Vingolf ""Engage Knights"""
"http://www.fowtcg.com/card/1586","Hammurabi","http://d12h0em1d7ppg.cloudfront.net/items/15/1586/image_en/1485246846.jpg","VIN001-006","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","400 / 400","Resonator","King","ファルまろ","Vingolf ""Engage Knights""","Automatic
Whenever a resonator deals damage to this card, this card deals that much damage to that resonator.","""Even if you get defeated, get up again! Fight twice as hard!""","Vingolf ""Engage Knights"""
"http://www.fowtcg.com/card/1586","Hammurabi","http://d12h0em1d7ppg.cloudfront.net/items/15/1586/image_en/1485246846.jpg","VIN001-006","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","400 / 400","Resonator","King","ファルまろ","Vingolf ""Engage Knights""","Automatic
Whenever a resonator deals damage to this card, this card deals that much damage to that resonator.","""Even if you get defeated, get up again! Fight twice as hard!""","Vingolf ""Engage Knights"""
"http://www.fowtcg.com/card/1587","Hannibal Barca","http://d12h0em1d7ppg.cloudfront.net/items/15/1587/image_en/1485246848.jpg","VIN001-007","","","Ruler","General","ukyo_rst","Vingolf ""Engage Knights""","Activate
[2]: Target resonator gains [+0/+200] until end of turn.","""Sweet, it went as I expected. Hehe, no one can escape my perfect strategies!""","Vingolf ""Engage Knights"""
