"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/107","Dreaming Girl, Wendy","http://d12h0em1d7ppg.cloudfront.net/items/10/107/image_en/1485219117.jpg","CFC-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 300","Resonator","Fairy Tale","上條ロロ(Kamijo Roro)","Curse of the Frozen Casket","Continuous
As long as you control ""Eternal Boy, Peter Pan"", this card cannot be attacked and gains [Flying].","A girl who dreamt of flying in the wide open world.","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/108","Dreams of Flight","http://d12h0em1d7ppg.cloudfront.net/items/10/108/image_en/1485219118.jpg","CFC-002","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","あき","Curse of the Frozen Casket","","Millium's power was divided among his Fairy Tale servants.","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/109","Escape from Crisis","http://d12h0em1d7ppg.cloudfront.net/items/10/109/image_en/1485219119.jpg","CFC-003","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","mie","Curse of the Frozen Casket","","""Are you alright? Step back, leave the rest to me."" -Glorius, the Silver Knight","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/110","Eternal Boy, Peter Pan","http://d12h0em1d7ppg.cloudfront.net/items/11/110/image_en/1485219120.jpg","CFC-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","500 / 600","Resonator","Fairy Tale","あき","Curse of the Frozen Casket","Automatic
When this card enters your field ⇒ Search your deck for a Fairy Tale resonator with total cost 1 and put it into your field. Then shuffle your deck.","An eternal youth carries with him eternal dreams.","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/110","Eternal Boy, Peter Pan","http://d12h0em1d7ppg.cloudfront.net/items/11/110/image_en/1485219120.jpg","CFC-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","500 / 600","Resonator","Fairy Tale","あき","Curse of the Frozen Casket","Automatic
When this card enters your field ⇒ Search your deck for a Fairy Tale resonator with total cost 1 and put it into your field. Then shuffle your deck.","An eternal youth carries with him eternal dreams.","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/111","Fairy of Neverland","http://d12h0em1d7ppg.cloudfront.net/items/11/111/image_en/1485219122.jpg","CFC-005","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","500 / 500","Resonator","Fairy Tale/Fairy","たかむらはるき","Curse of the Frozen Casket","Continuous
Fairy Tale resonators you control with total cost 1 gain [Flying].","""You can fly too! Ah...well maybe if you were a bit lighter...""","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/111","Fairy of Neverland","http://d12h0em1d7ppg.cloudfront.net/items/11/111/image_en/1485219122.jpg","CFC-005","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","500 / 500","Resonator","Fairy Tale/Fairy","たかむらはるき","Curse of the Frozen Casket","Continuous
Fairy Tale resonators you control with total cost 1 gain [Flying].","""You can fly too! Ah...well maybe if you were a bit lighter...""","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/112","Glorius, the Silver Knight","http://d12h0em1d7ppg.cloudfront.net/items/11/112/image_en/1485219125.jpg","CFC-006","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 700","Resonator","Human","mie","Curse of the Frozen Casket","Activate
[R]: This card gains [+200/0] and [First Strike] until end of turn.","A knight who appeared when Charlotte was in danger.","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/112","Glorius, the Silver Knight","http://d12h0em1d7ppg.cloudfront.net/items/11/112/image_en/1485219125.jpg","CFC-006","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 700","Resonator","Human","mie","Curse of the Frozen Casket","Activate
[R]: This card gains [+200/0] and [First Strike] until end of turn.","A knight who appeared when Charlotte was in danger.","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/112","Glorius, the Silver Knight","http://d12h0em1d7ppg.cloudfront.net/items/11/112/image_en/1485219125.jpg","CFC-006","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","600 / 700","Resonator","Human","mie","Curse of the Frozen Casket","Activate
[R]: This card gains [+200/0] and [First Strike] until end of turn.","A knight who appeared when Charlotte was in danger.","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/113","Glorius' Summoned Soldier","http://d12h0em1d7ppg.cloudfront.net/items/11/113/image_en/1485219128.jpg","CFC-007","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 600","Resonator","Heroic Spirit","JURI","Curse of the Frozen Casket","Automatic
When another J/resonator enters your field ⇒ It gains [+200/+200] until end of turn.","""Great spirits of the past, lend me the power to save this world."" -Glorius, the Silver Knight","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/113","Glorius' Summoned Soldier","http://d12h0em1d7ppg.cloudfront.net/items/11/113/image_en/1485219128.jpg","CFC-007","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","600 / 600","Resonator","Heroic Spirit","JURI","Curse of the Frozen Casket","Automatic
When another J/resonator enters your field ⇒ It gains [+200/+200] until end of turn.","""Great spirits of the past, lend me the power to save this world."" -Glorius, the Silver Knight","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/114","Neverland, the Parallel World","http://d12h0em1d7ppg.cloudfront.net/items/11/114/image_en/1485219130.jpg","CFC-008","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Addition","","田島幸枝","Curse of the Frozen Casket","Automatic
At the beginning of your turn ⇒ Remove the top card of your deck from the game. If it's a Fairy Tale resonator, you may play it this turn.","""Haha! Welcome to Neverland!"" -Eternal Boy, Peter Pan","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/114","Neverland, the Parallel World","http://d12h0em1d7ppg.cloudfront.net/items/11/114/image_en/1485219130.jpg","CFC-008","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Addition","","田島幸枝","Curse of the Frozen Casket","Automatic
At the beginning of your turn ⇒ Remove the top card of your deck from the game. If it's a Fairy Tale resonator, you may play it this turn.","""Haha! Welcome to Neverland!"" -Eternal Boy, Peter Pan","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/114","Neverland, the Parallel World","http://d12h0em1d7ppg.cloudfront.net/items/11/114/image_en/1485219130.jpg","CFC-008","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","","Addition","","田島幸枝","Curse of the Frozen Casket","Automatic
At the beginning of your turn ⇒ Remove the top card of your deck from the game. If it's a Fairy Tale resonator, you may play it this turn.","""Haha! Welcome to Neverland!"" -Eternal Boy, Peter Pan","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/115","Pandora, the Hope Weaving Queen","http://d12h0em1d7ppg.cloudfront.net/items/11/115/image_en/1485219131.jpg","CFC-009","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 1000","Resonator","Human","碧風羽","Curse of the Frozen Casket","Continuous
If you would roll one or more dice using [Force], roll that many dice plus one instead.","Hopes connect to other hopes.","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/115","Pandora, the Hope Weaving Queen","http://d12h0em1d7ppg.cloudfront.net/items/11/115/image_en/1485219131.jpg","CFC-009","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 1000","Resonator","Human","碧風羽","Curse of the Frozen Casket","Continuous
If you would roll one or more dice using [Force], roll that many dice plus one instead.","Hopes connect to other hopes.","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/116","Pandora's Mark of Hope","http://d12h0em1d7ppg.cloudfront.net/items/11/116/image_en/1485219157.jpg","CFC-010","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Addition","","佐々木光之介","Curse of the Frozen Casket","Activate
[Bestow] [W], [rest] (Bestow this card to target resonator. Play this ability only if this card is not bestowed to a card and only anytime you can play a chant.)","That box never seems to run out of hope.","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/117","Pumpkin Carriage","http://d12h0em1d7ppg.cloudfront.net/items/11/117/image_en/1485219159.jpg","CFC-011","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 1200","Resonator","Fairy Tale","坂井結城","Curse of the Frozen Casket","Activate
[rest]: Target Fairy Tale resonator gains [+200/+1200] until end of turn.","""This carriage looks pretty sturdy."" -Light Dress Cinderella","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/117","Pumpkin Carriage","http://d12h0em1d7ppg.cloudfront.net/items/11/117/image_en/1485219159.jpg","CFC-011","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 1200","Resonator","Fairy Tale","坂井結城","Curse of the Frozen Casket","Activate
[rest]: Target Fairy Tale resonator gains [+200/+1200] until end of turn.","""This carriage looks pretty sturdy."" -Light Dress Cinderella","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/117","Pumpkin Carriage","http://d12h0em1d7ppg.cloudfront.net/items/11/117/image_en/1485219159.jpg","CFC-011","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","200 / 1200","Resonator","Fairy Tale","坂井結城","Curse of the Frozen Casket","Activate
[rest]: Target Fairy Tale resonator gains [+200/+1200] until end of turn.","""This carriage looks pretty sturdy."" -Light Dress Cinderella","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/118","Retelling Stories","http://d12h0em1d7ppg.cloudfront.net/items/11/118/image_en/1485219173.jpg","CFC-012","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","古城ばんび","Curse of the Frozen Casket","","""Fairy tales will continue on. So long as there are stories in this world."" -Grimm, King of Fairy Tales","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/118","Retelling Stories","http://d12h0em1d7ppg.cloudfront.net/items/11/118/image_en/1485219173.jpg","CFC-012","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","","Chant","","古城ばんび","Curse of the Frozen Casket","","""Fairy tales will continue on. So long as there are stories in this world."" -Grimm, King of Fairy Tales","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/119","Safeguard of the Light Palace","http://d12h0em1d7ppg.cloudfront.net/items/11/119/image_en/1485219179.jpg","CFC-013","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","700 / 700","Resonator","Human","戯々","Curse of the Frozen Casket","Activate
[W]: This card gains [0/+200] until end of turn.","Protectors don't mind necessary destruction.","Curse of the Frozen Casket"
"http://www.fowtcg.com/card/119","Safeguard of the Light Palace","http://d12h0em1d7ppg.cloudfront.net/items/11/119/image_en/1485219179.jpg","CFC-013","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","700 / 700","Resonator","Human","戯々","Curse of the Frozen Casket","Activate
[W]: This card gains [0/+200] until end of turn.","Protectors don't mind necessary destruction.","Curse of the Frozen Casket"
