"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_type","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets","card_att_def","card_race"
"http://www.fowtcg.com/card/2624","Ancient Bauble","http://d12h0em1d7ppg.cloudfront.net/items/26/2624/image_en/ceecd320-a3f1-467c-be37-38347b4ac33e.jpg","ENW-001","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Addition","yua","Echoes of the New World","Automatic
Whenever bestowed resonator blocks ⇒ Recover it. It gains [+200/+200] until end of turn.","A strange hair ornament that belonged to Pandora.","Echoes of the New World","",""
"http://www.fowtcg.com/card/2625","Arla, Demonic Flying Ace","http://d12h0em1d7ppg.cloudfront.net/items/26/2625/image_en/2ff2549c-7678-4020-9ffb-c1aa3fd6dbd2.jpg","ENW-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","KONNO Takashi","Echoes of the New World","Activate
Pay 200 life: This card deals 200 damage to target attacking or blocking resonator.","Lapis summoned Yggdrasil, which resurrected the Seven Kings of Attoractia with new, malicious life.","Echoes of the New World","700 / 800","Seven Kings/Angel"
"http://www.fowtcg.com/card/2625","Arla, Demonic Flying Ace","http://d12h0em1d7ppg.cloudfront.net/items/26/2625/image_en/2ff2549c-7678-4020-9ffb-c1aa3fd6dbd2.jpg","ENW-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","Resonator","KONNO Takashi","Echoes of the New World","Activate
Pay 200 life: This card deals 200 damage to target attacking or blocking resonator.","Lapis summoned Yggdrasil, which resurrected the Seven Kings of Attoractia with new, malicious life.","Echoes of the New World","700 / 800","Seven Kings/Angel"
"http://www.fowtcg.com/card/2626","Arla's Blackwing Guard","http://d12h0em1d7ppg.cloudfront.net/items/26/2626/image_en/aeeec142-e58a-4511-bb7d-0bfc7265e88b.jpg","ENW-003","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","ShiroYayoi","Echoes of the New World","Continuous
This card gains [+200/+200] as long as you control a resonator with [Will of Despair].","Elite guards that enforce sinister decrees.","Echoes of the New World","400 / 600","Angel"
"http://www.fowtcg.com/card/2626","Arla's Blackwing Guard","http://d12h0em1d7ppg.cloudfront.net/items/26/2626/image_en/aeeec142-e58a-4511-bb7d-0bfc7265e88b.jpg","ENW-003","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","ShiroYayoi","Echoes of the New World","Continuous
This card gains [+200/+200] as long as you control a resonator with [Will of Despair].","Elite guards that enforce sinister decrees.","Echoes of the New World","400 / 600","Angel"
"http://www.fowtcg.com/card/2627","Book of Light","http://d12h0em1d7ppg.cloudfront.net/items/26/2627/image_en/7a27fc92-c2e9-4dc6-a820-9a02fe62251d.jpg","ENW-004","R","","Ruler","tokiwa","Echoes of the New World","Continuous
You may pay the attribute cost of cards with [Will of Hope] with will of any attribute.","A story of hope. It seems to have the results of this battle recorded in it.","Echoes of the New World","","Fairy Tale"
"http://www.fowtcg.com/card/2628","Re-Earth, New World Fairy Tale","http://d12h0em1d7ppg.cloudfront.net/items/26/2628/image_en/9ba00699-ec41-49b4-9938-abf689e2a239.jpg","ENW-004J","JR","","J-ruler","Kamijo Roro","Echoes of the New World","Automatic
When a resonator put in a field by this card leaves a field for a non-field zone ⇒ Put this card into your ruler area, as a ruler.","Each page contains stories of world saving heroes.","Echoes of the New World","","Fairy Tale"
"http://www.fowtcg.com/card/2629","Grimm, the Rightful King","http://d12h0em1d7ppg.cloudfront.net/items/26/2629/image_en/74c49e27-ccc2-4362-b998-c977f9da5e73.jpg","ENW-005","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Haruichi Kido","Echoes of the New World","Automatic
When this card enters your field ⇒ You may destroy target addition. If you do, search your deck for a Fairy Tale resonator, reveal it and put it into your hand. Then shuffle your deck","""Millium, you must live on. You will be the one to lead when I am gone.""","Echoes of the New World","500 / 700","Human"
"http://www.fowtcg.com/card/2629","Grimm, the Rightful King","http://d12h0em1d7ppg.cloudfront.net/items/26/2629/image_en/74c49e27-ccc2-4362-b998-c977f9da5e73.jpg","ENW-005","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","Haruichi Kido","Echoes of the New World","Automatic
When this card enters your field ⇒ You may destroy target addition. If you do, search your deck for a Fairy Tale resonator, reveal it and put it into your hand. Then shuffle your deck","""Millium, you must live on. You will be the one to lead when I am gone.""","Echoes of the New World","500 / 700","Human"
"http://www.fowtcg.com/card/2630","Light Dragon's Egg","http://d12h0em1d7ppg.cloudfront.net/items/26/2630/image_en/b81ac484-6f6f-4fba-ab65-e672251cf428.jpg","ENW-006","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Moopic","Echoes of the New World","Automatic
When this card is put into a graveyard from your field ⇒ Put a [600/600] light Dragon resonator token with [Flying] into your field.","Takes a lot to crack it open, but when you do...","Echoes of the New World","0 / 400","Dragon"
"http://www.fowtcg.com/card/2630","Light Dragon's Egg","http://d12h0em1d7ppg.cloudfront.net/items/26/2630/image_en/b81ac484-6f6f-4fba-ab65-e672251cf428.jpg","ENW-006","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","Moopic","Echoes of the New World","Automatic
When this card is put into a graveyard from your field ⇒ Put a [600/600] light Dragon resonator token with [Flying] into your field.","Takes a lot to crack it open, but when you do...","Echoes of the New World","0 / 400","Dragon"
"http://www.fowtcg.com/card/2631","Lumia, Praying for the Future","http://d12h0em1d7ppg.cloudfront.net/items/26/2631/image_en/4b4e6a14-8afb-4544-b6f2-a8b724ce6c56.jpg","ENW-007","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","kurisu","Echoes of the New World","Automatic
[Resonance] Light Magic Stone ⇒ Target a card in your graveyard. If it's a magic stone, put it on top of your magic stone deck. Otherwise, put it on top of your deck.","And so she prayed. For her kingdom, for the future, and for her fallen friends.","Echoes of the New World","200 / 500","Human"
