"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/278","Amaterasu, Guide of Light","http://d12h0em1d7ppg.cloudfront.net/items/27/278/image_en/1485222519.jpg","LEL-001","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Myth","七原しえ","Legacy Lost","Activate
[Inheritance][W][W][1]: Target J/resonator gains [+800/+800] until end of turn.","After glimpsing the future, this woman awoke once again.","Legacy Lost"
"http://www.fowtcg.com/card/278","Amaterasu, Guide of Light","http://d12h0em1d7ppg.cloudfront.net/items/27/278/image_en/1485222519.jpg","LEL-001","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Myth","七原しえ","Legacy Lost","Activate
[Inheritance][W][W][1]: Target J/resonator gains [+800/+800] until end of turn.","After glimpsing the future, this woman awoke once again.","Legacy Lost"
"http://www.fowtcg.com/card/278","Amaterasu, Guide of Light","http://d12h0em1d7ppg.cloudfront.net/items/27/278/image_en/1485222519.jpg","LEL-001","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","800 / 800","Resonator","Myth","七原しえ","Legacy Lost","Activate
[Inheritance][W][W][1]: Target J/resonator gains [+800/+800] until end of turn.","After glimpsing the future, this woman awoke once again.","Legacy Lost"
"http://www.fowtcg.com/card/279","Amaterasu's Foresight","http://d12h0em1d7ppg.cloudfront.net/items/27/279/image_en/1485222520.jpg","LEL-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","七原しえ","Legacy Lost","","One look from her, and even a mad beast would halt in its tracks.","Legacy Lost"
"http://www.fowtcg.com/card/279","Amaterasu's Foresight","http://d12h0em1d7ppg.cloudfront.net/items/27/279/image_en/1485222520.jpg","LEL-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","","Chant","","七原しえ","Legacy Lost","","One look from her, and even a mad beast would halt in its tracks.","Legacy Lost"
"http://www.fowtcg.com/card/280","Beast of Holy Light","http://d12h0em1d7ppg.cloudfront.net/items/28/280/image_en/1485222522.jpg","LEL-003","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","300 / 300","Resonator","Beast","Mがんぢー","Legacy Lost","Activate
[Inheritance][W]: Target J/resonator gains [+300/+300] and [Barrier] [R][B] until end of turn. (Pay [W] and discard this card to play this ability.)","The beast disappeared, but a radiant aura surrounded Millium and his friends.","Legacy Lost"
"http://www.fowtcg.com/card/281","Lumia's Purification","http://d12h0em1d7ppg.cloudfront.net/items/28/281/image_en/1485222524.jpg","LEL-004","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","九十三(tsukumi)","Legacy Lost","","""Return to your own world!"" - Lumia, the Fated Rebirth","Legacy Lost"
"http://www.fowtcg.com/card/281","Lumia's Purification","http://d12h0em1d7ppg.cloudfront.net/items/28/281/image_en/1485222524.jpg","LEL-004","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","九十三(tsukumi)","Legacy Lost","","""Return to your own world!"" - Lumia, the Fated Rebirth","Legacy Lost"
"http://www.fowtcg.com/card/282","Millium's Weapon","http://d12h0em1d7ppg.cloudfront.net/items/28/282/image_en/1485222526.jpg","LEL-005","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","城戸春一","Legacy Lost","","Under Zero's teachings, Millium was able to use his weapon to grant power to others.","Legacy Lost"
"http://www.fowtcg.com/card/283","Snow White of the Crystal Apple","http://d12h0em1d7ppg.cloudfront.net/items/28/283/image_en/1485222530.jpg","LEL-006","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","0 / 0","Resonator","Fairy Tale","弥生しろ","Legacy Lost","Activate
[W], remove a [+100/+100] counter from this card: Put a [+100/+100] counter on another target light J/resonator.","The delicious sparkling white apple invigorates its eater.","Legacy Lost"
