"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_type","card_race","card_artist","card_expansion","card_flavor_text","card_all_sets","card_att_def","card_text"
"http://www.fowtcg.com/card/2497","Dragon Power","http://d12h0em1d7ppg.cloudfront.net/items/24/2497/image_en/1485841285.jpg","RDE-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","Ancient Magic","gozz","Return of the Dragon Emperor","The power that enabled the opposition of Alhama'at.","Return of the Dragon Emperor","",""
"http://www.fowtcg.com/card/2497","Dragon Power","http://d12h0em1d7ppg.cloudfront.net/items/24/2497/image_en/1485841285.jpg","RDE-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Chant","Ancient Magic","gozz","Return of the Dragon Emperor","The power that enabled the opposition of Alhama'at.","Return of the Dragon Emperor","",""
"http://www.fowtcg.com/card/2498","Guardian of Altean Law","http://d12h0em1d7ppg.cloudfront.net/items/24/2498/image_en/1485841286.jpg","RDE-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Ancient","douzen","Return of the Dragon Emperor","""Restraint is the true strength of law.""","Return of the Dragon Emperor","300 / 1000","Continuous
Each turn, J/resonators your opponent controls cannot attack unless it's your opponent's first attack this turn."
"http://www.fowtcg.com/card/2498","Guardian of Altean Law","http://d12h0em1d7ppg.cloudfront.net/items/24/2498/image_en/1485841286.jpg","RDE-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Ancient","douzen","Return of the Dragon Emperor","""Restraint is the true strength of law.""","Return of the Dragon Emperor","300 / 1000","Continuous
Each turn, J/resonators your opponent controls cannot attack unless it's your opponent's first attack this turn."
"http://www.fowtcg.com/card/2498","Guardian of Altean Law","http://d12h0em1d7ppg.cloudfront.net/items/24/2498/image_en/1485841286.jpg","RDE-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","Ancient","douzen","Return of the Dragon Emperor","""Restraint is the true strength of law.""","Return of the Dragon Emperor","300 / 1000","Continuous
Each turn, J/resonators your opponent controls cannot attack unless it's your opponent's first attack this turn."
"http://www.fowtcg.com/card/2499","Rachel, Nephilim Commander","http://d12h0em1d7ppg.cloudfront.net/items/24/2499/image_en/1485841287.jpg","RDE-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Ancient/Angel/Demon","Azusa","Return of the Dragon Emperor","To save demons is the hope of all angels.","Return of the Dragon Emperor","700 / 700","Automatic
When this card enters your field ⇒ Put target Demon with total cost 1 from your graveyard into your field."
"http://www.fowtcg.com/card/2499","Rachel, Nephilim Commander","http://d12h0em1d7ppg.cloudfront.net/items/24/2499/image_en/1485841287.jpg","RDE-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","Resonator","Ancient/Angel/Demon","Azusa","Return of the Dragon Emperor","To save demons is the hope of all angels.","Return of the Dragon Emperor","700 / 700","Automatic
When this card enters your field ⇒ Put target Demon with total cost 1 from your graveyard into your field."
"http://www.fowtcg.com/card/2500","Ryula, Alabaster Dragon Princess","http://d12h0em1d7ppg.cloudfront.net/items/25/2500/image_en/1485841289.jpg","RDE-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Ancient/Dragonoid","ishishou","Return of the Dragon Emperor","""Millium. I give you my power.""","Return of the Dragon Emperor","800 / 800","Continuous
Other Ancients and Dragonoids you control gain [+200/+200]."
"http://www.fowtcg.com/card/2500","Ryula, Alabaster Dragon Princess","http://d12h0em1d7ppg.cloudfront.net/items/25/2500/image_en/1485841289.jpg","RDE-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Ancient/Dragonoid","ishishou","Return of the Dragon Emperor","""Millium. I give you my power.""","Return of the Dragon Emperor","800 / 800","Continuous
Other Ancients and Dragonoids you control gain [+200/+200]."
"http://www.fowtcg.com/card/2500","Ryula, Alabaster Dragon Princess","http://d12h0em1d7ppg.cloudfront.net/items/25/2500/image_en/1485841289.jpg","RDE-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","Ancient/Dragonoid","ishishou","Return of the Dragon Emperor","""Millium. I give you my power.""","Return of the Dragon Emperor","800 / 800","Continuous
Other Ancients and Dragonoids you control gain [+200/+200]."
"http://www.fowtcg.com/card/2501","Shield of the Nephilim","http://d12h0em1d7ppg.cloudfront.net/items/25/2501/image_en/1485841291.jpg","RDE-005","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","Ancient Magic","Takumi Sugikawa","Return of the Dragon Emperor","Mana can become shield or sword.","Return of the Dragon Emperor","",""
"http://www.fowtcg.com/card/2502","Tiny Alabaster Drake","http://d12h0em1d7ppg.cloudfront.net/items/25/2502/image_en/1485841293.jpg","RDE-006","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Dragon","Sanosuke Sakuma","Return of the Dragon Emperor","Force emboldens those that stand against evil.","Return of the Dragon Emperor","100 / 300","Automatic
Whenever this card attacks ⇒ [Force]1 (Roll a die.) This card gains [+X00/0] until end of turn, where X is the result of the roll."
"http://www.fowtcg.com/card/2503","Unleashed Dragonoid","http://d12h0em1d7ppg.cloudfront.net/items/25/2503/image_en/1485841296.jpg","RDE-007","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Ancient/Dragonoid","JURI","Return of the Dragon Emperor","The ancient Dragonoids were enslaved by Alhama'at long ago.","Return of the Dragon Emperor","200 / 800","Automatic
Whenever this card attacks ⇒ [Force]1 (Roll a die.) This card gains [+X00/0] until end of turn, where X is the result of the roll."
"http://www.fowtcg.com/card/2503","Unleashed Dragonoid","http://d12h0em1d7ppg.cloudfront.net/items/25/2503/image_en/1485841296.jpg","RDE-007","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","Ancient/Dragonoid","JURI","Return of the Dragon Emperor","The ancient Dragonoids were enslaved by Alhama'at long ago.","Return of the Dragon Emperor","200 / 800","Automatic
Whenever this card attacks ⇒ [Force]1 (Roll a die.) This card gains [+X00/0] until end of turn, where X is the result of the roll."
"http://www.fowtcg.com/card/2504","Zero's Wrath","http://d12h0em1d7ppg.cloudfront.net/items/25/2504/image_en/1485841297.jpg","RDE-008","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","","lack","Return of the Dragon Emperor","So strong was Zero's anger and sorrow, that Alteans caught up in it vanished without a trace.","Return of the Dragon Emperor","",""
"http://www.fowtcg.com/card/2504","Zero's Wrath","http://d12h0em1d7ppg.cloudfront.net/items/25/2504/image_en/1485841297.jpg","RDE-008","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","","lack","Return of the Dragon Emperor","So strong was Zero's anger and sorrow, that Alteans caught up in it vanished without a trace.","Return of the Dragon Emperor","",""
"http://www.fowtcg.com/card/2504","Zero's Wrath","http://d12h0em1d7ppg.cloudfront.net/items/25/2504/image_en/1485841297.jpg","RDE-008","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","Chant","","lack","Return of the Dragon Emperor","So strong was Zero's anger and sorrow, that Alteans caught up in it vanished without a trace.","Return of the Dragon Emperor","",""
"http://www.fowtcg.com/card/2505","Fiery Soldier of Milest","http://d12h0em1d7ppg.cloudfront.net/items/25/2505/image_en/1485841299.jpg","RDE-009","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","Resonator","Soldier","M ganzy","Return of the Dragon Emperor","To burn is fire's only desire.","Return of the Dragon Emperor","600 / 600","Continuous
Treat this card as a fire magic stone."
