"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/213","Confectioner Hansel","http://d12h0em1d7ppg.cloudfront.net/items/21/213/image_en/1485217956.jpg","SDL1-001","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","500 / 500","Resonator","Fairy Tale","乃希","Starter Deck","Activate
[rest]: You gain 200 life.","As his confectionary skills rose, so did his concerns for Gretel.","Starter Deck"
"http://www.fowtcg.com/card/213","Confectioner Hansel","http://d12h0em1d7ppg.cloudfront.net/items/21/213/image_en/1485217956.jpg","SDL1-001","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","500 / 500","Resonator","Fairy Tale","乃希","Starter Deck","Activate
[rest]: You gain 200 life.","As his confectionary skills rose, so did his concerns for Gretel.","Starter Deck"
"http://www.fowtcg.com/card/214","Fairy Tale Kingdom, Light Palace","http://d12h0em1d7ppg.cloudfront.net/items/21/214/image_en/1485217958.jpg","SDL1-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Addition","","mie","Starter Deck","Automatic
At the end of your turn ⇒ Recover target Fairy Tale or Human J/resonator you control.","The Light Palace brought an age of prosperity, but attracted a new threat.","Starter Deck"
"http://www.fowtcg.com/card/214","Fairy Tale Kingdom, Light Palace","http://d12h0em1d7ppg.cloudfront.net/items/21/214/image_en/1485217958.jpg","SDL1-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","","Addition","","mie","Starter Deck","Automatic
At the end of your turn ⇒ Recover target Fairy Tale or Human J/resonator you control.","The Light Palace brought an age of prosperity, but attracted a new threat.","Starter Deck"
"http://www.fowtcg.com/card/215","Gourmand Gretel","http://d12h0em1d7ppg.cloudfront.net/items/21/215/image_en/1485217959.jpg","SDL1-003","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","700 / 700","Resonator","Fairy Tale","乃希","Starter Deck","Continuous
Prevent the first damage that would be dealt to this card each turn.","Happiness is a prosperous heart and stomach.","Starter Deck"
"http://www.fowtcg.com/card/215","Gourmand Gretel","http://d12h0em1d7ppg.cloudfront.net/items/21/215/image_en/1485217959.jpg","SDL1-003","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","700 / 700","Resonator","Fairy Tale","乃希","Starter Deck","Continuous
Prevent the first damage that would be dealt to this card each turn.","Happiness is a prosperous heart and stomach.","Starter Deck"
"http://www.fowtcg.com/card/216","Grimm, King of Fairy Tales","http://d12h0em1d7ppg.cloudfront.net/items/21/216/image_en/1485217961.jpg","SDL1-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Human","城戸春一","Starter Deck","Activate
[W]: [Force]1. Fairy Tale and Human J/resonators you control gain [+X00/+X00] until end of turn, where X is the result of the roll. Play this ability only once per turn.","Whether in the Light Palace or the fairy tale world, not a sole is ignorant of his deeds.","Starter Deck"
"http://www.fowtcg.com/card/216","Grimm, King of Fairy Tales","http://d12h0em1d7ppg.cloudfront.net/items/21/216/image_en/1485217961.jpg","SDL1-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Human","城戸春一","Starter Deck","Activate
[W]: [Force]1. Fairy Tale and Human J/resonators you control gain [+X00/+X00] until end of turn, where X is the result of the roll. Play this ability only once per turn.","Whether in the Light Palace or the fairy tale world, not a sole is ignorant of his deeds.","Starter Deck"
"http://www.fowtcg.com/card/216","Grimm, King of Fairy Tales","http://d12h0em1d7ppg.cloudfront.net/items/21/216/image_en/1485217961.jpg","SDL1-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","800 / 800","Resonator","Human","城戸春一","Starter Deck","Activate
[W]: [Force]1. Fairy Tale and Human J/resonators you control gain [+X00/+X00] until end of turn, where X is the result of the roll. Play this ability only once per turn.","Whether in the Light Palace or the fairy tale world, not a sole is ignorant of his deeds.","Starter Deck"
"http://www.fowtcg.com/card/217","Kid Puss In Boots","http://d12h0em1d7ppg.cloudfront.net/items/21/217/image_en/1485217962.jpg","SDL1-005","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","100 / 100","Resonator","Fairy Tale","ケルビン","Starter Deck","Automatic
When this card enters your field ⇒ [Force]1 (Roll a die.) Put X [+100/+100] counters on this card, where X is the result of the roll.","Whether it was a new power or the cat's own abilities, no one was certain.","Starter Deck"
"http://www.fowtcg.com/card/218","Light Dress Cinderella","http://d12h0em1d7ppg.cloudfront.net/items/21/218/image_en/1485217964.jpg","SDL1-006","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","400 / 400","Resonator","Fairy Tale","弥生しろ","Starter Deck","Activate
Rest a recovered resonator you control: This card gains [Flying] until end of turn.","""This time, I'll show you the true stairway to the sky.""","Starter Deck"
"http://www.fowtcg.com/card/218","Light Dress Cinderella","http://d12h0em1d7ppg.cloudfront.net/items/21/218/image_en/1485217964.jpg","SDL1-006","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","400 / 400","Resonator","Fairy Tale","弥生しろ","Starter Deck","Activate
Rest a recovered resonator you control: This card gains [Flying] until end of turn.","""This time, I'll show you the true stairway to the sky.""","Starter Deck"
"http://www.fowtcg.com/card/219","Magic Sweets","http://d12h0em1d7ppg.cloudfront.net/items/21/219/image_en/1485217968.jpg","SDL1-007","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","yua","Starter Deck","","""Take this with you! A new sweet I whipped up!"" -Confectioner Hansel","Starter Deck"
"http://www.fowtcg.com/card/220","Manifestation of Power","http://d12h0em1d7ppg.cloudfront.net/items/22/220/image_en/1485217970.jpg","SDL1-008","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","城戸春一","Starter Deck","","""What is this power?"" -Millium, Prince of the Light Palace","Starter Deck"
"http://www.fowtcg.com/card/220","Manifestation of Power","http://d12h0em1d7ppg.cloudfront.net/items/22/220/image_en/1485217970.jpg","SDL1-008","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","","Chant","","城戸春一","Starter Deck","","""What is this power?"" -Millium, Prince of the Light Palace","Starter Deck"
"http://www.fowtcg.com/card/221","Millium, Prince of the Light Palace","http://d12h0em1d7ppg.cloudfront.net/items/22/221/image_en/1485217971.jpg","SDL1-009","R","","","Ruler","Human","城戸春一","Starter Deck","Continuous
You may pay the attribute cost of Fairy Tale resonators with light will.","The child of Grimm, and prince of the kingdom. Millium fights alongside fairy tales, as friends.","Starter Deck"
"http://www.fowtcg.com/card/222","Millium, Voice of a New Generation","http://d12h0em1d7ppg.cloudfront.net/items/22/222/image_en/1485217973.jpg","SDL1-009J","JR","","900 / 900","J-Ruler","Human","城戸春一","Starter Deck","Automatic
Whenever this card attacks or blocks ⇒ [Force]1 (Roll a die.) Put X [+100/+100] counters on this card, where X is the result of the roll.","The item Lunya brought proved to be unstable at first, but in time its true power revealed itself.","Starter Deck"
"http://www.fowtcg.com/card/223","Summoning from the Fairy Tale World","http://d12h0em1d7ppg.cloudfront.net/items/22/223/image_en/1485217974.jpg","SDL1-010","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","古城ばんび","Starter Deck","","Millium inhereted his father's talent with fairy tales.","Starter Deck"
"http://www.fowtcg.com/card/223","Summoning from the Fairy Tale World","http://d12h0em1d7ppg.cloudfront.net/items/22/223/image_en/1485217974.jpg","SDL1-010","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","古城ばんび","Starter Deck","","Millium inhereted his father's talent with fairy tales.","Starter Deck"
"http://www.fowtcg.com/card/224","Tinker Bell, the Fairy","http://d12h0em1d7ppg.cloudfront.net/items/22/224/image_en/1485217976.jpg","SDL1-011","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","100 / 100","Resonator","Fairy Tale/Fairy","ケルビン","Starter Deck","Continuous
This card gains [+200/+200] for each other Fairy Tale resonator you control.","""Hey there! It's been a while! Huh? Grimm, when did you turn back into a kid?""","Starter Deck"
"http://www.fowtcg.com/card/225","Light Magic Stone","http://d12h0em1d7ppg.cloudfront.net/items/22/225/image_en/1485217980.jpg","SDL1-012","C","","","Basic Magic Stone","","坂井結城","Starter Deck","Activate
[rest]: Produce [W].","","Starter Deck"
"http://www.fowtcg.com/card/226","Charlatan's Tricks","http://d12h0em1d7ppg.cloudfront.net/items/22/226/image_en/1485217983.jpg","SDL2-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","","Chant","","佐川明日香","Starter Deck","","""It's not a counterfeit, it's a collectible!"" -Fayli, the Charlatan","Starter Deck"
"http://www.fowtcg.com/card/227","Emissary of R'lyeh","http://d12h0em1d7ppg.cloudfront.net/items/22/227/image_en/1485217984.jpg","SDL2-002","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","500 / 400","Resonator","Cthulhu","SIGMAN","Starter Deck","Continuous
This card cannot attack your opponent.","""What are you doing? Go after them!"" -Nyarlathotep, the True False Legend","Starter Deck"
"http://www.fowtcg.com/card/228","Fayli, the Charlatan","http://d12h0em1d7ppg.cloudfront.net/items/22/228/image_en/1485217986.jpg","SDL2-003","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","800 / 800","Resonator","Human/Charlatan","碧風羽","Starter Deck","","""I always thought I'd never take on an apprentice, until I met that one."" -Fayli, the Charlatan","Starter Deck"
"http://www.fowtcg.com/card/228","Fayli, the Charlatan","http://d12h0em1d7ppg.cloudfront.net/items/22/228/image_en/1485217986.jpg","SDL2-003","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","800 / 800","Resonator","Human/Charlatan","碧風羽","Starter Deck","","""I always thought I'd never take on an apprentice, until I met that one."" -Fayli, the Charlatan","Starter Deck"
"http://www.fowtcg.com/card/229","Gentle Goat","http://d12h0em1d7ppg.cloudfront.net/items/22/229/image_en/1485217988.jpg","SDL2-004","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","300 / 300","Resonator","Goat","田島幸枝","Starter Deck","Continuous
This card gains [+200/+200] as long as you control a Cthulhu J/resonator.","It's said the goats of those hills are hiding something.","Starter Deck"
