"card_url","card_name","card_image","card_number","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets","card_rarity"
"http://www.fowtcg.com/card/503","Arla, the Light Wing","http://d12h0em1d7ppg.cloudfront.net/items/50/503/image_en/1485233481.jpg","VIN003-001","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Angel","KONNO Takashi","Vingolf ""Ruler All Stars""","Activate
[W][W][W], [rest]: Destroy target J/resonator with [Flying].","""I'll protect the skies forever. Artemis, lend me your power!""","Vingolf ""Ruler All Stars""",""
"http://www.fowtcg.com/card/503","Arla, the Light Wing","http://d12h0em1d7ppg.cloudfront.net/items/50/503/image_en/1485233481.jpg","VIN003-001","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Angel","KONNO Takashi","Vingolf ""Ruler All Stars""","Activate
[W][W][W], [rest]: Destroy target J/resonator with [Flying].","""I'll protect the skies forever. Artemis, lend me your power!""","Vingolf ""Ruler All Stars""",""
"http://www.fowtcg.com/card/503","Arla, the Light Wing","http://d12h0em1d7ppg.cloudfront.net/items/50/503/image_en/1485233481.jpg","VIN003-001","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","800 / 800","Resonator","Angel","KONNO Takashi","Vingolf ""Ruler All Stars""","Activate
[W][W][W], [rest]: Destroy target J/resonator with [Flying].","""I'll protect the skies forever. Artemis, lend me your power!""","Vingolf ""Ruler All Stars""",""
"http://www.fowtcg.com/card/504","Arthur, Paladin King of the Round Table","http://d12h0em1d7ppg.cloudfront.net/items/50/504/image_en/1485233482.jpg","VIN003-002","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","900 / 900","Resonator","Knight of the Round Table","Fumi Takamura","Vingolf ""Ruler All Stars""","Continuous
J/resonators you control of the chosen race gain [+200/+200].","""I shall create a new round table.""","Vingolf ""Ruler All Stars""",""
"http://www.fowtcg.com/card/504","Arthur, Paladin King of the Round Table","http://d12h0em1d7ppg.cloudfront.net/items/50/504/image_en/1485233482.jpg","VIN003-002","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","900 / 900","Resonator","Knight of the Round Table","Fumi Takamura","Vingolf ""Ruler All Stars""","Continuous
J/resonators you control of the chosen race gain [+200/+200].","""I shall create a new round table.""","Vingolf ""Ruler All Stars""",""
"http://www.fowtcg.com/card/504","Arthur, Paladin King of the Round Table","http://d12h0em1d7ppg.cloudfront.net/items/50/504/image_en/1485233482.jpg","VIN003-002","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","900 / 900","Resonator","Knight of the Round Table","Fumi Takamura","Vingolf ""Ruler All Stars""","Continuous
J/resonators you control of the chosen race gain [+200/+200].","""I shall create a new round table.""","Vingolf ""Ruler All Stars""",""
"http://www.fowtcg.com/card/505","Dragon Knight Commander, Siegfried","http://d12h0em1d7ppg.cloudfront.net/items/50/505/image_en/1485233484.jpg","VIN003-003","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","700 / 700","Resonator","Dragon Knight","saumaro","Vingolf ""Ruler All Stars""","Continuous
This card gains [+600/+600] and [Flying] as long as you control a Dragon.","Dragons rule the sky. Siegfried rules the dragons.","Vingolf ""Ruler All Stars""",""
"http://www.fowtcg.com/card/505","Dragon Knight Commander, Siegfried","http://d12h0em1d7ppg.cloudfront.net/items/50/505/image_en/1485233484.jpg","VIN003-003","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","700 / 700","Resonator","Dragon Knight","saumaro","Vingolf ""Ruler All Stars""","Continuous
This card gains [+600/+600] and [Flying] as long as you control a Dragon.","Dragons rule the sky. Siegfried rules the dragons.","Vingolf ""Ruler All Stars""",""
"http://www.fowtcg.com/card/505","Dragon Knight Commander, Siegfried","http://d12h0em1d7ppg.cloudfront.net/items/50/505/image_en/1485233484.jpg","VIN003-003","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","700 / 700","Resonator","Dragon Knight","saumaro","Vingolf ""Ruler All Stars""","Continuous
This card gains [+600/+600] and [Flying] as long as you control a Dragon.","Dragons rule the sky. Siegfried rules the dragons.","Vingolf ""Ruler All Stars""",""
"http://www.fowtcg.com/card/506","Faria, Paladin of the Dawn","http://d12h0em1d7ppg.cloudfront.net/items/50/506/image_en/1485233485.jpg","VIN003-004","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 600","Resonator","Paladin","Nekobayashi","Vingolf ""Ruler All Stars""","Activate
[W][W]: Cancel target spell or ability targeting this card.","""You want to take me on alone? Haha, this'll be interesting.""","Vingolf ""Ruler All Stars""",""
