"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/3982","Ancient Moon Dragon","http://d12h0em1d7ppg.cloudfront.net/items/39/3982/image_en/29a6e173-bcb8-49c2-ba88-7476ae15c762.jpg","AOA-001","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Dragon","Rumie","Awakening of the Ancients","Card Text
[Flying]
Continuous
This card gains [+400/+400] as long as you control a Moon.","Only when she looks at the moon does Ayu let such a longing expression slip. As if looking at something that can never return.","Awakening of the Ancients"
"http://www.fowtcg.com/card/3982","Ancient Moon Dragon","http://d12h0em1d7ppg.cloudfront.net/items/39/3982/image_en/29a6e173-bcb8-49c2-ba88-7476ae15c762.jpg","AOA-001","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Dragon","Rumie","Awakening of the Ancients","Card Text
[Flying]
Continuous
This card gains [+400/+400] as long as you control a Moon.","Only when she looks at the moon does Ayu let such a longing expression slip. As if looking at something that can never return.","Awakening of the Ancients"
"http://www.fowtcg.com/card/3982","Ancient Moon Dragon","http://d12h0em1d7ppg.cloudfront.net/items/39/3982/image_en/29a6e173-bcb8-49c2-ba88-7476ae15c762.jpg","AOA-001","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","800 / 800","Resonator","Dragon","Rumie","Awakening of the Ancients","Card Text
[Flying]
Continuous
This card gains [+400/+400] as long as you control a Moon.","Only when she looks at the moon does Ayu let such a longing expression slip. As if looking at something that can never return.","Awakening of the Ancients"
"http://www.fowtcg.com/card/3983","Arcana Collector","http://d12h0em1d7ppg.cloudfront.net/items/39/3983/image_en/fde1312c-5b1b-40e2-ad4b-381c9024728d.jpg","AOA-002","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","300 / 300","Resonator","Wererabbit","j-peg","Awakening of the Ancients","Card Text
Continuous
This card gains [+400/+400] and [Barrier] as long as you control four or more light magic stones.","Arcana hold the secrets to the ultimate fate of this world.","Awakening of the Ancients"
"http://www.fowtcg.com/card/3984","Ares, Knight God Emperor of the Burial Grounds","http://d12h0em1d7ppg.cloudfront.net/items/39/3984/image_en/00d97389-e026-456f-9aea-5cf74151d127.jpg","AOA-003","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","1000 / 800","Resonator","Deity","Retro","Awakening of the Ancients","Card Text
Automatic
[Enter] ⇒ Produce [w][w].
Continuous
Other light resonators you control gain [+200/+200]. As long as there are four or more runes revealed from your rune area, they gain [+400/+400] instead.","""Lend me your strength, proud war god of antiquity."" -Misteltein, the Pious Sword Saint","Awakening of the Ancients"
"http://www.fowtcg.com/card/3984","Ares, Knight God Emperor of the Burial Grounds","http://d12h0em1d7ppg.cloudfront.net/items/39/3984/image_en/00d97389-e026-456f-9aea-5cf74151d127.jpg","AOA-003","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","1000 / 800","Resonator","Deity","Retro","Awakening of the Ancients","Card Text
Automatic
[Enter] ⇒ Produce [w][w].
Continuous
Other light resonators you control gain [+200/+200]. As long as there are four or more runes revealed from your rune area, they gain [+400/+400] instead.","""Lend me your strength, proud war god of antiquity."" -Misteltein, the Pious Sword Saint","Awakening of the Ancients"
"http://www.fowtcg.com/card/3984","Ares, Knight God Emperor of the Burial Grounds","http://d12h0em1d7ppg.cloudfront.net/items/39/3984/image_en/00d97389-e026-456f-9aea-5cf74151d127.jpg","AOA-003","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","1000 / 800","Resonator","Deity","Retro","Awakening of the Ancients","Card Text
Automatic
[Enter] ⇒ Produce [w][w].
Continuous
Other light resonators you control gain [+200/+200]. As long as there are four or more runes revealed from your rune area, they gain [+400/+400] instead.","""Lend me your strength, proud war god of antiquity."" -Misteltein, the Pious Sword Saint","Awakening of the Ancients"
"http://www.fowtcg.com/card/3985","Ballista Warrior","http://d12h0em1d7ppg.cloudfront.net/items/39/3985/image_en/49c2851c-7a9d-4c95-88e3-9b072fe47e13.jpg","AOA-004","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","700 / 1700","Resonator","Human","yuhki lily","Awakening of the Ancients","Card Text
Automatic
At the end of your turn ⇒ Recover this card.","Practicing repetitive drills constantly has led to perfect unceasing form.","Awakening of the Ancients"
"http://www.fowtcg.com/card/3985","Ballista Warrior","http://d12h0em1d7ppg.cloudfront.net/items/39/3985/image_en/49c2851c-7a9d-4c95-88e3-9b072fe47e13.jpg","AOA-004","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","700 / 1700","Resonator","Human","yuhki lily","Awakening of the Ancients","Card Text
Automatic
At the end of your turn ⇒ Recover this card.","Practicing repetitive drills constantly has led to perfect unceasing form.","Awakening of the Ancients"
"http://www.fowtcg.com/card/3985","Ballista Warrior","http://d12h0em1d7ppg.cloudfront.net/items/39/3985/image_en/49c2851c-7a9d-4c95-88e3-9b072fe47e13.jpg","AOA-004","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/04.png","700 / 1700","Resonator","Human","yuhki lily","Awakening of the Ancients","Card Text
Automatic
At the end of your turn ⇒ Recover this card.","Practicing repetitive drills constantly has led to perfect unceasing form.","Awakening of the Ancients"
