"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_flavor_text","card_all_sets","card_text"
"http://www.fowtcg.com/card/4083","Acolyte of the Sun","http://d12h0em1d7ppg.cloudfront.net/items/40/4083/image_en/1e81d6f5-bca9-4a30-83a3-da310e36e78a.jpg","DBV-001","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 200","Resonator","Human","Shirono Muku","The Decisive Battle of Valhalla","The light of faith becomes the source of life.","The Decisive Battle of Valhalla",""
"http://www.fowtcg.com/card/4084","Angel of Zeus","http://d12h0em1d7ppg.cloudfront.net/items/40/4084/image_en/2115c0b0-fc1e-41cf-b649-ddd27de3fb31.jpg","DBV-002","U","","ShiroYayoi","The Decisive Battle of Valhalla","","","The Decisive Battle of Valhalla","","",""
"http://www.fowtcg.com/card/4186","Angrboda, Giant of the Setting Sun","http://d12h0em1d7ppg.cloudfront.net/items/41/4186/image_en/f269b169-2ca4-4dc2-be2a-c678f0e1f8a4.jpg","DBV-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","1400 / 1700","Resonator","Giant","SIGMAN","The Decisive Battle of Valhalla","""Tempted by darkness, the Sun sinks to the Earth."" -Perfect Loki","The Decisive Battle of Valhalla","Activate
[W][W][1], discard this card: Destroy target rested J/resonator or addition. You gain 1000 life."
"http://www.fowtcg.com/card/4186","Angrboda, Giant of the Setting Sun","http://d12h0em1d7ppg.cloudfront.net/items/41/4186/image_en/f269b169-2ca4-4dc2-be2a-c678f0e1f8a4.jpg","DBV-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","1400 / 1700","Resonator","Giant","SIGMAN","The Decisive Battle of Valhalla","""Tempted by darkness, the Sun sinks to the Earth."" -Perfect Loki","The Decisive Battle of Valhalla","Activate
[W][W][1], discard this card: Destroy target rested J/resonator or addition. You gain 1000 life."
"http://www.fowtcg.com/card/4186","Angrboda, Giant of the Setting Sun","http://d12h0em1d7ppg.cloudfront.net/items/41/4186/image_en/f269b169-2ca4-4dc2-be2a-c678f0e1f8a4.jpg","DBV-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","1400 / 1700","Resonator","Giant","SIGMAN","The Decisive Battle of Valhalla","""Tempted by darkness, the Sun sinks to the Earth."" -Perfect Loki","The Decisive Battle of Valhalla","Activate
[W][W][1], discard this card: Destroy target rested J/resonator or addition. You gain 1000 life."
"http://www.fowtcg.com/card/4186","Angrboda, Giant of the Setting Sun","http://d12h0em1d7ppg.cloudfront.net/items/41/4186/image_en/f269b169-2ca4-4dc2-be2a-c678f0e1f8a4.jpg","DBV-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/04.png","1400 / 1700","Resonator","Giant","SIGMAN","The Decisive Battle of Valhalla","""Tempted by darkness, the Sun sinks to the Earth."" -Perfect Loki","The Decisive Battle of Valhalla","Activate
[W][W][1], discard this card: Destroy target rested J/resonator or addition. You gain 1000 life."
"http://www.fowtcg.com/card/4086","Atom in Fairytale Land","http://d12h0em1d7ppg.cloudfront.net/items/40/4086/image_en/3dcee51a-3023-4116-af33-d8276f8d372b.jpg","DBV-004","R","","Saiko Takaki","The Decisive Battle of Valhalla","","","The Decisive Battle of Valhalla","","",""
"http://www.fowtcg.com/card/4087","Bethor, the Angel of Treasure","http://d12h0em1d7ppg.cloudfront.net/items/40/4087/image_en/7a60fd0f-3986-407f-a64f-6427d1ab7abf.jpg","DBV-005","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","500 / 500","Resonator","Angel","yuko","The Decisive Battle of Valhalla","As long as her wings still fly, nobody, not even Atom, dared near the treasure.","The Decisive Battle of Valhalla",""
"http://www.fowtcg.com/card/4087","Bethor, the Angel of Treasure","http://d12h0em1d7ppg.cloudfront.net/items/40/4087/image_en/7a60fd0f-3986-407f-a64f-6427d1ab7abf.jpg","DBV-005","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","500 / 500","Resonator","Angel","yuko","The Decisive Battle of Valhalla","As long as her wings still fly, nobody, not even Atom, dared near the treasure.","The Decisive Battle of Valhalla",""
"http://www.fowtcg.com/card/4088","Bewilder","http://d12h0em1d7ppg.cloudfront.net/items/40/4088/image_en/a61aa00b-1f5e-4434-8e7e-b7d93f71a82d.jpg","DBV-006","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Rune(Divinity 2)","","hatarisu","The Decisive Battle of Valhalla","Hallucinations produce momentary confusion.","The Decisive Battle of Valhalla",""
"http://www.fowtcg.com/card/4089","Brunhild, Ultimate Devotee","http://d12h0em1d7ppg.cloudfront.net/items/40/4089/image_en/bfaa7f7c-b783-4549-b15c-a54bc4996f4c.jpg","DBV-007","SR","","Miko Yamazaki","The Decisive Battle of Valhalla","","","The Decisive Battle of Valhalla","","",""
