"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/3634","Aratron, Angel of Knowledge","http://d12h0em1d7ppg.cloudfront.net/items/36/3634/image_en/9a3a444c-03b8-4b07-beae-781f33beaf0e.jpg","NDR-001","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 200","Resonator","Angel","Tsukumi","New Dawn Rises","Card Text
[Flying]
[Enter] ⇒ Look at the top four cards of your deck. You may reveal an Angel resonator from among them and put it into your hand. Put the rest on the bottom of your deck in a random order.","""Knowledge is the source of all power.""","New Dawn Rises"
"http://www.fowtcg.com/card/3635","Ayu, the Mysterious Wanderer","http://d12h0em1d7ppg.cloudfront.net/items/36/3635/image_en/eb222125-7a9b-4b5c-b9c2-45671bf2214b.jpg","NDR-002","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 600","Resonator","Wererabbit","Misa Tsutsui","New Dawn Rises","Card Text
[Quickcast]
[Rest]: Return this card to its owner's hand.
[Enter] ⇒ You gain X00 life, where X is the number of runes revealed from your rune area.","""Alright, another peaceful day! Hmm?! What was that just now?! Just my imagination?""","New Dawn Rises"
"http://www.fowtcg.com/card/3635","Ayu, the Mysterious Wanderer","http://d12h0em1d7ppg.cloudfront.net/items/36/3635/image_en/eb222125-7a9b-4b5c-b9c2-45671bf2214b.jpg","NDR-002","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 600","Resonator","Wererabbit","Misa Tsutsui","New Dawn Rises","Card Text
[Quickcast]
[Rest]: Return this card to its owner's hand.
[Enter] ⇒ You gain X00 life, where X is the number of runes revealed from your rune area.","""Alright, another peaceful day! Hmm?! What was that just now?! Just my imagination?""","New Dawn Rises"
"http://www.fowtcg.com/card/3636","Balmung","http://d12h0em1d7ppg.cloudfront.net/items/36/3636/image_en/7343498d-7cea-45aa-a292-bb062fe00f00.jpg","NDR-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","Hayama Kohei","New Dawn Rises","Card Text
Destroy all rested resonators.","Be it a brief moment, Siegfried isn't so kind to overlook a vulnerability in his enemies' defense.","New Dawn Rises"
"http://www.fowtcg.com/card/3636","Balmung","http://d12h0em1d7ppg.cloudfront.net/items/36/3636/image_en/7343498d-7cea-45aa-a292-bb062fe00f00.jpg","NDR-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","Hayama Kohei","New Dawn Rises","Card Text
Destroy all rested resonators.","Be it a brief moment, Siegfried isn't so kind to overlook a vulnerability in his enemies' defense.","New Dawn Rises"
"http://www.fowtcg.com/card/3636","Balmung","http://d12h0em1d7ppg.cloudfront.net/items/36/3636/image_en/7343498d-7cea-45aa-a292-bb062fe00f00.jpg","NDR-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","","Chant","","Hayama Kohei","New Dawn Rises","Card Text
Destroy all rested resonators.","Be it a brief moment, Siegfried isn't so kind to overlook a vulnerability in his enemies' defense.","New Dawn Rises"
"http://www.fowtcg.com/card/3637","Blessing of the Sun","http://d12h0em1d7ppg.cloudfront.net/items/36/3637/image_en/533e2e95-c48b-4877-b2a4-cb32c3e16bd1.jpg","NDR-004","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant/Rune(Divinity 2)","","Mad","New Dawn Rises","Card Text
You may pay [w] less to play this card from a rune area.
J/resonators you control gain [+200/+200] and ""At end of turn ⇒ Recover this card."" until end of turn.","The people of Minerva believe all life comes from the sun.","New Dawn Rises"
"http://www.fowtcg.com/card/3637","Blessing of the Sun","http://d12h0em1d7ppg.cloudfront.net/items/36/3637/image_en/533e2e95-c48b-4877-b2a4-cb32c3e16bd1.jpg","NDR-004","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant/Rune(Divinity 2)","","Mad","New Dawn Rises","Card Text
You may pay [w] less to play this card from a rune area.
J/resonators you control gain [+200/+200] and ""At end of turn ⇒ Recover this card."" until end of turn.","The people of Minerva believe all life comes from the sun.","New Dawn Rises"
"http://www.fowtcg.com/card/3638","Child of the Hero","http://d12h0em1d7ppg.cloudfront.net/items/36/3638/image_en/7c900761-cfd3-4a53-963b-16fb3407733a.jpg","NDR-005","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","700 / 800","Resonator","Human","Tomomi TOMIDA","New Dawn Rises","Card Text
[Awakening][3]: [Enter] ⇒ Put four [+100/+100] counters on this card.","The will of the hero has been entrusted to the next generation.","New Dawn Rises"
"http://www.fowtcg.com/card/3638","Child of the Hero","http://d12h0em1d7ppg.cloudfront.net/items/36/3638/image_en/7c900761-cfd3-4a53-963b-16fb3407733a.jpg","NDR-005","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","700 / 800","Resonator","Human","Tomomi TOMIDA","New Dawn Rises","Card Text
[Awakening][3]: [Enter] ⇒ Put four [+100/+100] counters on this card.","The will of the hero has been entrusted to the next generation.","New Dawn Rises"
