"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_flavor_text","card_all_sets","card_text"
"http://www.fowtcg.com/card/3750","Acolyte of the Sun","http://d12h0em1d7ppg.cloudfront.net/items/37/3750/image_en/09e46ffb-ee62-4e7b-b47e-283b55df0bc7.jpg","SDV1-001","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 200","Resonator","Human","Shirono Muku","Starter Deck","The light of faith becomes the source of life.","Starter Deck",""
"http://www.fowtcg.com/card/3751","Atom Seikhart","http://d12h0em1d7ppg.cloudfront.net/items/37/3751/image_en/20846f5c-7d3e-4911-94a3-d0b989b73a17.jpg","SDV1-002","R","","","Ruler","Rabbit","Saiko Takaki","Starter Deck","A hundred years prior, Kaguya's influence transformed many rabbits into wererabbits. The only true rabbit remaining is he.","Starter Deck",""
"http://www.fowtcg.com/card/3752","Atom Seikhart, the Shimmering Rabbit","http://d12h0em1d7ppg.cloudfront.net/items/37/3752/image_en/d3d61e50-1dcd-44d1-8950-98551c87933d.jpg","SDV1-002J","R","","800 / 1200","J-Ruler","Rabbit","Saiko Takaki","Starter Deck","""Is it finally time? It would seem my services are needed once again.""","Starter Deck",""
"http://www.fowtcg.com/card/3753","Bethor, the Angel of Treasure","http://d12h0em1d7ppg.cloudfront.net/items/37/3753/image_en/5f3349bc-2008-413e-acaf-63091ee34b29.jpg","SDV1-003","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","500 / 500","Resonator","Angel","yuko","Starter Deck","As long as her wings still fly, nobody, not even Atom, dared near the treasure.","Starter Deck",""
"http://www.fowtcg.com/card/3753","Bethor, the Angel of Treasure","http://d12h0em1d7ppg.cloudfront.net/items/37/3753/image_en/5f3349bc-2008-413e-acaf-63091ee34b29.jpg","SDV1-003","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","500 / 500","Resonator","Angel","yuko","Starter Deck","As long as her wings still fly, nobody, not even Atom, dared near the treasure.","Starter Deck",""
"http://www.fowtcg.com/card/3754","Bewilder","http://d12h0em1d7ppg.cloudfront.net/items/37/3754/image_en/4185413e-8db4-49ad-8036-246f7be706c0.jpg","SDV1-004","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Rune(Divinity 2)","","hatarisu","Starter Deck","Hallucinations produce momentary confusion.","Starter Deck",""
"http://www.fowtcg.com/card/3755","Brunhild","http://d12h0em1d7ppg.cloudfront.net/items/37/3755/image_en/86b88a33-20b5-43d9-a3f1-62f7798ad210.jpg","SDV1-005","R","","","Ruler","Valkyrie","jugemt","Starter Deck","The leader of the Valkyries and the voice of Odin.","Starter Deck",""
"http://www.fowtcg.com/card/3756","Brunhild, Caller of Spirits","http://d12h0em1d7ppg.cloudfront.net/items/37/3756/image_en/d1541da0-c713-4581-b46c-f024727ee1c5.jpg","SDV1-005J","R","","1200 / 1200","J-Ruler","Valkyrie","jugemt","Starter Deck","Souls chosen by Brunhild return to the battlefield as heroes.","Starter Deck",""
"http://www.fowtcg.com/card/3757","Brunhild's Wrath","http://d12h0em1d7ppg.cloudfront.net/items/37/3757/image_en/bf43bffd-5381-4405-9afd-034f9e281253.jpg","SDV1-006","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Rune(Divinity 3)","","Kamijo Roro","Starter Deck","""Don't expect those girls to show you any goodwill. Their faith is an ideology far removed from the likes of compassion."" -Atom Seikhart","Starter Deck",""
"http://www.fowtcg.com/card/3757","Brunhild's Wrath","http://d12h0em1d7ppg.cloudfront.net/items/37/3757/image_en/bf43bffd-5381-4405-9afd-034f9e281253.jpg","SDV1-006","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","","Rune(Divinity 3)","","Kamijo Roro","Starter Deck","""Don't expect those girls to show you any goodwill. Their faith is an ideology far removed from the likes of compassion."" -Atom Seikhart","Starter Deck",""
"http://www.fowtcg.com/card/3758","Dispel","http://d12h0em1d7ppg.cloudfront.net/items/37/3758/image_en/9ee28c85-bb0c-487c-a29b-7d65310d766f.jpg","SDV1-007","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Rune(Divinity2)","","BANAMONS*","Starter Deck","Everything that does not adhere to their faith is a target for destruction.","Starter Deck",""
"http://www.fowtcg.com/card/3759","Einherjar's Summons","http://d12h0em1d7ppg.cloudfront.net/items/37/3759/image_en/0141fd76-b231-46c9-9068-5f47a5fa2d53.jpg","SDV1-008","U","","","Rune(Divinity2)","","Miko Yamazaki","Starter Deck","Brunhild ushers in the souls of the fallen heroes.","Starter Deck",""
"http://www.fowtcg.com/card/3760","Eir, Valkyrie of Mercy","http://d12h0em1d7ppg.cloudfront.net/items/37/3760/image_en/bcf13c4d-eff4-4321-8a7c-ff1a90ab3160.jpg","SDV1-009","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 700","Resonator","Valkyrie","SIGMAN","Starter Deck","The warrior who fell in battle is given another chance at glory.","Starter Deck",""
"http://www.fowtcg.com/card/3760","Eir, Valkyrie of Mercy","http://d12h0em1d7ppg.cloudfront.net/items/37/3760/image_en/bcf13c4d-eff4-4321-8a7c-ff1a90ab3160.jpg","SDV1-009","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 700","Resonator","Valkyrie","SIGMAN","Starter Deck","The warrior who fell in battle is given another chance at glory.","Starter Deck",""
