"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/3882","Alice, Otherworldly Visitor","http://d12h0em1d7ppg.cloudfront.net/items/38/3882/image_en/11ef2fea-7f0a-4838-a489-c284652c66f5.jpg","SNV-001","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Fairy Tale/Wanderer","Wednesday","The Strangers of New Valhalla","Card Text
[Enter] ⇒ Another target resonator gains [+200/0] and [Eternal] until end of turn.
When this card enters the field from your deck ⇒ Put two [+100/+100] counters on it.
[w][w][3], banish this card: Search your deck for a card named ""Alice, Otherworldly Visitor"" and put it into the field. Then shuffle your deck.","""I've come to bring you back, you sly cat!""","The Strangers of New Valhalla"
"http://www.fowtcg.com/card/3882","Alice, Otherworldly Visitor","http://d12h0em1d7ppg.cloudfront.net/items/38/3882/image_en/11ef2fea-7f0a-4838-a489-c284652c66f5.jpg","SNV-001","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Fairy Tale/Wanderer","Wednesday","The Strangers of New Valhalla","Card Text
[Enter] ⇒ Another target resonator gains [+200/0] and [Eternal] until end of turn.
When this card enters the field from your deck ⇒ Put two [+100/+100] counters on it.
[w][w][3], banish this card: Search your deck for a card named ""Alice, Otherworldly Visitor"" and put it into the field. Then shuffle your deck.","""I've come to bring you back, you sly cat!""","The Strangers of New Valhalla"
"http://www.fowtcg.com/card/3882","Alice, Otherworldly Visitor","http://d12h0em1d7ppg.cloudfront.net/items/38/3882/image_en/11ef2fea-7f0a-4838-a489-c284652c66f5.jpg","SNV-001","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","800 / 800","Resonator","Fairy Tale/Wanderer","Wednesday","The Strangers of New Valhalla","Card Text
[Enter] ⇒ Another target resonator gains [+200/0] and [Eternal] until end of turn.
When this card enters the field from your deck ⇒ Put two [+100/+100] counters on it.
[w][w][3], banish this card: Search your deck for a card named ""Alice, Otherworldly Visitor"" and put it into the field. Then shuffle your deck.","""I've come to bring you back, you sly cat!""","The Strangers of New Valhalla"
"http://www.fowtcg.com/card/3883","Barrier of Faith","http://d12h0em1d7ppg.cloudfront.net/items/38/3883/image_en/ec23655c-c1fe-4058-b841-f175344f8f27.jpg","SNV-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant/Rune(Divinity 1)","","gekko","The Strangers of New Valhalla","Card Text
[Quickcast]
Prevent all damage you would be dealt by chants until end of turn.","""It's futile."" -Misteltein, the Pious Sword Saint","The Strangers of New Valhalla"
"http://www.fowtcg.com/card/3884","Blade of Faith","http://d12h0em1d7ppg.cloudfront.net/items/38/3884/image_en/31d65076-7641-4a68-90fe-a609cc22bdc5.jpg","SNV-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant/Master Rune(Divinity 2)","","AKI","The Strangers of New Valhalla","Card Text
You may pay [3] less to play this card if your J/ruler is ""Brunhild"" or ""Brunhild, Caller of Spirits"".
Remove target resonator from the game.","""The obstacles fate places before me do nothing to deter my faith!"" -Misteltein, the Pious Sword Saint","The Strangers of New Valhalla"
"http://www.fowtcg.com/card/3884","Blade of Faith","http://d12h0em1d7ppg.cloudfront.net/items/38/3884/image_en/31d65076-7641-4a68-90fe-a609cc22bdc5.jpg","SNV-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/03.png","","Chant/Master Rune(Divinity 2)","","AKI","The Strangers of New Valhalla","Card Text
You may pay [3] less to play this card if your J/ruler is ""Brunhild"" or ""Brunhild, Caller of Spirits"".
Remove target resonator from the game.","""The obstacles fate places before me do nothing to deter my faith!"" -Misteltein, the Pious Sword Saint","The Strangers of New Valhalla"
"http://www.fowtcg.com/card/3885","Card Conscript","http://d12h0em1d7ppg.cloudfront.net/items/38/3885/image_en/61aa0932-8c3b-4517-ba1a-694c0761252a.jpg","SNV-004","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","900 / 1400","Resonator","Fairy Tale","mie","The Strangers of New Valhalla","Card Text","""Alright, line up in numerical order! Hey, you there! Can't you count?"" -Alice, Otherworldly Visitor","The Strangers of New Valhalla"
"http://www.fowtcg.com/card/3885","Card Conscript","http://d12h0em1d7ppg.cloudfront.net/items/38/3885/image_en/61aa0932-8c3b-4517-ba1a-694c0761252a.jpg","SNV-004","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/04.png","900 / 1400","Resonator","Fairy Tale","mie","The Strangers of New Valhalla","Card Text","""Alright, line up in numerical order! Hey, you there! Can't you count?"" -Alice, Otherworldly Visitor","The Strangers of New Valhalla"
"http://www.fowtcg.com/card/3886","Dark Alice Doll","http://d12h0em1d7ppg.cloudfront.net/items/38/3886/image_en/7baccb2b-d1fa-4772-bf33-8b4ab099dc0d.jpg","SNV-005","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","400 / 1000","Resonator","Fairy Tale/Doll","Matsurika Yoko","The Strangers of New Valhalla","Card Text
[Flying][Drain]
Whenever you gain life ⇒ This card deals 200 damage to target opponent or J/resonator. This ability triggers only once per turn.","""Aww, don't make such a sour face!"" -Alice, Otherworldly Visitor","The Strangers of New Valhalla"
"http://www.fowtcg.com/card/3886","Dark Alice Doll","http://d12h0em1d7ppg.cloudfront.net/items/38/3886/image_en/7baccb2b-d1fa-4772-bf33-8b4ab099dc0d.jpg","SNV-005","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","400 / 1000","Resonator","Fairy Tale/Doll","Matsurika Yoko","The Strangers of New Valhalla","Card Text
[Flying][Drain]
Whenever you gain life ⇒ This card deals 200 damage to target opponent or J/resonator. This ability triggers only once per turn.","""Aww, don't make such a sour face!"" -Alice, Otherworldly Visitor","The Strangers of New Valhalla"
