"card_url","card_name","card_image","card_number","card_cost_attribute","card_type","card_artist","card_expansion","card_text","card_all_sets","card_att_def","card_race","card_flavor_text"
"http://www.fowtcg.com/card/1715","Flame Lance","http://d12h0em1d7ppg.cloudfront.net/items/17/1715/image_en/1488245847.jpg","PR2014-01","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","Chant","夕子","PR Card","Card Text
[Quickcast]
This card deals 500 damage to target resonator or player.
[Break] This card deals 500 damage to target resonator or player.","PR Card","","",""
"http://www.fowtcg.com/card/1715","Flame Lance","http://d12h0em1d7ppg.cloudfront.net/items/17/1715/image_en/1488245847.jpg","PR2014-01","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Chant","夕子","PR Card","Card Text
[Quickcast]
This card deals 500 damage to target resonator or player.
[Break] This card deals 500 damage to target resonator or player.","PR Card","","",""
"http://www.fowtcg.com/card/1716","Orpheus, the Nether Player","http://d12h0em1d7ppg.cloudfront.net/items/17/1716/image_en/1488245855.jpg","PR2014-02","http://d12h0em1d7ppg.cloudfront.net/docs/icons/dark.png","Resonator","ケルビン","PR Card","Card Text
Activate
Remove a resonator in your graveyard from the game: Put this card from your graveyard into your field rested. You may play only once per turn, during your turn.","PR Card","600 / 200","Deity",""
"http://www.fowtcg.com/card/1716","Orpheus, the Nether Player","http://d12h0em1d7ppg.cloudfront.net/items/17/1716/image_en/1488245855.jpg","PR2014-02","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/03.png","Resonator","ケルビン","PR Card","Card Text
Activate
Remove a resonator in your graveyard from the game: Put this card from your graveyard into your field rested. You may play only once per turn, during your turn.","PR Card","600 / 200","Deity",""
"http://www.fowtcg.com/card/1717","Warlord of Explosive Flames(2)","http://d12h0em1d7ppg.cloudfront.net/items/17/1717/image_en/1488245860.jpg","PR2014-03","","Ruler","ezusuke","PR Card","Card Text
Judgement
[R][R][R][2]
Continuous
If a spell or ability you control would deal damage, it deals that much +100 instead.
Activate
[rest]: This card deals 300 damage to target resonator.","PR Card","","Samurai",""
"http://www.fowtcg.com/card/1718","Evil Spirit, Flame Djinn","http://d12h0em1d7ppg.cloudfront.net/items/17/1718/image_en/1488245858.jpg","PR2014-03J","","J-Ruler","手羽缶","PR Card","Card Text
Automatic
[Enter] This card deals 1000 damage to two target resonators.
Activate
[rest]: This card deals 300 damage to target resonator.","PR Card","1200 / 800","Deity",""
"http://www.fowtcg.com/card/1719","Elvish Priest","http://d12h0em1d7ppg.cloudfront.net/items/17/1719/image_en/1488245863.jpg","PR2014-04","http://d12h0em1d7ppg.cloudfront.net/docs/icons/green.png","Resonator","Moopic","PR Card","Card Text
Activate
[rest]: Produce [G].","PR Card","100 / 400","Elf",""
"http://www.fowtcg.com/card/1720","Suicidal Troop of Asakna","http://d12h0em1d7ppg.cloudfront.net/items/17/1720/image_en/1488245866.jpg","PR2014-05","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","Resonator","石商","PR Card","Card Text
Activate
Banish this card: This card deals 400 damage to target resonator or player.
[Break] This card deals 400 damage to target resonator.","PR Card","200 / 200","Samurai",""
"http://www.fowtcg.com/card/1721","Sprout of Treasure Tree","http://d12h0em1d7ppg.cloudfront.net/items/17/1721/image_en/1488245868.jpg","PR2014-06","http://d12h0em1d7ppg.cloudfront.net/docs/icons/green.png","Resonator","Tobi","PR Card","Card Text
Continuous
This card cannot attack.
Automatic
[Enter] You may discard a wind card. If you do, Produce [G][G][G].
Activate
Banish this card: Destroy target card in a standby area.","PR Card","0 / 100","Divine Tree",""
"http://www.fowtcg.com/card/1722","Rotting Bloodsucker","http://d12h0em1d7ppg.cloudfront.net/items/17/1722/image_en/1488245873.jpg","PR2014-07","http://d12h0em1d7ppg.cloudfront.net/docs/icons/dark.png","Resonator","gekko","PR Card","Card Text
Activate
When this card is put into a graveyard from your field ⇒ Choose target resonator. Put this card into your field as an [Addition: Resonator] added to the chosen resonator resonator. This card gains ""Added resonator gains [-400/-400]."" . You may play only once per turn.","PR Card","400 / 400","Nightmare",""
"http://www.fowtcg.com/card/1722","Rotting Bloodsucker","http://d12h0em1d7ppg.cloudfront.net/items/17/1722/image_en/1488245873.jpg","PR2014-07","http://d12h0em1d7ppg.cloudfront.net/docs/icons/dark.png","Resonator","gekko","PR Card","Card Text
Activate
When this card is put into a graveyard from your field ⇒ Choose target resonator. Put this card into your field as an [Addition: Resonator] added to the chosen resonator resonator. This card gains ""Added resonator gains [-400/-400]."" . You may play only once per turn.","PR Card","400 / 400","Nightmare",""
"http://www.fowtcg.com/card/1722","Rotting Bloodsucker","http://d12h0em1d7ppg.cloudfront.net/items/17/1722/image_en/1488245873.jpg","PR2014-07","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","gekko","PR Card","Card Text
Activate
When this card is put into a graveyard from your field ⇒ Choose target resonator. Put this card into your field as an [Addition: Resonator] added to the chosen resonator resonator. This card gains ""Added resonator gains [-400/-400]."" . You may play only once per turn.","PR Card","400 / 400","Nightmare",""
"http://www.fowtcg.com/card/1723","Kukunochi, the Errand of the Jewel Tree","http://d12h0em1d7ppg.cloudfront.net/items/17/1723/image_en/1488245875.jpg","PR2014-08","http://d12h0em1d7ppg.cloudfront.net/docs/icons/green.png","Resonator","石商","PR Card","Card Text
Automatic
At the beginning of your end phase ⇒ Draw a number of cards equal to seven minus the number of cards in your hand.","PR Card","500 / 1500","Oracle",""
"http://www.fowtcg.com/card/1723","Kukunochi, the Errand of the Jewel Tree","http://d12h0em1d7ppg.cloudfront.net/items/17/1723/image_en/1488245875.jpg","PR2014-08","http://d12h0em1d7ppg.cloudfront.net/docs/icons/green.png","Resonator","石商","PR Card","Card Text
Automatic
At the beginning of your end phase ⇒ Draw a number of cards equal to seven minus the number of cards in your hand.","PR Card","500 / 1500","Oracle",""
"http://www.fowtcg.com/card/1723","Kukunochi, the Errand of the Jewel Tree","http://d12h0em1d7ppg.cloudfront.net/items/17/1723/image_en/1488245875.jpg","PR2014-08","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/03.png","Resonator","石商","PR Card","Card Text
Automatic
At the beginning of your end phase ⇒ Draw a number of cards equal to seven minus the number of cards in your hand.","PR Card","500 / 1500","Oracle",""
"http://www.fowtcg.com/card/1724","Ishtar, the Great Goddess of Kindness","http://d12h0em1d7ppg.cloudfront.net/items/17/1724/image_en/1488245877.jpg","PR2014-09","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","ネム","PR Card","Card Text
Activate
[W][W]: Up to two target resonator's ATK become 0 until end of turn.","PR Card","800 / 800","Deity",""
"http://www.fowtcg.com/card/1724","Ishtar, the Great Goddess of Kindness","http://d12h0em1d7ppg.cloudfront.net/items/17/1724/image_en/1488245877.jpg","PR2014-09","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","ネム","PR Card","Card Text
Activate
[W][W]: Up to two target resonator's ATK become 0 until end of turn.","PR Card","800 / 800","Deity",""
"http://www.fowtcg.com/card/1724","Ishtar, the Great Goddess of Kindness","http://d12h0em1d7ppg.cloudfront.net/items/17/1724/image_en/1488245877.jpg","PR2014-09","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/03.png","Resonator","ネム","PR Card","Card Text
Activate
[W][W]: Up to two target resonator's ATK become 0 until end of turn.","PR Card","800 / 800","Deity",""
"http://www.fowtcg.com/card/1725","Amaterasu, the Oracle of Sacred Text","http://d12h0em1d7ppg.cloudfront.net/items/17/1725/image_en/1488245879.jpg","PR2014-10","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","もぐも","PR Card","Card Text
Continuous
This card cannot be attacked by resonators your opponent controls.
Activate
[rest]: Prevent all battle damage that would be dealt to target resonator until end of turn. It cannot be targeted by chants until end of turn.
Activate
[rest]: Destroy target addition.","PR Card","400 / 400","Deity",""
