"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_type","card_artist","card_expansion","card_flavor_text","card_all_sets","card_att_def","card_race","card_text"
"http://www.fowtcg.com/card/2824","Conjure Constructs","http://d12h0em1d7ppg.cloudfront.net/items/28/2824/image_en/461e5904-3276-49f1-81d6-4da20da2043e.jpg","ACN-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","gozz","Ancient Nights","Amorphous. Constantly forming and dissolving.","Ancient Nights","","",""
"http://www.fowtcg.com/card/2824","Conjure Constructs","http://d12h0em1d7ppg.cloudfront.net/items/28/2824/image_en/461e5904-3276-49f1-81d6-4da20da2043e.jpg","ACN-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","gozz","Ancient Nights","Amorphous. Constantly forming and dissolving.","Ancient Nights","","",""
"http://www.fowtcg.com/card/2824","Conjure Constructs","http://d12h0em1d7ppg.cloudfront.net/items/28/2824/image_en/461e5904-3276-49f1-81d6-4da20da2043e.jpg","ACN-001","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Chant","gozz","Ancient Nights","Amorphous. Constantly forming and dissolving.","Ancient Nights","","",""
"http://www.fowtcg.com/card/2825","Crippling Light","http://d12h0em1d7ppg.cloudfront.net/items/28/2825/image_en/7e00bb18-0769-45e7-8f6a-1692585cca7a.jpg","ACN-002","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","Moopic","Ancient Nights","""Turn to dust."" -Pandora, Guardian of the Sacred Temple","Ancient Nights","","",""
"http://www.fowtcg.com/card/2825","Crippling Light","http://d12h0em1d7ppg.cloudfront.net/items/28/2825/image_en/7e00bb18-0769-45e7-8f6a-1692585cca7a.jpg","ACN-002","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","Moopic","Ancient Nights","""Turn to dust."" -Pandora, Guardian of the Sacred Temple","Ancient Nights","","",""
"http://www.fowtcg.com/card/2825","Crippling Light","http://d12h0em1d7ppg.cloudfront.net/items/28/2825/image_en/7e00bb18-0769-45e7-8f6a-1692585cca7a.jpg","ACN-002","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/03.png","Chant","Moopic","Ancient Nights","""Turn to dust."" -Pandora, Guardian of the Sacred Temple","Ancient Nights","","",""
"http://www.fowtcg.com/card/2826","Discovery","http://d12h0em1d7ppg.cloudfront.net/items/28/2826/image_en/4944ec64-fcc8-43ce-8f3a-71ba6e88ceb2.jpg","ACN-003","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","Nagi-nyan","Ancient Nights","""Ah, another excellent turn of events!"" -Taegrus Pearlshine","Ancient Nights","","",""
"http://www.fowtcg.com/card/2827","Gem Beast","http://d12h0em1d7ppg.cloudfront.net/items/28/2827/image_en/c91c1565-6133-44c5-afe0-94a9eba4e473.jpg","ACN-004","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Fujinaka Ryu","Ancient Nights","An unusual creature studded with gems.","Ancient Nights","600 / 600","Beast","Automatic
When this card leaves the field ⇒ Gain a gem of any attribute."
"http://www.fowtcg.com/card/2827","Gem Beast","http://d12h0em1d7ppg.cloudfront.net/items/28/2827/image_en/c91c1565-6133-44c5-afe0-94a9eba4e473.jpg","ACN-004","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","Fujinaka Ryu","Ancient Nights","An unusual creature studded with gems.","Ancient Nights","600 / 600","Beast","Automatic
When this card leaves the field ⇒ Gain a gem of any attribute."
"http://www.fowtcg.com/card/2828","Gem Blade Emerald","http://d12h0em1d7ppg.cloudfront.net/items/28/2828/image_en/37c807fc-e15b-484f-b9cd-3ee1e2895453.jpg","ACN-005","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","yuhki lily","Ancient Nights","It's said that wind gems clear one's mind and heart.","Ancient Nights","800 / 800","Panda","Automatic
When this card enters the field ⇒ Recover up to four target magic stones if you control a wind gem."
"http://www.fowtcg.com/card/2828","Gem Blade Emerald","http://d12h0em1d7ppg.cloudfront.net/items/28/2828/image_en/37c807fc-e15b-484f-b9cd-3ee1e2895453.jpg","ACN-005","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","yuhki lily","Ancient Nights","It's said that wind gems clear one's mind and heart.","Ancient Nights","800 / 800","Panda","Automatic
When this card enters the field ⇒ Recover up to four target magic stones if you control a wind gem."
"http://www.fowtcg.com/card/2828","Gem Blade Emerald","http://d12h0em1d7ppg.cloudfront.net/items/28/2828/image_en/37c807fc-e15b-484f-b9cd-3ee1e2895453.jpg","ACN-005","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","Resonator","yuhki lily","Ancient Nights","It's said that wind gems clear one's mind and heart.","Ancient Nights","800 / 800","Panda","Automatic
When this card enters the field ⇒ Recover up to four target magic stones if you control a wind gem."
"http://www.fowtcg.com/card/2829","Gem Minister Garnet","http://d12h0em1d7ppg.cloudfront.net/items/28/2829/image_en/0a5f355b-e081-494b-b33f-a1159b4a902e.jpg","ACN-006","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Nekobayashi","Ancient Nights","""Lord Pearlshine is always asking the impossible. I wish he'd worry about things a little more.""","Ancient Nights","500 / 900","Panda","Automatic
When this card enters the field ⇒ Gain a gem of any attribute. Draw a card."
"http://www.fowtcg.com/card/2829","Gem Minister Garnet","http://d12h0em1d7ppg.cloudfront.net/items/28/2829/image_en/0a5f355b-e081-494b-b33f-a1159b4a902e.jpg","ACN-006","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Nekobayashi","Ancient Nights","""Lord Pearlshine is always asking the impossible. I wish he'd worry about things a little more.""","Ancient Nights","500 / 900","Panda","Automatic
When this card enters the field ⇒ Gain a gem of any attribute. Draw a card."
"http://www.fowtcg.com/card/2829","Gem Minister Garnet","http://d12h0em1d7ppg.cloudfront.net/items/28/2829/image_en/0a5f355b-e081-494b-b33f-a1159b4a902e.jpg","ACN-006","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Nekobayashi","Ancient Nights","""Lord Pearlshine is always asking the impossible. I wish he'd worry about things a little more.""","Ancient Nights","500 / 900","Panda","Automatic
When this card enters the field ⇒ Gain a gem of any attribute. Draw a card."
