"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_type","card_artist","card_expansion","card_flavor_text","card_all_sets","card_att_def","card_race","card_text"
"http://www.fowtcg.com/card/3012","A New Radiance","http://d12h0em1d7ppg.cloudfront.net/items/30/3012/image_en/a634cf5f-caf8-492b-8868-2a2df19b36cd.jpg","ADK-001","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","hatarisu","Advent of the Demon King","A gem blessed by Ra shines like no other.","Advent of the Demon King","","",""
"http://www.fowtcg.com/card/3013","Gem Blade Opal","http://d12h0em1d7ppg.cloudfront.net/items/30/3013/image_en/e6a29782-d79d-4f19-9573-02d29fe9139a.jpg","ADK-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","noki","Advent of the Demon King","Gems dazzle the eye better than light.","Advent of the Demon King","600 / 600","Panda","Automatic
Whenever you gain a gem ⇒ Prevent all damage that would be dealt to this card until end of turn."
"http://www.fowtcg.com/card/3013","Gem Blade Opal","http://d12h0em1d7ppg.cloudfront.net/items/30/3013/image_en/e6a29782-d79d-4f19-9573-02d29fe9139a.jpg","ADK-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","noki","Advent of the Demon King","Gems dazzle the eye better than light.","Advent of the Demon King","600 / 600","Panda","Automatic
Whenever you gain a gem ⇒ Prevent all damage that would be dealt to this card until end of turn."
"http://www.fowtcg.com/card/3014","Gem Boat Alexandrite","http://d12h0em1d7ppg.cloudfront.net/items/30/3014/image_en/9f468173-f32a-4a80-bfac-a79e4cc96383.jpg","ADK-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Sh!βα","Advent of the Demon King","Shimmering like the stars, the gem boat rose into the air, soaring towards the floating isle.","Advent of the Demon King","0 / 1500","Airship","Activate
[rest], banish three gems: Remove target non-magic stone, non-J-ruler entity from the game."
"http://www.fowtcg.com/card/3014","Gem Boat Alexandrite","http://d12h0em1d7ppg.cloudfront.net/items/30/3014/image_en/9f468173-f32a-4a80-bfac-a79e4cc96383.jpg","ADK-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Sh!βα","Advent of the Demon King","Shimmering like the stars, the gem boat rose into the air, soaring towards the floating isle.","Advent of the Demon King","0 / 1500","Airship","Activate
[rest], banish three gems: Remove target non-magic stone, non-J-ruler entity from the game."
"http://www.fowtcg.com/card/3014","Gem Boat Alexandrite","http://d12h0em1d7ppg.cloudfront.net/items/30/3014/image_en/9f468173-f32a-4a80-bfac-a79e4cc96383.jpg","ADK-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/04.png","Resonator","Sh!βα","Advent of the Demon King","Shimmering like the stars, the gem boat rose into the air, soaring towards the floating isle.","Advent of the Demon King","0 / 1500","Airship","Activate
[rest], banish three gems: Remove target non-magic stone, non-J-ruler entity from the game."
"http://www.fowtcg.com/card/3015","Gem Jail","http://d12h0em1d7ppg.cloudfront.net/items/30/3015/image_en/75ab6434-fec1-4b8d-bbd4-e3850a2c05ec.jpg","ADK-004","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","Yukie TAJIMA","Advent of the Demon King","""Ho-hohoho! Ugly things need not trouble me!"" -Rose Quartz, the Panda Queen","Advent of the Demon King","","",""
"http://www.fowtcg.com/card/3015","Gem Jail","http://d12h0em1d7ppg.cloudfront.net/items/30/3015/image_en/75ab6434-fec1-4b8d-bbd4-e3850a2c05ec.jpg","ADK-004","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/XX.png","Chant","Yukie TAJIMA","Advent of the Demon King","""Ho-hohoho! Ugly things need not trouble me!"" -Rose Quartz, the Panda Queen","Advent of the Demon King","","",""
"http://www.fowtcg.com/card/3016","Golden Bird","http://d12h0em1d7ppg.cloudfront.net/items/30/3016/image_en/538d8fdf-35ae-406f-912d-76e2a4bbd290.jpg","ADK-005","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","noki","Advent of the Demon King","Small birds that glide about the floating isle.","Advent of the Demon King","600 / 800","Beast",""
"http://www.fowtcg.com/card/3016","Golden Bird","http://d12h0em1d7ppg.cloudfront.net/items/30/3016/image_en/538d8fdf-35ae-406f-912d-76e2a4bbd290.jpg","ADK-005","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","noki","Advent of the Demon King","Small birds that glide about the floating isle.","Advent of the Demon King","600 / 800","Beast",""
