"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/2754","Diamond, the One-Eyed Treasury Magician","http://d12h0em1d7ppg.cloudfront.net/items/27/2754/image_en/0dae9079-2239-4800-a788-df91da8ef16a.jpg","SDR1-001","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","1000 / 1000","Resonator","Panda","Moopic","Starter Deck","Activate
[w][w]: Target J/resonator you control gains [Barrier] until end of turn. (Cards you control with [Barrier] cannot be targeted by spells or abilities your opponent controls.)","The strength of the diamond is unparalleled.","Starter Deck"
"http://www.fowtcg.com/card/2754","Diamond, the One-Eyed Treasury Magician","http://d12h0em1d7ppg.cloudfront.net/items/27/2754/image_en/0dae9079-2239-4800-a788-df91da8ef16a.jpg","SDR1-001","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","1000 / 1000","Resonator","Panda","Moopic","Starter Deck","Activate
[w][w]: Target J/resonator you control gains [Barrier] until end of turn. (Cards you control with [Barrier] cannot be targeted by spells or abilities your opponent controls.)","The strength of the diamond is unparalleled.","Starter Deck"
"http://www.fowtcg.com/card/2754","Diamond, the One-Eyed Treasury Magician","http://d12h0em1d7ppg.cloudfront.net/items/27/2754/image_en/0dae9079-2239-4800-a788-df91da8ef16a.jpg","SDR1-001","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","1000 / 1000","Resonator","Panda","Moopic","Starter Deck","Activate
[w][w]: Target J/resonator you control gains [Barrier] until end of turn. (Cards you control with [Barrier] cannot be targeted by spells or abilities your opponent controls.)","The strength of the diamond is unparalleled.","Starter Deck"
"http://www.fowtcg.com/card/2754","Diamond, the One-Eyed Treasury Magician","http://d12h0em1d7ppg.cloudfront.net/items/27/2754/image_en/0dae9079-2239-4800-a788-df91da8ef16a.jpg","SDR1-001","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","1000 / 1000","Resonator","Panda","Moopic","Starter Deck","Activate
[w][w]: Target J/resonator you control gains [Barrier] until end of turn. (Cards you control with [Barrier] cannot be targeted by spells or abilities your opponent controls.)","The strength of the diamond is unparalleled.","Starter Deck"
"http://www.fowtcg.com/card/2755","Gem Blade Onyx","http://d12h0em1d7ppg.cloudfront.net/items/27/2755/image_en/13d3aa76-a00b-430c-81ae-bc484a40ca9c.jpg","SDR1-002","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 600","Resonator","Panda","hatarisu","Starter Deck","Continuous
This card gains [Precision] as long as you control a darkness gem. (This card can attack recovered J/resonators.)","It's said that darkness gems rob those that gaze on them of their mercy.","Starter Deck"
"http://www.fowtcg.com/card/2755","Gem Blade Onyx","http://d12h0em1d7ppg.cloudfront.net/items/27/2755/image_en/13d3aa76-a00b-430c-81ae-bc484a40ca9c.jpg","SDR1-002","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","600 / 600","Resonator","Panda","hatarisu","Starter Deck","Continuous
This card gains [Precision] as long as you control a darkness gem. (This card can attack recovered J/resonators.)","It's said that darkness gems rob those that gaze on them of their mercy.","Starter Deck"
"http://www.fowtcg.com/card/2756","Gem Blade Ruby","http://d12h0em1d7ppg.cloudfront.net/items/27/2756/image_en/b6a3b932-faa7-4883-afa0-e5676462b7bd.jpg","SDR1-003","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Panda","Misa Tsutsui","Starter Deck","Continuous
This card gains [Swiftness] as long as you control a fire gem. (This card can attack and you can play its [rest] abilities the same turn it enters the field.)","It's said that fire gems rob those that gaze on them of their decency.","Starter Deck"
"http://www.fowtcg.com/card/2756","Gem Blade Ruby","http://d12h0em1d7ppg.cloudfront.net/items/27/2756/image_en/b6a3b932-faa7-4883-afa0-e5676462b7bd.jpg","SDR1-003","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","800 / 800","Resonator","Panda","Misa Tsutsui","Starter Deck","Continuous
This card gains [Swiftness] as long as you control a fire gem. (This card can attack and you can play its [rest] abilities the same turn it enters the field.)","It's said that fire gems rob those that gaze on them of their decency.","Starter Deck"
"http://www.fowtcg.com/card/2757","Gem Blade Sapphire","http://d12h0em1d7ppg.cloudfront.net/items/27/2757/image_en/0fe7f22c-107a-4ffd-b1d5-0b980a6d197c.jpg","SDR1-004","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 600","Resonator","Panda","Miko Yamazaki","Starter Deck","Continuous
This card gains [Flying] as long as you control a water gem. (This card cannot be blocked by J/resonators without [Flying].)","It's said that water gems rob those that gaze on them of their common sense.","Starter Deck"
"http://www.fowtcg.com/card/2757","Gem Blade Sapphire","http://d12h0em1d7ppg.cloudfront.net/items/27/2757/image_en/0fe7f22c-107a-4ffd-b1d5-0b980a6d197c.jpg","SDR1-004","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","600 / 600","Resonator","Panda","Miko Yamazaki","Starter Deck","Continuous
This card gains [Flying] as long as you control a water gem. (This card cannot be blocked by J/resonators without [Flying].)","It's said that water gems rob those that gaze on them of their common sense.","Starter Deck"
"http://www.fowtcg.com/card/2758","Gem Craftsman","http://d12h0em1d7ppg.cloudfront.net/items/27/2758/image_en/faa5f78b-33e3-41cc-ad6f-92414539dcfc.jpg","SDR1-005","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Human","Azusa","Starter Deck","Continuous
This card gains [+200/+200] as long as there are three or more different attributes among all gems you control.","Gemcrafting is a highly respected and essential profession.","Starter Deck"
"http://www.fowtcg.com/card/2758","Gem Craftsman","http://d12h0em1d7ppg.cloudfront.net/items/27/2758/image_en/faa5f78b-33e3-41cc-ad6f-92414539dcfc.jpg","SDR1-005","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","800 / 800","Resonator","Human","Azusa","Starter Deck","Continuous
This card gains [+200/+200] as long as there are three or more different attributes among all gems you control.","Gemcrafting is a highly respected and essential profession.","Starter Deck"
"http://www.fowtcg.com/card/2758","Gem Craftsman","http://d12h0em1d7ppg.cloudfront.net/items/27/2758/image_en/faa5f78b-33e3-41cc-ad6f-92414539dcfc.jpg","SDR1-005","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","800 / 800","Resonator","Human","Azusa","Starter Deck","Continuous
This card gains [+200/+200] as long as there are three or more different attributes among all gems you control.","Gemcrafting is a highly respected and essential profession.","Starter Deck"
"http://www.fowtcg.com/card/2759","Gem Trader","http://d12h0em1d7ppg.cloudfront.net/items/27/2759/image_en/8fe89990-0c47-4a36-a844-f11f00c07d58.jpg","SDR1-006","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","300 / 300","Resonator","Human","Matsurika Yoko","Starter Deck","Automatic
When this card enters the field ⇒ Gain a light gem.","Real gems won't fade, even after decades.","Starter Deck"
"http://www.fowtcg.com/card/2760","Jewel Burst","http://d12h0em1d7ppg.cloudfront.net/items/27/2760/image_en/7a929d61-ed97-4e2e-91cf-c82d04e2ec5f.jpg","SDR1-007","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","Takumi Sugikawa","Starter Deck","","Lean in real close, make sure to get a good look at the cut quality.","Starter Deck"
"http://www.fowtcg.com/card/2760","Jewel Burst","http://d12h0em1d7ppg.cloudfront.net/items/27/2760/image_en/7a929d61-ed97-4e2e-91cf-c82d04e2ec5f.jpg","SDR1-007","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","Takumi Sugikawa","Starter Deck","","Lean in real close, make sure to get a good look at the cut quality.","Starter Deck"
"http://www.fowtcg.com/card/2761","Jewel Shield","http://d12h0em1d7ppg.cloudfront.net/items/27/2761/image_en/b2681067-49ca-4ee9-9ad5-d01c629bde2b.jpg","SDR1-008","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","mie","Starter Deck","","""I told you to cut that out!""","Starter Deck"
"http://www.fowtcg.com/card/2762","Jewel Sword","http://d12h0em1d7ppg.cloudfront.net/items/27/2762/image_en/ad5e5404-3e92-4428-be45-94e219da0f6f.jpg","SDR1-009","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","saumaro","Starter Deck","","""How's that? Do I look as cool as the king?""","Starter Deck"
"http://www.fowtcg.com/card/2763","Taegrus Pearlshine","http://d12h0em1d7ppg.cloudfront.net/items/27/2763/image_en/711edfce-6a56-41ec-8be5-566e5047cbae.jpg","SDR1-010","R","","","Ruler","Panda","Kusanagi Tyouen","Starter Deck","Automatic
At the beginning of the game ⇒ Gain a gem of any attribute.","The panda king who sits at the center of a great city of commerce.","Starter Deck"
"http://www.fowtcg.com/card/2764","Taegrus Pearlshine, Lord of the Mountain","http://d12h0em1d7ppg.cloudfront.net/items/27/2764/image_en/baa4ab9f-9479-4a1b-b8c0-6e92027e0772.jpg","SDR1-010 J","JR","","800 / 800","J-ruler","Panda","Kusanagi Tyouen","Starter Deck","Activate
Banish a water gem: This card gains [Flying] until end of turn. (This card cannot be blocked by J/resonators without [Flying].)","Believing that gems carry magical power, Pearlshine distributes them among his subordinates.","Starter Deck"
"http://www.fowtcg.com/card/2765","White Raven","http://d12h0em1d7ppg.cloudfront.net/items/27/2765/image_en/d3ca9dcf-57a1-452b-87a9-90003defca77.jpg","SDR1-011","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","300 / 300","Resonator","Bird","yua","Starter Deck","Automatic
When this card enters the field ⇒ You may banish a gem. If you do, draw a card.","The white ravens collect and separate gems by cut and year.","Starter Deck"
