"card_url","card_name","card_image","card_number","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/3352","Venus, Magus of the Metal Star","http://d12h0em1d7ppg.cloudfront.net/items/33/3352/image_en/c47cc498-19e7-4449-9629-a09d52a6c1fb.jpg","SDR6-001","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 200","Resonator","Seven Luminaries Mage/Historical","Pisuke","Constructed Deck ""The Lost Tomes""","Automatic
When this card enters the field ⇒ Choose one - Reveal any number of Historical cards from your hand. Put X [+100/+100] counters on this card, where X is the number of cards revealed this way; or draw a card.","Whenever there's danger, she gathers the others.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3353","Chrono Researcher, Alisaris","http://d12h0em1d7ppg.cloudfront.net/items/33/3353/image_en/778ce14d-42a0-41a4-8356-1561ebc6e117.jpg","SDR6-002","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","800 / 800","Resonator","Human/Historical","BANAMONS*","Constructed Deck ""The Lost Tomes""","Continuous
Your J-ruler gains [Swiftness].","Alisaris' research concerned Pandora's banishment and how to save Lapis from Alhama'at's banishment.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3353","Chrono Researcher, Alisaris","http://d12h0em1d7ppg.cloudfront.net/items/33/3353/image_en/778ce14d-42a0-41a4-8356-1561ebc6e117.jpg","SDR6-002","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","800 / 800","Resonator","Human/Historical","BANAMONS*","Constructed Deck ""The Lost Tomes""","Continuous
Your J-ruler gains [Swiftness].","Alisaris' research concerned Pandora's banishment and how to save Lapis from Alhama'at's banishment.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3354","Sylvia, the Slave Girl","http://d12h0em1d7ppg.cloudfront.net/items/33/3354/image_en/9d55d57f-8411-4f38-9cb6-c964d5247a38.jpg","SDR6-003","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","400 / 400","Resonator","Dragonoid/Historical","SIGMAN","Constructed Deck ""The Lost Tomes""","Continuous
This card gains [Flying], [Swiftness], [Precision], and [Pierce] as long as there is a [+100/+100] counter on it.","""Mother? Father? Where are you?""","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3355","Saturneus, Enchanter of the Earth Star","http://d12h0em1d7ppg.cloudfront.net/items/33/3355/image_en/048f4585-ff53-4a0c-9878-0b5fb9e739d3.jpg","SDR6-004","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","500 / 700","Resonator","Seven Luminaries Mage/Historical","Mad","Constructed Deck ""The Lost Tomes""","Activate
[0]: Target J/resonator you control gains [0/+200] until end of turn. Play this ability only once per turn.","A former maid for Laurite who learned by observation. His natural talents are superb.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3355","Saturneus, Enchanter of the Earth Star","http://d12h0em1d7ppg.cloudfront.net/items/33/3355/image_en/048f4585-ff53-4a0c-9878-0b5fb9e739d3.jpg","SDR6-004","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","500 / 700","Resonator","Seven Luminaries Mage/Historical","Mad","Constructed Deck ""The Lost Tomes""","Activate
[0]: Target J/resonator you control gains [0/+200] until end of turn. Play this ability only once per turn.","A former maid for Laurite who learned by observation. His natural talents are superb.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3356","Scant Vision","http://d12h0em1d7ppg.cloudfront.net/items/33/3356/image_en/2827babf-d499-4b61-8964-34c18a3c19d3.jpg","SDR6-005","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","","Chant","Historical","Pisuke","Constructed Deck ""The Lost Tomes""","","A vision showed Taegrus, Kirik, and Shaela as the last defenses against Alhama'at.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3357","Jupiter, Warlock of the Wood Star","http://d12h0em1d7ppg.cloudfront.net/items/33/3357/image_en/5c6b5e83-e599-4e19-86f4-e558c423a61c.jpg","SDR6-006","http://d12h0em1d7ppg.cloudfront.net/docs/icons/green.png","1000 / 1200","Resonator","Seven Luminaries Mage/Historical","Fujinaka Ryu","Constructed Deck ""The Lost Tomes""","Automatic
When this card enters the field ⇒ Choose up to two - Cancel target chant spell; or return target resonator to its owner's hand; or rest or recover target resonator; or draw a card.","The Luminaries betrayed Laurite, broke the ancient seals on the underground library, and allied with Alhama'at.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3357","Jupiter, Warlock of the Wood Star","http://d12h0em1d7ppg.cloudfront.net/items/33/3357/image_en/5c6b5e83-e599-4e19-86f4-e558c423a61c.jpg","SDR6-006","http://d12h0em1d7ppg.cloudfront.net/docs/icons/green.png","1000 / 1200","Resonator","Seven Luminaries Mage/Historical","Fujinaka Ryu","Constructed Deck ""The Lost Tomes""","Automatic
When this card enters the field ⇒ Choose up to two - Cancel target chant spell; or return target resonator to its owner's hand; or rest or recover target resonator; or draw a card.","The Luminaries betrayed Laurite, broke the ancient seals on the underground library, and allied with Alhama'at.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3357","Jupiter, Warlock of the Wood Star","http://d12h0em1d7ppg.cloudfront.net/items/33/3357/image_en/5c6b5e83-e599-4e19-86f4-e558c423a61c.jpg","SDR6-006","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/03.png","1000 / 1200","Resonator","Seven Luminaries Mage/Historical","Fujinaka Ryu","Constructed Deck ""The Lost Tomes""","Automatic
When this card enters the field ⇒ Choose up to two - Cancel target chant spell; or return target resonator to its owner's hand; or rest or recover target resonator; or draw a card.","The Luminaries betrayed Laurite, broke the ancient seals on the underground library, and allied with Alhama'at.","Constructed Deck ""The Lost Tomes"""
