"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/3177","Aimul's Unicorn","http://d12h0em1d7ppg.cloudfront.net/items/31/3177/image_en/c5784cdd-8a5a-4981-8ae4-da41ffdbb4aa.jpg","TSW-001","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 600","Resonator","Beast","hatarisu","The Time Spinning Witch","Automatic
Whenever you do judgment of a ruler ⇒ Invert this card. (Flip it over.)","You can't tell what's lurking beneath its outward appearance.","The Time Spinning Witch"
"http://www.fowtcg.com/card/3177","Aimul's Unicorn","http://d12h0em1d7ppg.cloudfront.net/items/31/3177/image_en/c5784cdd-8a5a-4981-8ae4-da41ffdbb4aa.jpg","TSW-001","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","600 / 600","Resonator","Beast","hatarisu","The Time Spinning Witch","Automatic
Whenever you do judgment of a ruler ⇒ Invert this card. (Flip it over.)","You can't tell what's lurking beneath its outward appearance.","The Time Spinning Witch"
"http://www.fowtcg.com/card/3178","Aimul's Twisted Beast","http://d12h0em1d7ppg.cloudfront.net/items/31/3178/image_en/9bc9b86c-3000-4040-90a4-6ffcbc55f05e.jpg","TSW-001*","C","","800 / 600","Resonator","Beast/Inverse","hatarisu","The Time Spinning Witch","Automatic
When this card inverts ⇒ Destroy target resonator with ATK less than this card's ATK.","”Ah, perhaps that was too rough of a greeting?"" - Aimul, Princess of Despair","The Time Spinning Witch"
"http://www.fowtcg.com/card/3179","Angel of Hope","http://d12h0em1d7ppg.cloudfront.net/items/31/3179/image_en/657badac-4180-4f60-942d-03e3a0def778.jpg","TSW-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","200 / 300","Resonator","Angel","Mayo","The Time Spinning Witch","Automatic
Whenever you gain life ⇒ Put a [+100/+100] counter on this card.","An angel carrying hope...","The Time Spinning Witch"
"http://www.fowtcg.com/card/3180","Angel of Despair","http://d12h0em1d7ppg.cloudfront.net/items/31/3180/image_en/e6644857-3822-4024-9a99-3ec617b10d04.jpg","TSW-002*","U","","400 / 500","Resonator","Angel/Inverse","Mayo","The Time Spinning Witch","Automatic
When this card inverts ⇒ Destroy target resonator if there is a [+100/+100] counter on this card.","...invites despair in the end.","The Time Spinning Witch"
"http://www.fowtcg.com/card/3181","Dr. Jekyll","http://d12h0em1d7ppg.cloudfront.net/items/31/3181/image_en/8b771c30-8c4a-4426-8077-904ded8a33a4.jpg","TSW-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","700 / 800","Resonator","Human","Kamijo Roro","The Time Spinning Witch","Continuous
You may pay [w] less to do judgment.","Anyone can change...","The Time Spinning Witch"
"http://www.fowtcg.com/card/3181","Dr. Jekyll","http://d12h0em1d7ppg.cloudfront.net/items/31/3181/image_en/8b771c30-8c4a-4426-8077-904ded8a33a4.jpg","TSW-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","700 / 800","Resonator","Human","Kamijo Roro","The Time Spinning Witch","Continuous
You may pay [w] less to do judgment.","Anyone can change...","The Time Spinning Witch"
"http://www.fowtcg.com/card/3182","Ms. Hyde","http://d12h0em1d7ppg.cloudfront.net/items/31/3182/image_en/b841dc6a-1909-484c-853b-0201f9126ff9.jpg","TSW-003*","R","","800 / 900","Resonator","Human/Inverse","Kamijo Roro","The Time Spinning Witch","Continuous
Other Inverse resonators you control gain [+400/+400].","...good or evil.","The Time Spinning Witch"
"http://www.fowtcg.com/card/3183","Escaped Jeweler","http://d12h0em1d7ppg.cloudfront.net/items/31/3183/image_en/a785e97f-f9ca-45a6-a01e-79d1a66940cd.jpg","TSW-004","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","100 / 100","Resonator","Human","Matsurika Yoko","The Time Spinning Witch","Activate
[w], [rest], return this card to its owner's hand: Rest target resonator.","As Sasaru Palace collapsed, the jeweler made off with the most valuable gems without ever looking back.","The Time Spinning Witch"
"http://www.fowtcg.com/card/3184","False Peace","http://d12h0em1d7ppg.cloudfront.net/items/31/3184/image_en/50de34cb-cc46-4818-8670-15edb902f771.jpg","TSW-005","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","","Shirai Hidemi","The Time Spinning Witch","","""Come now, you can still fight, can't you?"" -Princess of Fleeting Hope","The Time Spinning Witch"
