"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_type","card_race","card_artist","card_expansion","card_flavor_text","card_all_sets","card_att_def","card_text"
"http://www.fowtcg.com/card/3388","A Mother's Love","http://d12h0em1d7ppg.cloudfront.net/items/33/3388/image_en/501a8a64-4449-4a30-8c5a-3822a93fd7d7.jpg","WOM-001","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","Aura","Retro","Winds of the Ominous Moon","A step towards a different history will lead to a new destiny.","Winds of the Ominous Moon","",""
"http://www.fowtcg.com/card/3389","Alexandrite's Crash","http://d12h0em1d7ppg.cloudfront.net/items/33/3389/image_en/b1bb913c-c863-4ba3-a8ea-4a6abc400f32.jpg","WOM-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","","Shinichi Chiba","Winds of the Ominous Moon","""Anyone left onboard? No? Seems I might as well disembark then."" -Taegrus Pearlshine","Winds of the Ominous Moon","",""
"http://www.fowtcg.com/card/3389","Alexandrite's Crash","http://d12h0em1d7ppg.cloudfront.net/items/33/3389/image_en/b1bb913c-c863-4ba3-a8ea-4a6abc400f32.jpg","WOM-002","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Chant","","Shinichi Chiba","Winds of the Ominous Moon","""Anyone left onboard? No? Seems I might as well disembark then."" -Taegrus Pearlshine","Winds of the Ominous Moon","",""
"http://www.fowtcg.com/card/3390","Arrival of the Hero","http://d12h0em1d7ppg.cloudfront.net/items/33/3390/image_en/892f930d-0ad5-47bc-9e86-11a876357ada.jpg","WOM-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","","Kusanagi Tyouen","Winds of the Ominous Moon","""The hero always arrives in the time of need."" -Taegrus Pearlshine","Winds of the Ominous Moon","",""
"http://www.fowtcg.com/card/3390","Arrival of the Hero","http://d12h0em1d7ppg.cloudfront.net/items/33/3390/image_en/892f930d-0ad5-47bc-9e86-11a876357ada.jpg","WOM-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","","Kusanagi Tyouen","Winds of the Ominous Moon","""The hero always arrives in the time of need."" -Taegrus Pearlshine","Winds of the Ominous Moon","",""
"http://www.fowtcg.com/card/3391","Atom Seikhart, the Envoy of Valhalla","http://d12h0em1d7ppg.cloudfront.net/items/33/3391/image_en/4dacfa8f-d1cb-4621-ae22-377ca1057a79.jpg","WOM-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Rabbit","Saiko Takaki","Winds of the Ominous Moon","""Everyone's always worrying over pointless things. Just come with me instead!""","Winds of the Ominous Moon","0 / 1000","Automatic
At the beginning of your main phase ⇒ You may remove target non-magic stone, non-J-ruler entity from the game."
"http://www.fowtcg.com/card/3391","Atom Seikhart, the Envoy of Valhalla","http://d12h0em1d7ppg.cloudfront.net/items/33/3391/image_en/4dacfa8f-d1cb-4621-ae22-377ca1057a79.jpg","WOM-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","Resonator","Rabbit","Saiko Takaki","Winds of the Ominous Moon","""Everyone's always worrying over pointless things. Just come with me instead!""","Winds of the Ominous Moon","0 / 1000","Automatic
At the beginning of your main phase ⇒ You may remove target non-magic stone, non-J-ruler entity from the game."
"http://www.fowtcg.com/card/3392","Aura of Hope","http://d12h0em1d7ppg.cloudfront.net/items/33/3392/image_en/bb3bb8d6-6faa-4f1f-a1da-e8d531bffc73.jpg","WOM-005","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","Aura","Haruichi Kido","Winds of the Ominous Moon","A will that refuses to submit.","Winds of the Ominous Moon","",""
"http://www.fowtcg.com/card/3393","Beast of Light","http://d12h0em1d7ppg.cloudfront.net/items/33/3393/image_en/81531eef-c765-441c-8a40-300da700c002.jpg","WOM-006","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Beast","Retro","Winds of the Ominous Moon","""Too much of one thing? Nonsense. You can never have enough gems!"" -Taegrus Pearlshine","Winds of the Ominous Moon","500 / 500","Continuous
This card gains [+100/+100] for each gem you control."
"http://www.fowtcg.com/card/3393","Beast of Light","http://d12h0em1d7ppg.cloudfront.net/items/33/3393/image_en/81531eef-c765-441c-8a40-300da700c002.jpg","WOM-006","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Beast","Retro","Winds of the Ominous Moon","""Too much of one thing? Nonsense. You can never have enough gems!"" -Taegrus Pearlshine","Winds of the Ominous Moon","500 / 500","Continuous
This card gains [+100/+100] for each gem you control."
"http://www.fowtcg.com/card/3393","Beast of Light","http://d12h0em1d7ppg.cloudfront.net/items/33/3393/image_en/81531eef-c765-441c-8a40-300da700c002.jpg","WOM-006","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","Beast","Retro","Winds of the Ominous Moon","""Too much of one thing? Nonsense. You can never have enough gems!"" -Taegrus Pearlshine","Winds of the Ominous Moon","500 / 500","Continuous
This card gains [+100/+100] for each gem you control."
"http://www.fowtcg.com/card/3394","Gem Blade Amethyst","http://d12h0em1d7ppg.cloudfront.net/items/33/3394/image_en/deb7bd5c-635c-4bca-aca2-02602fdd4a5e.jpg","WOM-007","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Panda","Haruki Komai","Winds of the Ominous Moon","Each fragmented gem fuels her fighting spirit.","Winds of the Ominous Moon","1000 / 1000","Continuous
You may pay [1] less to play this card for each gem you banished this turn."
"http://www.fowtcg.com/card/3394","Gem Blade Amethyst","http://d12h0em1d7ppg.cloudfront.net/items/33/3394/image_en/deb7bd5c-635c-4bca-aca2-02602fdd4a5e.jpg","WOM-007","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Panda","Haruki Komai","Winds of the Ominous Moon","Each fragmented gem fuels her fighting spirit.","Winds of the Ominous Moon","1000 / 1000","Continuous
You may pay [1] less to play this card for each gem you banished this turn."
"http://www.fowtcg.com/card/3394","Gem Blade Amethyst","http://d12h0em1d7ppg.cloudfront.net/items/33/3394/image_en/deb7bd5c-635c-4bca-aca2-02602fdd4a5e.jpg","WOM-007","U","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/03.png","Resonator","Panda","Haruki Komai","Winds of the Ominous Moon","Each fragmented gem fuels her fighting spirit.","Winds of the Ominous Moon","1000 / 1000","Continuous
You may pay [1] less to play this card for each gem you banished this turn."
"http://www.fowtcg.com/card/3395","Grimmia's Fairy","http://d12h0em1d7ppg.cloudfront.net/items/33/3395/image_en/f099fdff-5c3d-4fbc-b7be-e7167ee5959c.jpg","WOM-008","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Fairy Tale/Fairy","YAMAMOTO-NAOKI","Winds of the Ominous Moon","Grimm received Lumia's hope, and once again manifested into this world.","Winds of the Ominous Moon","500 / 500",""
"http://www.fowtcg.com/card/3395","Grimmia's Fairy","http://d12h0em1d7ppg.cloudfront.net/items/33/3395/image_en/f099fdff-5c3d-4fbc-b7be-e7167ee5959c.jpg","WOM-008","C","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Fairy Tale/Fairy","YAMAMOTO-NAOKI","Winds of the Ominous Moon","Grimm received Lumia's hope, and once again manifested into this world.","Winds of the Ominous Moon","500 / 500",""
