"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_type","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets","card_race","card_att_def"
"http://www.fowtcg.com/card/5065","A Duet of Light","http://d12h0em1d7ppg.cloudfront.net/items/50/5065/image_en/cc44e1f8-11f8-4d4f-ab86-053b21c529c5.jpg","MSW-001","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","AKI","Saga Cluster 2nd 「The Magic Stone War - Zero」","Card Text
Choose one, you may choose an additional one for each recovered J/ruler you control;
- You gain 2000 life.
- Put target non-magic stone, non-chant card or alternative card with total cost 3 or less from your graveyard into the field. You may only put a non-chant part of that alternative card into the field.
- Put four [+100/+100] counters on each J/resonator you control.","""Zero, can you fight?"" ""Yes, uh, probably."" ーAlmerius & Zero","Saga Cluster 2nd 「The Magic Stone War - Zero」","",""
"http://www.fowtcg.com/card/5065","A Duet of Light","http://d12h0em1d7ppg.cloudfront.net/items/50/5065/image_en/cc44e1f8-11f8-4d4f-ab86-053b21c529c5.jpg","MSW-001","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","AKI","Saga Cluster 2nd 「The Magic Stone War - Zero」","Card Text
Choose one, you may choose an additional one for each recovered J/ruler you control;
- You gain 2000 life.
- Put target non-magic stone, non-chant card or alternative card with total cost 3 or less from your graveyard into the field. You may only put a non-chant part of that alternative card into the field.
- Put four [+100/+100] counters on each J/resonator you control.","""Zero, can you fight?"" ""Yes, uh, probably."" ーAlmerius & Zero","Saga Cluster 2nd 「The Magic Stone War - Zero」","",""
"http://www.fowtcg.com/card/5066","Almerius","http://d12h0em1d7ppg.cloudfront.net/items/50/5066/image_en/3994551b-0ca1-45b6-8113-7479314d00c1.jpg","MSW-002","RR","","Ruler","Miko Yamazaki","Saga Cluster 2nd 「The Magic Stone War - Zero」","Card Text
[Judgment] [W][W][1]
[Tag] (Six Sages) - You may start the game with this ruler and another ruler with [Tag] (Six Sages) that doesn't share a name with this card. Put both in your ruler area.
Continuous
If you would set your starting life, set it to that much plus 3000 instead.
Continuous
You may pay [1] less to do judgment of rulers you control.
Activate
[Rest]: Target J/resonator gains [+200/+200] until end of turn.","""I'm the leader now? But, why?!""","Saga Cluster 2nd 「The Magic Stone War - Zero」","Human, Six Sages",""
"http://www.fowtcg.com/card/5067","Almerius","http://d12h0em1d7ppg.cloudfront.net/items/50/5067/image_en/6151a6d0-131e-4b93-9937-6e0069f4f57a.jpg","MSW-002","JR","","Ruler","Miko Yamazaki","Saga Cluster 2nd 「The Magic Stone War - Zero」","Card Text
[Judgment] [W][W][1]
[Tag] (Six Sages) - You may start the game with this ruler and another ruler with [Tag] (Six Sages) that doesn't share a name with this card. Put both in your ruler area.
Continuous
If you would set your starting life, set it to that much plus 3000 instead.
Continuous
You may pay [1] less to do judgment of rulers you control.
Activate
[Rest]: Target J/resonator gains [+200/+200] until end of turn.","""I'm the leader now? But, why?!""","Saga Cluster 2nd 「The Magic Stone War - Zero」","Human, Six Sages",""
"http://www.fowtcg.com/card/5068","Chiffon, Spirit of Guidance","http://d12h0em1d7ppg.cloudfront.net/items/50/5068/image_en/02fd7b8c-a853-4b1d-9ec7-caa9cc382928.jpg","MSW-003","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","j-peg","Saga Cluster 2nd 「The Magic Stone War - Zero」","Card Text
[Flying]
[Awakening] Rest a recovered light J/ruler you control: [Enter] >>> Destroy target non-magic stone entity your opponent controls.","She guides the living and expels the dead.","Saga Cluster 2nd 「The Magic Stone War - Zero」","Spirit","600 / 600"
"http://www.fowtcg.com/card/5068","Chiffon, Spirit of Guidance","http://d12h0em1d7ppg.cloudfront.net/items/50/5068/image_en/02fd7b8c-a853-4b1d-9ec7-caa9cc382928.jpg","MSW-003","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","j-peg","Saga Cluster 2nd 「The Magic Stone War - Zero」","Card Text
[Flying]
[Awakening] Rest a recovered light J/ruler you control: [Enter] >>> Destroy target non-magic stone entity your opponent controls.","She guides the living and expels the dead.","Saga Cluster 2nd 「The Magic Stone War - Zero」","Spirit","600 / 600"
"http://www.fowtcg.com/card/5069","Gathering of the Six Sages","http://d12h0em1d7ppg.cloudfront.net/items/50/5069/image_en/835f9b14-8269-4bd3-89b6-b924cbc812df.jpg","MSW-004","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","AKI","Saga Cluster 2nd 「The Magic Stone War - Zero」","Card Text
[Quickcast]
Continuous
Recover a ruler you control. Draw a card.","Each of the Six Sages is completely different in personality, quality, and magic. The only thing they have in common is that they revere Welser.","Saga Cluster 2nd 「The Magic Stone War - Zero」","",""
"http://www.fowtcg.com/card/5070","Guardian Wizard","http://d12h0em1d7ppg.cloudfront.net/items/50/5070/image_en/4c1c8bd6-518b-43d9-a66d-192e949f2950.jpg","MSW-005","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Misa Tsutsui","Saga Cluster 2nd 「The Magic Stone War - Zero」","Card Text
Continuous
Prevent all non-battle damage that would be dealt to J/resonators you control.
Automatic
Whenever your opponent plays an awakened spell >>> J/resonators you control gain [Barrier] until end of turn.","Defense is a very important part of the battle against the invaders.","Saga Cluster 2nd 「The Magic Stone War - Zero」","Human, Wizard","600 / 600"
"http://www.fowtcg.com/card/5070","Guardian Wizard","http://d12h0em1d7ppg.cloudfront.net/items/50/5070/image_en/4c1c8bd6-518b-43d9-a66d-192e949f2950.jpg","MSW-005","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Misa Tsutsui","Saga Cluster 2nd 「The Magic Stone War - Zero」","Card Text
Continuous
Prevent all non-battle damage that would be dealt to J/resonators you control.
Automatic
Whenever your opponent plays an awakened spell >>> J/resonators you control gain [Barrier] until end of turn.","Defense is a very important part of the battle against the invaders.","Saga Cluster 2nd 「The Magic Stone War - Zero」","Human, Wizard","600 / 600"
"http://www.fowtcg.com/card/5071","Gullwing, Dragon Spirit","http://d12h0em1d7ppg.cloudfront.net/items/50/5071/image_en/d126efaf-734b-4d06-81ad-7013fcf96f55.jpg","MSW-006","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Kotakan","Saga Cluster 2nd 「The Magic Stone War - Zero」","Card Text
[Flying]
Continuous
As you play this card, you may rest any number of recovered J/rulers you control and/or any number of recovered Spirit resonators you control. You pay [W] less to play this card for each J/ruler rested this way and [1] less for each Spirit resonator rested this way.
Automatic
[Enter] >>> Recover all Spirits you control.","Spirits live everywhere, secretly observing and protecting the world. But the invasion from the demonic world was the greatest danger they ever faced.","Saga Cluster 2nd 「The Magic Stone War - Zero」","Spirit, Dragon","1500 / 1500"
"http://www.fowtcg.com/card/5071","Gullwing, Dragon Spirit","http://d12h0em1d7ppg.cloudfront.net/items/50/5071/image_en/d126efaf-734b-4d06-81ad-7013fcf96f55.jpg","MSW-006","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Kotakan","Saga Cluster 2nd 「The Magic Stone War - Zero」","Card Text
[Flying]
Continuous
As you play this card, you may rest any number of recovered J/rulers you control and/or any number of recovered Spirit resonators you control. You pay [W] less to play this card for each J/ruler rested this way and [1] less for each Spirit resonator rested this way.
Automatic
[Enter] >>> Recover all Spirits you control.","Spirits live everywhere, secretly observing and protecting the world. But the invasion from the demonic world was the greatest danger they ever faced.","Saga Cluster 2nd 「The Magic Stone War - Zero」","Spirit, Dragon","1500 / 1500"
