Set,Card #,Card Name,Type,Cost,Light,Fire,Water,Wind,Darkness,Void
cmf,004,Dream of Juliet,Chant (Quickcast),2,1,,,,,1
cmf,026,Hunter in the Black Forest,Resonator,1,,1,,,,
cmf,056,Swordsman of the Full Moon,Resonator,4,,,2,,,2
cmf,067,Elvish Priest,Resonator,1,,,,1,,
cmf,069,Gretel,Resonator,2,,,,1,,1
cmf,071,Law of Silence,Chant (Quickcast),2,,,,2,,
cmf,088,Pumpkin Witch,Resonator,3,,,,,1,2
cmf,093,Spiral of Despair,Chant ,2,,,,,2,
cmf,096,Magic Stone of Black Silence,Special Magic Stone,0,,,,,,
cmf,097,Magic Stone of Deep Wood,Special Magic Stone,0,,,,,,
cmf,098,Magic Stone of Hearth's Core,Special Magic Stone,0,,,,,,
cmf,099,Magic Stone of Heat Ray,Special Magic Stone,0,,,,,,
cmf,100,Magic Stone of Heaven's Rift,Special Magic Stone,0,,,,,,
tat,018,The Queen's Butler,Resonator,1,1,,,,,
tat,024,Duel of Truth,Chant (Quickcast),1,,1,,,,
tat,031,"Little Dread, the Fake Red Moon",Resonator,3,,2,,,,1
tat,032,Rapid Decay,Chant,1,,1,,,,
tat,039,"Cheshire Cat, the Grinning Remnant",Resonator,1,,,1,,,
tat,062,"Glinda, the Fairy",Resonator,2,,,,2,,
tat,072,Xeex the Ancient Magic,Chant (Quickcast),2,,,,2,,
tat,083,"Mephistopheles, the Abyssal Tyrant",Resonator,4,,,,,2,2
tat,084,Necronomicon,Addition,3,,,,,3,
tat,088,Stoning to Death,Chant (Quickcast),2,,,,,2,
tat,090,Whispers from the Abyss,Chant (Quickcast),2,,,,,1,1
tat,091,"Almerius, the Levitating Stone",True Magic Stone,0,,,,,,
tat,092,"Feethsing, the Holy Wind Stone",True Magic Stone,0,,,,,,
tat,093,"Grusbalesta, the Sealing Stone",True Magic Stone,0,,,,,,
tat,094,Magic Stone of Blasting Waves,Special Magic Stone,0,,,,,,
tat,095,Magic Stone of Dark Depth,Special Magic Stone,0,,,,,,
